,2-Mar,N_2Mar,P_2Mar,K_2Mar,pH,Temp,Humid,EC,Heigh 7 Mar,N_7Mar,P_7Mar,K_7Mar,pH,Temp,Humid,EC,16-Mar,N_16Mar,P_16Mar,K_16Mar,pH,Temp,Humid,EC,23-Mar,N_23Mar,P_23Mar,K_23Mar,pH,Temp,Humid,EC,30-Mar,N_30Mar,P_30Mar,K_30Mar,pH,Temp,Humid,EC,4-Apr,N_4Apr,P_4Apr,K_4Apr,pH,Temp,Humid,EC
NK6848 - 01,105,1,2,4,6.68,36.6,29.2,22,75,0,0,0,7.66,33.2,15.1,0,134,1,2,4,6.62,36.8,28.2,21,142,3,4,8,8.12,39.4,26.6,45,138,0,1,2,7,40,16.8,11,118,0,0,0,6.34,42.6,12.8,0
NK6848 - 02,153,3,4,9,6.61,33,29.6,45,80,0,0,0,6.48,34.8,16.7,0,145,3,4,9,6.5,36.6,28.6,48,160,5,7,14,7,37.4,25.8,71,138,1,1,3,6.4,38.9,19.4,15,136,0,0,0,6.81,44.2,12.4,0
NK6848 - 03,111,0,1,2,6.55,34.3,30.7,12,160,0,0,0,7,35.2,13.4,0,164,2,3,6,6.55,35.3,26.3,30,168,7,9,19,7,37,24.9,103,172,1,1,3,6.6,37,25,15,158,0,0,0,6.7,43.4,10.3,0
NK6848 - 04,90,2,3,7,6.65,35.7,30.8,40,56,0,0,0,7.5,36,15.2,0,118,2,4,8,6.68,36.4,26.7,41,109,5,7,14,8.17,36.4,27.8,85,122,2,3,6,6.4,38.9,6.6,34,130,0,0,0,6.8,43.4,14.3,0
NK6848 - 05,123,2,2,5,6.67,33.7,29.3,29,87,0,0,0,8.13,36.4,18.3,0,160,1,2,4,6.46,35.8,27.1,25,150,1,2,4,6.75,37.5,27.6,25,157,0,0,1,6.4,39,16.9,7,176,0,0,0,7.95,43.4,13.5,0
NK6848 - 06,135,1,2,4,6.47,34.1,27.5,21,140,0,0,0,8.05,35.6,17.4,0,183,2,3,7,6.69,38.6,25.5,40,150,3,5,10,7.84,38.3,24.4,57,173,0,0,0,6.6,38,24,0,174,0,0,0,7.76,42,13.3,0
NK6848 - 07,164,3,4,8,6.14,33.7,29.2,43,100,0,0,0,8.03,36,13.2,0,167,4,6,12,6.48,37.4,29.9,64,143,3,4,9,8.09,37.9,24.1,45,135,0,1,2,6.6,39.5,19.8,10,165,0,0,0,7.21,41.8,14.6,0
NK6848 - 08,190,4,6,12,6.43,32.5,28.1,61,124,0,0,0,8.05,36.8,14.6,0,169,2,3,7,6.56,35.4,24.9,39,140,3,4,9,8.69,38.4,26.9,49,138,0,1,2,6.5,39.6,19.8,12,180,0,0,0,7.71,41.4,10.8,0
NK6848 - 09,180,1,2,4,6.08,31.7,29.8,23,95,0,0,0,7.62,36,13.4,0,145,2,3,7,7.18,35.8,27.8,41,128,5,7,15,6.63,38.4,27.3,80,113,2,3,7,6.4,39.2,15.9,37,144,0,0,0,7.12,41,15,0
NK6848 - 10,183,2,3,7,6.11,34,27.6,35,88,0,0,0,7.68,36,13.1,0,143,3,5,10,6.52,35,25.7,51,101,3,4,8,6.79,37,29.2,44,128,0,0,1,6.3,40,23.8,8,155,0,1,2,6.72,41.8,8.8,10
NK6848 - 11,146,2,2,5,6.73,33.2,28.3,29,102,0,0,0,6.6,36.5,16.4,0,146,2,3,7,6.49,36.4,28.3,39,137,1,2,5,7,36.2,28.9,27,120,0,0,0,6.2,39.3,20.7,0,138,0,0,0,7.48,42.6,11.9,0
NK6848 - 12,129,1,2,4,6.5,33.6,30,20,70,0,0,0,7.11,36.6,9.3,0,140,2,4,8,6.67,36.6,26.2,41,123,2,3,7,7.59,37,27.2,39,124,0,0,1,6,40,24,7,116,0,0,0,8.2,42.6,4.1,0
NK6848 - 13,129,3,4,9,6.4,33.6,29.6,47,103,0,0,0,7.76,37.2,9.5,0,144,2,3,7,7.98,34.3,27.5,35,133,2,3,6,7.4,36.2,26.5,31,142,0,0,0,6.4,39,17.5,0,145,0,0,0,7.76,43,12.4,0
NK6848 - 14,152,2,2,5,6.53,32.8,29.4,29,101,0,0,0,7.35,37.2,12.4,0,122,2,4,8,7.56,35.1,29.2,43,149,1,2,5,8.16,36.6,26,27,145,0,0,0,6.3,38.7,18.6,0,143,0,0,0,9,42.9,13.3,0
NK6848 - 15,158,2,3,6,6.45,33.4,30.3,31,110,0,0,0,7,36.8,12,0,152,4,5,11,6.52,35.5,29.1,58,158,4,6,12,6.72,37.8,24.5,236,142,0,1,2,6.4,38.1,26.4,10,157,0,0,0,6.75,42.6,12.8,0
