Time,AS27 (Evapotranspiration),AS24 (Daily rain),AS25 (Rain rate),AS21 (Wind speed),AS19 (Temperature)
01-02-2023 00:00:20,3.25,,,,19.80
01-02-2023 00:05:20,0.00,,,,19.70
01-02-2023 00:10:20,,,,,19.60
01-02-2023 00:15:20,,,,,19.60
01-02-2023 00:20:20,,,,,19.40
01-02-2023 00:25:20,,,,,19.30
01-02-2023 00:30:20,,,,,19.30
01-02-2023 00:35:20,,,,,19.20
01-02-2023 00:40:20,,,,,19.20
01-02-2023 00:45:20,,,,,19.10
01-02-2023 00:55:20,,,,,19.10
01-02-2023 01:00:20,,,,,19.20
01-02-2023 01:05:20,,,,,19.30
01-02-2023 01:10:20,,,,0.00,19.40
01-02-2023 01:15:20,,,,3.00,19.60
01-02-2023 01:20:20,0.00,0.00,,1.00,19.80
01-02-2023 01:21:20,,,0.00,,
01-02-2023 01:22:20,,,0.00,,
01-02-2023 01:25:20,0.00,0.00,,1.00,19.70
01-02-2023 01:30:20,,,,0.00,
01-02-2023 01:35:20,,,,3.00,19.70
01-02-2023 01:40:20,,,,0.00,19.80
01-02-2023 01:45:20,,,,1.00,19.70
01-02-2023 01:50:20,,,,3.00,19.80
01-02-2023 01:55:20,,,,1.00,19.70
01-02-2023 02:00:20,,,,0.00,19.80
01-02-2023 02:05:20,,,,,19.70
01-02-2023 02:10:20,,,,,19.70
01-02-2023 02:15:20,,,,,19.60
01-02-2023 02:20:20,,,,,19.50
01-02-2023 02:25:20,,,,,19.40
01-02-2023 02:30:20,,,,,19.30
01-02-2023 02:35:20,,,,,19.30
01-02-2023 02:40:20,,,,,19.20
01-02-2023 02:45:20,,,,,19.10
01-02-2023 02:50:20,,,,,18.90
01-02-2023 02:55:20,,,,,18.80
01-02-2023 03:00:20,,,,,18.80
01-02-2023 03:05:20,,,,,18.70
01-02-2023 03:10:20,,,,,18.60
01-02-2023 03:15:20,,,,,18.60
01-02-2023 03:20:20,0.00,0.00,,0.00,18.40
01-02-2023 03:21:20,,,0.00,,
01-02-2023 03:22:20,,,0.00,,
01-02-2023 03:25:20,0.00,0.00,,0.00,18.40
01-02-2023 03:30:20,,,,,18.30
01-02-2023 04:15:20,,,,,18.30
01-02-2023 04:20:20,,,,,18.20
01-02-2023 04:25:20,,,,,18.10
01-02-2023 04:40:20,,,,,18.10
01-02-2023 04:45:20,,,,,18.00
01-02-2023 04:50:20,,,,,17.90
01-02-2023 05:00:20,,,,,17.90
01-02-2023 05:05:20,,,,0.00,17.80
01-02-2023 05:10:20,,,,1.00,17.70
01-02-2023 05:15:20,,,,0.00,17.60
01-02-2023 05:20:20,0.00,0.00,,0.00,17.60
01-02-2023 05:21:20,,,0.00,,
01-02-2023 05:22:20,,,0.00,,
