Time,AS26 (Uv radiation),AS27 (Evapotranspiration),AS24 (Daily rain),AS25 (Rain rate),AS20 (Humidity),AS21 (Wind speed),AS19 (Temperature)
1/1/2023 0:00,,,,,73,,21.7
1/1/2023 0:05,,,,,73,0,21.6
1/1/2023 0:10,,3,,,74,1,21.4
1/1/2023 0:15,,0,,,,,
1/1/2023 0:25,,,,,,,21.4
1/1/2023 0:30,,,,,,,21.3
1/1/2023 0:35,,,,,74,,21.3
1/1/2023 0:40,,,,,75,,21.2
1/1/2023 0:45,,,,,75,1,21.1
1/1/2023 0:50,,,,,76,3,21.1
1/1/2023 0:55,,,,,,,20.9
1/1/2023 1:00,,,,,,3,20.9
1/1/2023 1:05,,,,,,0,20.8
1/1/2023 1:15,,,,,76,,20.8
1/1/2023 1:20,0,0,0,0,77,0,20.7
1/1/2023 1:21,,,,0,,,
1/1/2023 1:25,0,0,0,,77,0,20.6
1/1/2023 1:30,,,,,,,20.4
1/1/2023 1:35,,,,,,,20.3
1/1/2023 1:40,,,,,77,,20.3
1/1/2023 1:45,,,,,78,,20.2
1/1/2023 1:50,,,,,78,,20.2
1/1/2023 1:55,,,,,81,,20.3
1/1/2023 2:00,,,,,83,,
1/1/2023 2:05,,,,,83,,20.3
1/1/2023 2:10,,,,,86,,20.2
1/1/2023 2:15,,,,,87,,20.2
1/1/2023 2:20,,,,,85,,20.1
1/1/2023 2:25,,,,,84,,19.9
1/1/2023 2:30,,,,,85,,19.9
1/1/2023 2:35,,,,,87,,19.8
1/1/2023 2:40,,,,,86,,19.7
1/1/2023 2:45,,,,,86,,19.6
1/1/2023 2:50,,,,,84,,19.6
1/1/2023 2:55,,,,,87,,19.4
1/1/2023 3:00,,,,,86,,19.3
1/1/2023 3:05,,,,,,,19.1
1/1/2023 3:10,,,,,86,,18.9
1/1/2023 3:15,,,,,87,,18.8
1/1/2023 3:20,0,0,0,0,87,0,18.8
1/1/2023 3:21,,,,0,,,
1/1/2023 3:25,0,0,0,,88,0,18.7
1/1/2023 3:30,,,,,87,,
1/1/2023 3:45,,,,,,,18.7
1/1/2023 3:50,,,,,87,,18.8
1/1/2023 3:55,,,,,86,,
1/1/2023 4:00,,,,,85,,
1/1/2023 4:05,,,,,85,,
1/1/2023 4:10,,,,,83,,18.8
1/1/2023 4:15,,,,,,,18.7
1/1/2023 4:20,,,,,,,18.7
1/1/2023 4:25,,,,,,,18.6
1/1/2023 4:30,,,,,83,,18.6
1/1/2023 4:35,,,,,84,,18.4
1/1/2023 4:40,,,,,84,,
1/1/2023 4:45,,,,,86,,18.4
1/1/2023 4:50,,,,,89,,18.5
1/1/2023 4:55,,,,,87,,18.4
1/1/2023 5:00,,,,,,,18.3
1/1/2023 5:05,,,,,,,18.3
1/1/2023 5:10,,,,,87,,18.2
1/1/2023 5:15,,,,,89,,18.1
1/1/2023 5:20,0,0,0,0,89,0,18.1
1/1/2023 5:21,,,,0,,,
1/1/2023 5:25,0,0,0,,89,0,18.1
1/1/2023 5:30,,,,,90,,18.1
1/1/2023 5:35,,,,,89,,17.9
1/1/2023 5:40,,,,,90,,17.9
1/1/2023 5:45,,,,,91,,17.8
1/1/2023 6:20,,,,,91,,17.8
1/1/2023 6:25,,,,,92,,17.7
1/1/2023 6:30,,,,,90,,17.6
1/1/2023 6:35,,,,,91,,17.4
1/1/2023 6:40,,,,,92,,17.5
1/1/2023 6:45,,,,,93,,17.5
1/1/2023 6:50,,,,,,,17.6
1/1/2023 6:55,,,,,93,,17.5
1/1/2023 7:00,,,,,92,,
1/1/2023 7:05,,,,,93,,
1/1/2023 7:10,,,,,93,,17.5
1/1/2023 7:15,,,,,94,,17.6
1/1/2023 7:20,0,0,0,0,93,0,17.7
1/1/2023 7:21,,,,0,,,
1/1/2023 7:25,0,0,0,,92,0,17.7
1/1/2023 7:30,,,,,91,,17.8
1/1/2023 7:35,,,,,89,,17.9
1/1/2023 7:40,,,,,88,,18.2
1/1/2023 7:45,,,,,86,,18.5
1/1/2023 7:50,,,,,85,,18.8
1/1/2023 7:55,,,,,83,,19.2
1/1/2023 8:00,,,,,82,,19.4
1/1/2023 8:05,,,,,81,0,19.6
1/1/2023 8:10,,,,,80,3,19.8
1/1/2023 8:15,,,,,79,1,20.1
1/1/2023 8:20,,,,,78,3,20.3
1/1/2023 8:25,,,,,75,1,20.4
1/1/2023 8:30,,,,,,4,20.5
1/1/2023 8:35,0,,,,75,0,20.6
1/1/2023 8:40,1.1,,,,74,1,20.8
1/1/2023 8:45,1.2,,,,74,1,20.9
1/1/2023 8:50,1.3,,,,73,6,21.1
1/1/2023 8:55,1.4,,,,72,3,21.4
1/1/2023 9:00,1.5,,,,69,4,21.8
1/1/2023 9:05,1.6,,,,69,11,22.1
1/1/2023 9:10,1.7,0,,,67,3,22.2
1/1/2023 9:15,1.8,0.15,,,67,6,22.4
1/1/2023 9:20,1.9,0.15,0,0,66,3,22.5
1/1/2023 9:21,,,,0,,,
1/1/2023 9:25,2,0.15,0,,65,1,22.7
