Time,AS26 (Uv radiation),AS27 (Evapotranspiration),AS24 (Daily rain),AS25 (Rain rate),AS20 (Humidity),AS21 (Wind speed),AS19 (Temperature)
01-01-2023 00:00:20,,,,,73.00,,21.70
01-01-2023 00:05:20,,,,,73.00,0.00,21.60
01-01-2023 00:10:20,,3.00,,,74.00,1.00,21.40
01-01-2023 00:15:20,,0.00,,,,,
01-01-2023 00:25:20,,,,,,,21.40
01-01-2023 00:30:20,,,,,,,21.30
01-01-2023 00:35:20,,,,,74.00,,21.30
01-01-2023 00:40:20,,,,,75.00,,21.20
01-01-2023 00:45:20,,,,,75.00,1.00,21.10
01-01-2023 00:50:20,,,,,76.00,3.00,21.10
01-01-2023 00:55:20,,,,,,,20.90
01-01-2023 01:00:20,,,,,,3.00,20.90
01-01-2023 01:05:20,,,,,,0.00,20.80
01-01-2023 01:15:20,,,,,76.00,,20.80
01-01-2023 01:20:20,0.00,0.00,0.00,0.00,77.00,0.00,20.70
01-01-2023 01:21:20,,,,0.00,,,
01-01-2023 01:25:20,0.00,0.00,0.00,,77.00,0.00,20.60
01-01-2023 01:30:20,,,,,,,20.40
01-01-2023 01:35:20,,,,,,,20.30
01-01-2023 01:40:20,,,,,77.00,,20.30
01-01-2023 01:45:20,,,,,78.00,,20.20
01-01-2023 01:50:20,,,,,78.00,,20.20
01-01-2023 01:55:20,,,,,81.00,,20.30
01-01-2023 02:00:20,,,,,83.00,,
01-01-2023 02:05:20,,,,,83.00,,20.30
01-01-2023 02:10:20,,,,,86.00,,20.20
01-01-2023 02:15:20,,,,,87.00,,20.20
01-01-2023 02:20:20,,,,,85.00,,20.10
01-01-2023 02:25:20,,,,,84.00,,19.90
01-01-2023 02:30:20,,,,,85.00,,19.90
01-01-2023 02:35:20,,,,,87.00,,19.80
01-01-2023 02:40:20,,,,,86.00,,19.70
01-01-2023 02:45:20,,,,,86.00,,19.60
01-01-2023 02:50:20,,,,,84.00,,19.60
01-01-2023 02:55:20,,,,,87.00,,19.40
01-01-2023 03:00:20,,,,,86.00,,19.30
01-01-2023 03:05:20,,,,,,,19.10
01-01-2023 03:10:20,,,,,86.00,,18.90
01-01-2023 03:15:20,,,,,87.00,,18.80
01-01-2023 03:20:20,0.00,0.00,0.00,0.00,87.00,0.00,18.80
01-01-2023 03:21:20,,,,0.00,,,
01-01-2023 03:25:20,0.00,0.00,0.00,,88.00,0.00,18.70
01-01-2023 03:30:20,,,,,87.00,,
01-01-2023 03:45:20,,,,,,,18.70
01-01-2023 03:50:20,,,,,87.00,,18.80
01-01-2023 03:55:20,,,,,86.00,,
01-01-2023 04:00:20,,,,,85.00,,
01-01-2023 04:05:20,,,,,85.00,,
01-01-2023 04:10:20,,,,,83.00,,18.80
01-01-2023 04:15:20,,,,,,,18.70
01-01-2023 04:20:20,,,,,,,18.70
01-01-2023 04:25:20,,,,,,,18.60
01-01-2023 04:30:20,,,,,83.00,,18.60
01-01-2023 04:35:20,,,,,84.00,,18.40
01-01-2023 04:40:20,,,,,84.00,,
01-01-2023 04:45:20,,,,,86.00,,18.40
01-01-2023 04:50:20,,,,,89.00,,18.50
01-01-2023 04:55:20,,,,,87.00,,18.40
01-01-2023 05:00:20,,,,,,,18.30
01-01-2023 05:05:20,,,,,,,18.30
01-01-2023 05:10:20,,,,,87.00,,18.20
01-01-2023 05:15:20,,,,,89.00,,18.10
01-01-2023 05:20:20,0.00,0.00,0.00,0.00,89.00,0.00,18.10
01-01-2023 05:21:20,,,,0.00,,,
01-01-2023 05:25:20,0.00,0.00,0.00,,89.00,0.00,18.10
01-01-2023 05:30:20,,,,,90.00,,18.10
01-01-2023 05:35:20,,,,,89.00,,17.90
01-01-2023 05:40:20,,,,,90.00,,17.90
01-01-2023 05:45:20,,,,,91.00,,17.80
01-01-2023 06:20:20,,,,,91.00,,17.80
01-01-2023 06:25:20,,,,,92.00,,17.70
01-01-2023 06:30:20,,,,,90.00,,17.60
01-01-2023 06:35:20,,,,,91.00,,17.40
01-01-2023 06:40:20,,,,,92.00,,17.50
01-01-2023 06:45:20,,,,,93.00,,17.50
01-01-2023 06:50:20,,,,,,,17.60
01-01-2023 06:55:20,,,,,93.00,,17.50
01-01-2023 07:00:20,,,,,92.00,,
01-01-2023 07:05:20,,,,,93.00,,
01-01-2023 07:10:20,,,,,93.00,,17.50
01-01-2023 07:15:20,,,,,94.00,,17.60
01-01-2023 07:20:20,0.00,0.00,0.00,0.00,93.00,0.00,17.70
01-01-2023 07:21:20,,,,0.00,,,
01-01-2023 07:25:20,0.00,0.00,0.00,,92.00,0.00,17.70
01-01-2023 07:30:20,,,,,91.00,,17.80
01-01-2023 07:35:20,,,,,89.00,,17.90
01-01-2023 07:40:20,,,,,88.00,,18.20
01-01-2023 07:45:20,,,,,86.00,,18.50
01-01-2023 07:50:20,,,,,85.00,,18.80
01-01-2023 07:55:20,,,,,83.00,,19.20
01-01-2023 08:00:20,,,,,82.00,,19.40
01-01-2023 08:05:20,,,,,81.00,0.00,19.60
01-01-2023 08:10:20,,,,,80.00,3.00,19.80
01-01-2023 08:15:20,,,,,79.00,1.00,20.10
01-01-2023 08:20:20,,,,,78.00,3.00,20.30
01-01-2023 08:25:20,,,,,75.00,1.00,20.40
01-01-2023 08:30:20,,,,,,4.00,20.50
01-01-2023 08:35:20,0.00,,,,75.00,0.00,20.60
01-01-2023 08:40:20,1.10,,,,74.00,1.00,20.80
01-01-2023 08:45:20,1.20,,,,74.00,1.00,20.90
01-01-2023 08:50:20,1.30,,,,73.00,6.00,21.10
01-01-2023 08:55:20,1.40,,,,72.00,3.00,21.40
01-01-2023 09:00:20,1.50,,,,69.00,4.00,21.80
01-01-2023 09:05:20,1.60,,,,69.00,11.00,22.10
01-01-2023 09:10:20,1.70,0.00,,,67.00,3.00,22.20
01-01-2023 09:15:20,1.80,0.15,,,67.00,6.00,22.40
01-01-2023 09:20:20,1.90,0.15,0.00,0.00,66.00,3.00,22.50
01-01-2023 09:21:20,,,,0.00,,,
01-01-2023 09:25:20,2.00,0.15,0.00,,65.00,1.00,22.70
01-01-2023 09:30:20,2.10,,,,64.00,3.00,23.00
01-01-2023 09:35:20,2.20,,,,64.00,1.00,23.30
01-01-2023 09:40:20,2.40,,,,62.00,6.00,23.50
01-01-2023 09:45:20,2.50,,,,62.00,3.00,23.60
01-01-2023 09:50:20,2.60,,,,61.00,6.00,23.80
01-01-2023 09:55:20,2.80,,,,,1.00,23.80
01-01-2023 10:00:20,2.90,,,,,4.00,24.00
01-01-2023 10:05:20,3.00,,,,61.00,8.00,24.20
01-01-2023 10:10:20,3.10,0.15,,,60.00,3.00,24.30
01-01-2023 10:15:20,3.20,0.51,,,59.00,6.00,24.60
01-01-2023 10:20:20,3.30,,,,58.00,3.00,24.70
01-01-2023 10:25:20,3.40,,,,57.00,9.00,24.90
01-01-2023 10:30:20,3.50,,,,57.00,8.00,25.00
01-01-2023 10:35:20,3.70,,,,58.00,1.00,25.30
01-01-2023 10:40:20,3.80,,,,56.00,8.00,25.30
01-01-2023 10:45:20,3.90,,,,56.00,1.00,25.20
01-01-2023 10:50:20,3.10,,,,55.00,6.00,
01-01-2023 10:55:20,4.00,,,,55.00,11.00,25.20
01-01-2023 11:00:20,4.20,,,,56.00,3.00,25.40
01-01-2023 11:05:20,4.30,,,,56.00,6.00,25.80
01-01-2023 11:10:20,3.30,0.51,,,54.00,3.00,25.90
01-01-2023 11:15:20,4.50,0.94,,,55.00,11.00,
01-01-2023 11:20:20,4.50,0.94,0.00,0.00,53.00,8.00,25.90
01-01-2023 11:21:20,,,,0.00,,,
01-01-2023 11:25:20,4.60,0.94,0.00,,55.00,1.00,26.00
01-01-2023 11:30:20,4.30,,,,55.00,4.00,26.20
01-01-2023 11:35:20,2.80,,,,52.00,6.00,26.30
01-01-2023 11:40:20,,,,,53.00,9.00,26.60
01-01-2023 11:45:20,,,,,51.00,11.00,26.60
01-01-2023 11:50:20,,,,,52.00,3.00,26.50
01-01-2023 11:55:20,,,,,51.00,9.00,26.60
01-01-2023 12:00:20,,,,,51.00,3.00,26.60
01-01-2023 12:05:20,2.80,,,,52.00,1.00,26.80
01-01-2023 12:10:20,4.30,0.94,,,50.00,8.00,
01-01-2023 12:15:20,4.60,1.47,,,51.00,12.00,26.80
01-01-2023 12:20:20,4.80,,,,51.00,9.00,26.90
01-01-2023 12:25:20,4.90,,,,50.00,11.00,26.90
01-01-2023 12:30:20,5.00,,,,52.00,3.00,27.10
01-01-2023 12:35:20,,,,,49.00,12.00,27.20
01-01-2023 12:40:20,5.00,,,,50.00,9.00,27.30
01-01-2023 12:45:20,4.90,,,,49.00,11.00,27.20
01-01-2023 12:50:20,5.00,,,,49.00,9.00,27.20
01-01-2023 12:55:20,4.90,,,,50.00,8.00,27.30
01-01-2023 13:00:20,4.80,,,,49.00,9.00,27.40
01-01-2023 13:05:20,4.70,,,,48.00,6.00,27.60
01-01-2023 13:10:20,4.60,1.47,,,47.00,9.00,27.40
01-01-2023 13:15:20,4.50,1.91,,,49.00,9.00,27.50
01-01-2023 13:20:20,4.50,1.91,0.00,0.00,49.00,12.00,27.70
01-01-2023 13:21:20,,,,0.00,,,
01-01-2023 13:25:20,4.60,1.91,0.00,,48.00,4.00,27.80
01-01-2023 13:30:20,4.60,,,,,14.00,28.10
01-01-2023 13:35:20,4.40,,,,48.00,9.00,28.00
01-01-2023 13:40:20,4.40,,,,46.00,8.00,27.90
01-01-2023 13:45:20,4.30,,,,47.00,3.00,27.90
01-01-2023 13:50:20,4.20,,,,48.00,12.00,28.10
01-01-2023 13:55:20,4.10,,,,47.00,9.00,
01-01-2023 14:00:20,3.90,,,,48.00,3.00,28.10
01-01-2023 14:05:20,3.80,,,,47.00,8.00,28.20
01-01-2023 14:10:20,3.70,1.91,,,46.00,11.00,28.30
01-01-2023 14:15:20,3.40,2.24,,,47.00,9.00,28.30
01-01-2023 14:20:20,3.50,,,,46.00,12.00,28.60
01-01-2023 14:25:20,3.40,,,,46.00,8.00,28.50
01-01-2023 14:30:20,3.20,,,,44.00,11.00,28.60
01-01-2023 14:35:20,3.10,,,,45.00,8.00,28.40
01-01-2023 14:40:20,3.00,,,,45.00,9.00,28.60
01-01-2023 14:45:20,2.90,,,,46.00,12.00,
01-01-2023 14:50:20,2.80,,,,47.00,12.00,28.60
01-01-2023 14:55:20,2.70,,,,45.00,14.00,28.70
01-01-2023 15:00:20,2.60,,,,,9.00,28.50
01-01-2023 15:05:20,2.50,,,,,8.00,28.60
01-01-2023 15:10:20,2.40,2.24,,,45.00,9.00,28.50
01-01-2023 15:15:20,2.30,2.67,,,44.00,8.00,28.70
01-01-2023 15:20:20,2.10,2.67,0.00,0.00,44.00,6.00,28.50
01-01-2023 15:21:20,,,,0.00,,,
01-01-2023 15:25:20,2.10,2.67,0.00,,43.00,11.00,28.80
01-01-2023 15:30:20,1.90,,,,43.00,8.00,28.90
01-01-2023 15:35:20,1.80,,,,44.00,12.00,28.80
01-01-2023 15:40:20,1.70,,,,44.00,12.00,28.80
01-01-2023 15:45:20,1.60,,,,43.00,11.00,28.70
01-01-2023 15:50:20,1.50,,,,43.00,9.00,28.80
01-01-2023 15:55:20,1.40,,,,44.00,3.00,28.80
01-01-2023 16:00:20,1.30,,,,44.00,6.00,28.90
01-01-2023 16:05:20,1.20,,,,45.00,12.00,
01-01-2023 16:10:20,1.10,2.67,,,44.00,14.00,28.90
01-01-2023 16:15:20,1.00,3.02,,,42.00,12.00,28.80
01-01-2023 16:20:20,0.90,,,,43.00,11.00,28.80
01-01-2023 16:25:20,0.90,,,,,8.00,28.70
01-01-2023 16:30:20,0.80,,,,,4.00,28.70
01-01-2023 16:35:20,0.70,,,,,8.00,28.80
01-01-2023 16:40:20,0.60,,,,43.00,1.00,28.70
01-01-2023 16:45:20,0.60,,,,44.00,8.00,28.70
01-01-2023 16:50:20,0.50,,,,45.00,9.00,28.60
01-01-2023 16:55:20,0.00,,,,,9.00,28.40
01-01-2023 17:00:20,,,,,,1.00,28.30
01-01-2023 17:05:20,,,,,45.00,6.00,
01-01-2023 17:10:20,,3.02,,,44.00,4.00,28.30
01-01-2023 17:15:20,,3.23,,,44.00,6.00,28.10
01-01-2023 17:20:20,0.00,3.23,0.00,0.00,46.00,6.00,27.90
01-01-2023 17:21:20,,,,0.00,,,
01-01-2023 17:25:20,0.00,3.23,0.00,,47.00,6.00,27.80
01-01-2023 17:30:20,,,,,50.00,3.00,27.60
01-01-2023 17:35:20,,,,,51.00,8.00,27.30
01-01-2023 17:40:20,,,,,52.00,6.00,27.10
01-01-2023 17:45:20,,,,,54.00,6.00,26.80
01-01-2023 17:50:20,,,,,54.00,4.00,26.60
01-01-2023 17:55:20,,,,,55.00,3.00,26.20
01-01-2023 18:00:20,,,,,58.00,3.00,25.90
01-01-2023 18:05:20,,,,,63.00,6.00,25.60
01-01-2023 18:10:20,,3.23,,,64.00,8.00,25.10
01-01-2023 18:15:20,,3.30,,,,6.00,24.80
01-01-2023 18:20:20,,,,,64.00,,24.70
01-01-2023 18:25:20,,,,,65.00,,24.60
01-01-2023 18:30:20,,,,,66.00,6.00,24.40
01-01-2023 18:35:20,,,,,,8.00,24.30
01-01-2023 18:40:20,,,,,66.00,9.00,24.30
01-01-2023 18:45:20,,,,,67.00,8.00,24.20
01-01-2023 18:50:20,,,,,68.00,9.00,24.10
01-01-2023 18:55:20,,,,,69.00,6.00,24.10
01-01-2023 19:00:20,,,,,,6.00,23.90
01-01-2023 19:05:20,,,,,,4.00,23.80
01-01-2023 19:10:20,,3.30,,,69.00,6.00,23.70
01-01-2023 19:15:20,,3.35,,,70.00,3.00,23.60
01-01-2023 19:20:20,0.00,3.35,0.00,,71.00,4.00,23.50
01-01-2023 19:21:20,,,,0.00,,,
01-01-2023 19:22:20,,,,0.00,,,
01-01-2023 19:25:20,0.00,3.35,0.00,,72.00,6.00,23.30
01-01-2023 19:30:20,,,,,,4.00,23.20
01-01-2023 19:35:20,,,,,72.00,3.00,23.10
01-01-2023 19:40:20,,,,,73.00,,23.00
01-01-2023 19:45:20,,,,,,,22.90
01-01-2023 19:50:20,,,,,,,22.90
01-01-2023 19:55:20,,,,,73.00,,22.80
01-01-2023 20:00:20,,,,,74.00,,22.70
01-01-2023 20:05:20,,,,,75.00,,22.60
01-01-2023 20:10:20,,3.35,,,,3.00,22.60
01-01-2023 20:15:20,,3.38,,,,1.00,22.50
01-01-2023 20:20:20,,,,,,3.00,22.50
01-01-2023 20:25:20,,,,,75.00,1.00,22.40
01-01-2023 20:30:20,,,,,76.00,0.00,22.30
01-01-2023 20:35:20,,,,,76.00,,22.30
01-01-2023 20:40:20,,,,,77.00,,22.20
