id,max,mean,count,sum,std,median,unique,percentile_95,percentile_90,percentile_85
1,1.2114078998565674,0.00037294597238567205,5961,2.223130941390991,0.020439162244955296,0.0,3,0.0,0.0,0.0
2,6.431417465209961,0.13450833519033137,5960,801.669677734375,0.5859589521441325,0.0,362,1.2293077349662804,0.0,0.0
3,1.9991023540496826,0.0014944470102725824,5961,8.908398628234863,0.04804058113731617,0.0,7,0.0,0.0,0.0
4,1.8148326873779297,0.022504740284505536,5961,134.1507568359375,0.16308857864695442,0.0,116,0.0,0.0,0.0
5,1.4198198318481445,0.0024477578905889464,5959,14.586189270019531,0.05496311078279503,0.0,13,0.0,0.0,0.0
10,0.0,0.0,5961,0.0,0.0,0.0,1,0.0,0.0,0.0
9,1.2086725234985352,0.00020283143539159845,5959,1.2086725234985352,0.015656169463454665,0.0,2,0.0,0.0,0.0
8,0.0,0.0,5959,0.0,0.0,0.0,1,0.0,0.0,0.0
7,0.0,0.0,5961,0.0,0.0,0.0,1,0.0,0.0,0.0
6,1.3676400184631348,0.0057193397675584625,5960,34.08726501464844,0.0821056355604626,0.0,30,0.0,0.0,0.0
11,1.4026050567626953,0.0006279307723845412,5960,3.7424674034118652,0.02808921956281654,0.0,4,0.0,0.0,0.0
12,1.5940144062042236,0.03168983459472656,5960,188.8714141845703,0.1942422785681377,0.0,157,0.0,0.0,0.0
13,0.0,0.0,5959,0.0,0.0,0.0,1,0.0,0.0,0.0
14,1.2093148231506348,0.00040577418052110096,5960,2.4184141159057617,0.02214724258757006,0.0,3,0.0,0.0,0.0
15,1.8315508365631104,0.0047167201713540245,5959,28.106935501098633,0.08399078430150758,0.0,20,0.0,0.0,0.0
26,1.335167407989502,0.00035241538246205987,5960,2.100395679473877,0.019930694108146216,0.0,3,0.0,0.0,0.0
28,0.0,0.0,5962,0.0,0.0,0.0,1,0.0,0.0,0.0
29,0.0,0.0,5961,0.0,0.0,0.0,1,0.0,0.0,0.0
30,0.0,0.0,5959,0.0,0.0,0.0,1,0.0,0.0,0.0
25,0.0,0.0,5961,0.0,0.0,0.0,1,0.0,0.0,0.0
24,0.0,0.0,5960,0.0,0.0,0.0,1,0.0,0.0,0.0
23,0.0,0.0,5961,0.0,0.0,0.0,1,0.0,0.0,0.0
22,0.0,0.0,5959,0.0,0.0,0.0,1,0.0,0.0,0.0
21,0.0,0.0,5960,0.0,0.0,0.0,1,0.0,0.0,0.0
16,-0.0,0.0,5962,0.0,0.0,0.0,1,0.0,0.0,-0.0
17,-0.0,0.0,5961,0.0,0.0,0.0,1,0.0,0.0,0.0
18,-0.0,0.0,5962,0.0,0.0,0.0,1,0.0,0.0,0.0
19,0.0,0.0,5959,0.0,0.0,0.0,1,0.0,0.0,0.0
20,0.0,0.0,5960,0.0,0.0,0.0,1,0.0,0.0,0.0
27,0.0,0.0,5960,0.0,0.0,0.0,1,0.0,0.0,0.0
41,-0.0,0.0,5958,0.0,0.0,0.0,1,0.0,0.0,0.0
42,-0.0,0.0,5959,0.0,0.0,0.0,1,0.0,0.0,0.0
43,-0.0,0.0,5959,0.0,0.0,0.0,1,0.0,0.0,0.0
44,-0.0,0.0,5961,0.0,0.0,0.0,1,0.0,0.0,0.0
45,-0.0,0.0,5961,0.0,0.0,0.0,1,0.0,0.0,0.0
40,-0.0,0.0,5960,0.0,0.0,0.0,1,0.0,0.0,0.0
39,-0.0,0.0,5960,0.0,0.0,0.0,1,0.0,0.0,0.0
38,0.0,0.0,5961,0.0,0.0,0.0,1,0.0,0.0,0.0
37,-0.0,0.0,5961,0.0,0.0,0.0,1,0.0,0.0,0.0
36,0.0,0.0,5961,0.0,0.0,0.0,1,0.0,0.0,0.0
31,1.431281328201294,0.014519158945787673,5960,86.53418731689453,0.12431834606336857,0.0,83,0.0,0.0,0.0
32,0.0,0.0,5961,0.0,0.0,0.0,1,0.0,0.0,0.0
33,-0.0,0.0,5963,0.0,0.0,0.0,1,0.0,0.0,0.0
34,-0.0,0.0,5961,0.0,0.0,0.0,1,0.0,0.0,0.0
35,-0.0,0.0,5960,0.0,0.0,0.0,1,0.0,0.0,0.0
