id,10Jan_max,10Jan_mean,10Jan_count,10Jan_sum,10Jan_std,10Jan_median,10Jan_unique,10Jan_percentile_95,10Jan_percentile_90,10Jan_percentile_85
1,0.380774856,0.00012356,5961,0.73653841,0.006748361,0,3,0,0,0
2,0.889612257,0.035408414,5960,211.0341492,0.143142773,0,362,0.437334232,0,0
3,0.436567962,0.000403097,5961,2.402860641,0.012731142,0,7,0,0,0
4,0.485159546,0.007289663,5961,43.45368195,0.052154885,0,116,0,0,0
5,0.386943698,0.000735385,5959,4.382161617,0.016380135,0,13,0,0,0
10,0,0,5961,0,0,0,1,0,0,0
9,0.371215552,6.23E-05,5959,0.371215552,0.004808427,0,2,0,0,0
8,0,0,5959,0,0,0,1,0,0,0
7,0,0,5961,0,0,0,1,0,0,0
6,0.40977481,0.001779883,5960,10.60810089,0.025473807,0,30,0,0,0
11,0.424518287,0.000196371,5960,1.170368195,0.008769802,0,4,0,0,0
12,0.435172766,0.009724841,5960,57.96005249,0.059393455,0,157,0,0,0
13,0,0,5959,0,0,0,1,0,0,0
14,0.38343513,0.000124501,5960,0.742026448,0.006799105,0,3,0,0,0
15,0.436336786,0.001213952,5959,7.233938217,0.021511988,0,20,0,0,0
26,0.378382415,0.000123934,5960,0.738646746,0.006766381,0,3,0,0,0
28,0,0,5962,0,0,0,1,0,0,0
29,0,0,5961,0,0,0,1,0,0,0
30,0,0,5959,0,0,0,1,0,0,0
25,0,0,5961,0,0,0,1,0,0,0
24,0,0,5960,0,0,0,1,0,0,0
23,0,0,5961,0,0,0,1,0,0,0
22,0,0,5959,0,0,0,1,0,0,0
21,0,0,5960,0,0,0,1,0,0,0
16,0,0,5962,0,0,0,1,0,0,0
17,0,0,5961,0,0,0,1,0,0,0
18,0,0,5962,0,0,0,1,0,0,0
19,0,0,5959,0,0,0,1,0,0,0
20,0,0,5960,0,0,0,1,0,0,0
27,0,0,5960,0,0,0,1,0,0,0
41,0,0,5958,0,0,0,1,0,0,0
42,0,0,5959,0,0,0,1,0,0,0
43,0,0,5959,0,0,0,1,0,0,0
44,0,0,5961,0,0,0,1,0,0,0
45,0,0,5961,0,0,0,1,0,0,0
40,0,0,5960,0,0,0,1,0,0,0
39,0,0,5960,0,0,0,1,0,0,0
38,0,0,5961,0,0,0,1,0,0,0
37,0,0,5961,0,0,0,1,0,0,0
36,0,0,5961,0,0,0,1,0,0,0
31,0.482599705,0.005353317,5960,31.90576935,0.045474271,0,83,0,0,0
32,0,0,5961,0,0,0,1,0,0,0
33,0,0,5963,0,0,0,1,0,0,0
34,0,0,5961,0,0,0,1,0,0,0
35,0,0,5960,0,0,0,1,0,0,0
