id,max,16Mar_Clgr,count,sum,std,median,unique,percentile_95,percentile_90,percentile_85
1,7.533133507,2.898241567,5981,17334.38281,0.801923763,2.795184612,5979,4.374017239,3.940020561,3.674953938
2,5.932718277,2.418108539,5980,14460.28906,0.761766117,2.383712053,5904,3.68100841,3.385097265,3.163827968
3,7.672961235,3.282079776,5981,19630.11914,0.817585445,3.158444405,5978,4.821971416,4.345623016,4.049401283
4,5.954280376,2.417434343,5981,14458.6748,0.591307795,2.339415073,5980,3.480999947,3.188040733,3.011166573
5,7.238817215,3.369276168,5980,20148.27148,0.737830363,3.237956762,5976,4.804171395,4.337456512,4.033898044
10,5.554577827,2.487969553,5981,14880.5459,0.607802961,2.410856724,5977,3.558964252,3.280515194,3.097640991
9,6.542173862,2.877664481,5980,17208.43359,0.764651031,2.798429012,5976,4.280762172,3.885663271,3.635647035
8,8.024366379,3.117885348,5981,18648.07227,0.892818198,2.99621439,5980,4.779058456,4.279543877,3.989155293
7,7.770328522,3.386616538,5981,20255.35352,0.811011576,3.270053864,5976,4.904695511,4.441094875,4.183773994
6,11.1316967,3.482575381,5980,20825.80078,0.708084128,3.408987999,5973,4.702387428,4.356790257,4.135774612
11,3.886227131,2.155879563,5979,12890.00391,0.44390686,2.120808601,5976,2.947506976,2.736519384,2.607394433
12,5.658005238,2.633413198,5981,15750.44434,0.631411762,2.594504595,5979,3.737939358,3.424901962,3.239830971
13,6.831400394,2.748017485,5981,16435.89258,0.662736095,2.737420559,5981,3.843341827,3.571936607,3.392810345
14,6.08870554,2.728840493,5982,16323.92383,0.662742194,2.67258215,5979,3.895614934,3.57968545,3.389165831
15,5.008596897,2.422438797,5981,14488.60645,0.638939884,2.42188096,5981,3.455389977,3.25754118,3.101360321
26,7.878804207,2.981259207,5982,17833.89258,0.844093541,2.87997818,5980,4.556327629,4.061305809,3.77275424
28,3.878948212,1.757445942,5981,10511.28418,0.489918732,1.737616777,5938,2.587455511,2.376433372,2.253559351
29,4.882491112,2.22159036,5980,13285.11035,0.597467487,2.183847904,5980,3.273715591,3.00510006,2.845202005
30,5.7996521,2.985700486,5981,17857.47461,0.610256208,2.967532158,5980,3.979194641,3.769134045,3.622527599
25,5.829646587,2.171428436,5981,12987.31348,0.632856974,2.111375332,5965,3.272796631,2.954865217,2.774167776
24,4.428612709,1.773829921,5980,10607.50293,0.615852588,1.695672393,5923,2.89219867,2.585993123,2.402048564
23,3.68329668,1.819810506,5982,10886.10645,0.461590878,1.797211289,5964,2.614458108,2.405757451,2.27401073
22,4.043660164,2.048807879,5981,12253.91992,0.457100865,2.015225887,5979,2.831950426,2.624971867,2.487563133
21,5.748685837,2.42022753,5981,14475.38086,0.513338614,2.355281353,5981,3.285800457,3.007855415,2.860802174
16,4.843630791,1.882804665,5983,11264.82031,0.530895963,1.83265996,5947,2.793867159,2.571454382,2.414236212
17,6.459718227,2.340998968,5980,13999.17383,0.720172096,2.276736259,5970,3.674896502,3.224917698,2.993357229
18,6.476107121,2.61192719,5981,15621.93652,0.73624233,2.534568787,5978,3.921895027,3.532367706,3.311916351
19,6.515616417,3.062618846,5982,18320.58594,0.684640529,2.983163595,5978,4.356417847,3.961076117,3.711513996
20,6.164431572,2.681785101,5982,16042.43848,0.671240736,2.599387169,5979,3.960968113,3.49721384,3.271559191
27,6.953213692,1.844087331,5981,11029.48633,0.732779171,1.767155647,5807,3.146821499,2.761677742,2.528960943
41,5.363125801,2.571186361,5981,15378.26563,0.474034169,2.517579556,5978,3.399368286,3.157999039,3.021477699
42,5.571530819,3.008090725,5981,17991.39063,0.638332905,2.963141203,5977,4.121988297,3.864612103,3.680597305
43,7.692183495,3.252328399,5980,19448.92383,0.896344329,3.040458441,5979,5.18027308,4.432508993,4.060604453
44,6.176009178,3.058794941,5980,18291.59375,0.630320482,2.963149548,5980,4.2560112,3.920043516,3.701554179
45,9.774820328,3.856399587,5980,23061.26953,1.137556771,3.623983383,5975,6.088793683,5.429912043,4.976032972
40,5.014591694,3.161906911,5981,18911.36523,0.504487817,3.129689217,5977,4.046388626,3.835420132,3.681873322
39,7.156991959,3.117940284,5983,18654.63672,0.694524528,3.001233578,5981,4.435613585,3.985993004,3.740079737
38,5.709914207,3.140801637,5982,18788.27539,0.516103484,3.097669601,5980,4.088839579,3.814066076,3.651353431
37,7.998333931,3.554016756,5981,21256.57422,0.935261238,3.396630764,5978,5.362823486,4.87377739,4.556750774
36,7.120408058,3.180103274,5980,19017.01758,0.667922981,3.135944128,5976,4.391849089,4.027798891,3.799558139
31,7.822771072,3.680503371,5980,22009.41016,0.908724759,3.510592699,5975,5.530052376,4.960892344,4.554991865
32,8.515130043,4.467146021,5980,26713.5332,0.998606088,4.285353184,5977,6.506222582,5.857014799,5.461274266
33,6.319839478,2.886998281,5981,17267.13672,0.67818981,2.851901531,5980,4.08234024,3.770954132,3.575532436
34,8.923362732,3.911523535,5981,23394.82227,1.015068752,3.709867001,5979,6.069746971,5.281403542,4.853507996
35,10.37505531,3.930001541,5983,23513.19922,1.059283603,3.783939838,5980,5.938214874,5.36346674,4.997072554
