id,max,16Mar_EVI2,count,sum,std,median,unique,percentile_95,percentile_90,percentile_85
1,2.12000227,1.521858444,5981,9102.235352,0.219275392,1.547348976,5981,1.836047769,1.778196812,1.73281312
2,1.949112535,1.387246388,5980,8295.733398,0.310581789,1.453416228,5902,1.751737297,1.700818539,1.660374689
3,2.06707859,1.559452916,5981,9327.087891,0.206101081,1.583359361,5979,1.853886247,1.793192148,1.753991604
4,1.894534945,1.407859589,5981,8420.408203,0.243538419,1.455711007,5978,1.734323382,1.681505919,1.644572735
5,1.997475386,1.6392552,5980,9802.746094,0.130852826,1.642455578,5976,1.847166073,1.808051467,1.773658663
10,1.999866366,1.395170481,5981,8344.514648,0.245893379,1.416451812,5979,1.752419591,1.696518779,1.654163837
9,2.042964935,1.536455829,5980,9188.005859,0.192518371,1.557776928,5979,1.817389911,1.764093733,1.730122465
8,2.088260889,1.59444997,5981,9536.405273,0.170963978,1.608522892,5977,1.849957228,1.795310259,1.762757421
7,2.068440437,1.620844589,5981,9694.271484,0.16469125,1.63489604,5972,1.853166223,1.810118556,1.78269136
6,2.173214674,1.633474211,5980,9768.175781,0.150517137,1.647125244,5973,1.849626452,1.808679378,1.780313641
11,1.796313763,1.323776855,5979,7914.861816,0.245763833,1.351963401,5975,1.673813832,1.619911408,1.58290174
12,1.924624562,1.437928767,5981,8600.251953,0.221693232,1.486385822,5980,1.722901464,1.672995329,1.641086936
13,2.0102005,1.498766602,5981,8964.123047,0.211425821,1.536999822,5977,1.772608757,1.723321199,1.692503095
14,2.024021626,1.53161568,5982,9162.125,0.198769399,1.570104122,5978,1.782817042,1.741326284,1.715126115
15,1.854892492,1.399184821,5981,8368.524414,0.244872929,1.450850844,5977,1.725486755,1.682852626,1.649424076
26,2.075142384,1.532017929,5982,9164.53125,0.209866983,1.5557127,5979,1.832276976,1.775911438,1.731709713
28,1.838929892,1.17989821,5981,7056.971191,0.273117686,1.221998215,5939,1.553331375,1.493232131,1.454042077
29,1.89934361,1.371675442,5980,8202.619141,0.229305953,1.403697014,5976,1.698429847,1.642999613,1.604740202
30,1.980240226,1.57353772,5981,9411.329102,0.179599661,1.596969962,5978,1.814717293,1.776217103,1.746814132
25,1.96994555,1.349428953,5981,8070.93457,0.28128458,1.405443668,5963,1.709933996,1.650236964,1.612631321
24,1.816255927,1.129367096,5980,6753.615234,0.323212858,1.171891689,5923,1.589301592,1.526173937,1.472766888
23,1.735214591,1.19229229,5982,7132.29248,0.280463135,1.236388445,5963,1.574928522,1.524306524,1.48449586
22,1.858531833,1.33605457,5981,7990.942383,0.21805777,1.370446205,5979,1.63478446,1.588064313,1.557022929
21,2.00561285,1.472393373,5981,8806.384766,0.172842791,1.493265867,5977,1.719276309,1.671087265,1.642766595
16,1.896204472,1.230712115,5983,7363.350586,0.287309857,1.282747388,5943,1.612020421,1.555739641,1.517119372
17,1.982493281,1.397637307,5980,8357.871094,0.238183388,1.427422643,5967,1.731672698,1.670051444,1.628470111
18,2.07447505,1.508972586,5981,9025.165039,0.238022275,1.543488503,5977,1.835743189,1.785960078,1.746134639
19,2.061054468,1.624802631,5982,9719.569336,0.135437875,1.635503769,5977,1.82736904,1.785531616,1.757854497
20,2.015186548,1.518569707,5982,9084.083984,0.19337814,1.543395758,5979,1.796706671,1.740992117,1.702657753
27,1.990507245,1.191340694,5981,7125.408691,0.36849928,1.282187581,5809,1.637787819,1.576694846,1.534731507
41,1.913123369,1.460318678,5981,8734.166016,0.164996314,1.482106328,5977,1.69777441,1.655598879,1.627053499
42,1.945863843,1.528659603,5981,9142.913086,0.190113946,1.556972742,5979,1.780308604,1.736754179,1.707128048
43,2.058990479,1.64811383,5980,9855.720703,0.128973941,1.644304872,5974,1.885337877,1.809037733,1.770340681
44,2.010862112,1.631980136,5980,9759.241211,0.118206379,1.631528378,5974,1.82111271,1.782559979,1.754703814
45,2.174371004,1.688774594,5980,10098.87207,0.167575185,1.692717075,5972,1.954582,1.896998119,1.863208866
40,1.993899107,1.603224665,5981,9588.886719,0.148445935,1.621254683,5972,1.806929111,1.774561524,1.747704625
39,1.962915063,1.611735366,5983,9643.012695,0.132982024,1.617752552,5981,1.826809216,1.774630666,1.742927313
38,1.935889721,1.623204411,5982,9710.008789,0.101288536,1.622477055,5978,1.790988743,1.754959631,1.730104429
37,2.123723507,1.707919969,5981,10215.06934,0.147886682,1.711972475,5972,1.945201755,1.897347569,1.864091396
36,2.040639162,1.646261627,5980,9844.644531,0.156987585,1.659785032,5975,1.861294001,1.824694586,1.800267786
31,2.075439215,1.652243481,5980,9880.416016,0.173298453,1.658047676,5976,1.930739677,1.864875376,1.825245792
32,2.156193018,1.782329281,5980,10658.3291,0.136562239,1.780030727,5970,2.026116335,1.966092336,1.923974079
33,2.055291891,1.537950907,5981,9198.484375,0.183552506,1.553293943,5979,1.803056002,1.759425521,1.728249669
34,2.099899292,1.734166005,5981,10372.04688,0.130041949,1.731527925,5979,1.966620684,1.903710842,1.866187811
35,2.11067009,1.718555438,5983,10282.11719,0.154750782,1.730794787,5980,1.946362019,1.904464006,1.876290905
