id,max,23Mar_NDRE,count,sum,std,median,unique,percentile_95,percentile_90,percentile_85
1,0.400695086,0.202642514,5982,1212.20752,0.050547217,0.200422317,5947,0.287914078,0.269064659,0.255884545
2,0.370816261,0.197966289,5981,1184.036377,0.049296676,0.198311463,5920,0.275333911,0.256856889,0.246210426
3,0.47837463,0.29202344,5980,1746.300171,0.042380391,0.289053738,5975,0.365786438,0.346490294,0.334678011
4,0.305337012,0.154476358,5982,924.0775757,0.042673315,0.154489785,5858,0.222076653,0.206425089,0.19466069
5,0.401069134,0.261078049,5981,1561.507813,0.040498948,0.259887636,5975,0.330018967,0.314542353,0.304176927
10,0.372283578,0.15597598,5981,932.892334,0.061077865,0.162651822,5511,0.239235625,0.221735641,0.210190237
9,0.382121265,0.196762544,5980,1176.640015,0.053567755,0.199733168,5904,0.276057106,0.261075398,0.249486151
8,0.427448064,0.193997153,5982,1160.490967,0.056769566,0.19516933,5931,0.283884074,0.264683148,0.250723211
7,0.422716886,0.258448282,5981,1545.779175,0.047530363,0.263386458,5978,0.331339329,0.314187407,0.304668069
6,0.389737725,0.252316417,5981,1509.104492,0.041181875,0.253930062,5976,0.31676662,0.301605314,0.293057323
11,0.286885321,0.159428911,5980,953.3848877,0.044660804,0.160331205,5808,0.22567573,0.211376213,0.202252486
12,0.437807202,0.196110844,5983,1173.331177,0.058416255,0.194113687,5859,0.296359909,0.26603263,0.247319067
13,0.374525011,0.1923743,5980,1150.398315,0.047643783,0.192437619,5885,0.266795176,0.248524624,0.236368389
14,0.335908115,0.185160316,5981,1107.443848,0.042516214,0.183770522,5950,0.255655229,0.239660069,0.228350624
15,0.312103808,0.209101996,5981,1250.639038,0.033755442,0.210414916,5980,0.263365269,0.251845479,0.243780285
26,0.395237982,0.21629606,5980,1293.450439,0.043529109,0.217424408,5953,0.284780604,0.269903937,0.259731846
28,0.296549678,0.127233977,5982,761.1136475,0.059847665,0.137082055,5246,0.208180916,0.192146058,0.180973047
29,0.328840256,0.158247138,5981,946.4761353,0.06620485,0.164347127,5506,0.249860868,0.235240713,0.22433506
30,0.355049282,0.238642398,5980,1427.081543,0.040350369,0.239236712,5978,0.303547336,0.289307764,0.28025232
25,0.339902461,0.177790123,5980,1063.184937,0.045044515,0.179019749,5912,0.248794038,0.232423565,0.222240851
24,0.348532498,0.119924336,5981,717.2674561,0.060035771,0.121244043,5313,0.219607443,0.192829028,0.176397517
23,0.245089605,0.143143239,5981,856.1397095,0.036768819,0.143343166,5870,0.201140791,0.187968612,0.178582892
22,0.297712326,0.155633527,5982,930.9997559,0.044975783,0.158973217,5776,0.217468801,0.205130915,0.196038155
21,0.29995206,0.195345814,5980,1168.167969,0.026511419,0.194448546,5974,0.239095892,0.22877706,0.222324809
16,0.330553651,0.188347839,5981,1126.508423,0.048691475,0.190195024,5865,0.261055082,0.24531433,0.235229492
17,0.356477052,0.209180226,5981,1251.106934,0.04590247,0.208835229,5961,0.284573883,0.268788368,0.257045299
18,0.36694923,0.221007362,5980,1321.624023,0.045869594,0.225348607,5972,0.290984334,0.275961155,0.266482028
19,0.396821171,0.26735254,5980,1598.768188,0.040530898,0.26407373,5979,0.341351698,0.323685431,0.309338716
20,0.384842455,0.226487217,5980,1354.393555,0.04304425,0.222807497,5979,0.303453757,0.285437122,0.273829389
27,0.334745437,0.12877372,5981,770.1956177,0.071490234,0.137601703,5007,0.233556703,0.212695256,0.198220998
41,0.301539719,0.169687869,5980,1014.733459,0.030136256,0.165994227,5969,0.223328774,0.208570482,0.200312231
42,0.309157193,0.200541342,5982,1199.638306,0.032766417,0.198380232,5981,0.259110489,0.244943644,0.23528863
43,0.399243832,0.23628455,5981,1413.217896,0.03544441,0.232567981,5980,0.302118808,0.281650245,0.269567579
44,0.327088773,0.210322719,5980,1257.729858,0.027352484,0.207041413,5977,0.261172374,0.248520201,0.238871066
45,0.483528614,0.309712775,5980,1852.082397,0.047915625,0.303864658,5978,0.399715462,0.375552174,0.360090642
40,0.336475343,0.19754555,5980,1181.322388,0.056805077,0.205396786,5761,0.270373081,0.256948417,0.247272626
39,0.343467057,0.220769466,5982,1320.642944,0.030457016,0.218935072,5977,0.271898156,0.260857239,0.252477685
38,0.314082086,0.203662142,5981,1218.103271,0.026053968,0.201546475,5979,0.251160592,0.236995712,0.228769243
37,0.40835759,0.234813665,5981,1404.420532,0.041691719,0.229214072,5979,0.313741505,0.292155206,0.277218223
36,0.341119081,0.237521291,5980,1420.377319,0.02854118,0.236667499,5977,0.284514011,0.274240199,0.267365666
31,0.432904869,0.270116481,5982,1615.836792,0.041442917,0.268454313,5978,0.345564453,0.322229734,0.309669167
32,0.496331662,0.346995396,5980,2075.032471,0.032009865,0.344515085,5974,0.401826847,0.388080916,0.377992642
33,0.368204564,0.237584633,5980,1420.756104,0.043446607,0.239851713,5980,0.305339447,0.29061529,0.280502452
34,0.472744316,0.312944673,5982,1872.035034,0.041698252,0.308761358,5981,0.389048445,0.367733216,0.355214801
35,0.466885149,0.299567975,5982,1792.015625,0.048819875,0.297236681,5981,0.385637029,0.364022592,0.34930913
