id,max,30Mar_CIgr,count,sum,std,median,unique,percentile_95,percentile_90,percentile_85
1,5.342033386,1.750783131,6023,10544.9668,0.757094982,1.723875761,5684,3.035714483,2.656077623,2.437196016
2,6.62654686,1.533238964,6022,9233.165039,0.645629938,1.511976123,5719,2.566214395,2.270815015,2.105581474
3,6.07053566,2.494414037,6022,15021.36133,0.615465718,2.413646698,6021,3.652973771,3.281375885,3.07993958
4,3.118852615,1.308830753,6020,7879.161133,0.527135702,1.339619398,5552,2.080188704,1.894653916,1.774245965
5,9.535752296,2.456665465,6023,14796.49609,0.737190484,2.335469007,6020,3.750745392,3.260789871,3.027969742
10,5.471590519,1.26956944,6022,7645.347168,0.726112714,1.361309171,4972,2.303451943,2.087097454,1.944362891
9,5.32968092,1.724352504,6022,10384.05078,0.685251056,1.660754323,5851,2.896447957,2.579854274,2.379915535
8,5.36625433,1.449838223,6022,8730.925781,0.768968811,1.41494143,5445,2.734690964,2.388208032,2.170687413
7,7.740707397,2.469642561,6022,14872.1875,0.763486214,2.349076748,6021,3.859950471,3.428703022,3.180523133
6,7.161301613,2.3887447,6021,14382.63184,0.71871341,2.298259497,6016,3.636673927,3.266043186,3.033201694
11,4.196188927,1.170422724,6022,7048.285645,0.584906102,1.239380479,5140,1.993612862,1.803782701,1.675190127
12,7.459471703,1.908706404,6023,11496.13867,0.807129712,1.742521048,5940,3.406832457,2.84513483,2.503699875
13,5.067968845,1.579409029,6022,9511.201172,0.751583551,1.572753668,5500,2.815777683,2.481070709,2.285657203
14,5.819709778,1.57012387,6021,9453.71582,0.681446211,1.518463373,5699,2.728923082,2.373091698,2.167500496
15,3.718892574,1.718373676,6023,10349.76465,0.451551827,1.66184926,6005,2.51546669,2.318758392,2.173033977
26,3.695746422,1.431912694,6023,8624.410156,0.551936999,1.41810441,5661,2.338923025,2.089402246,1.937433958
28,4.351105213,1.119262817,6022,6740.200684,0.634554809,1.195354939,4955,2.057091546,1.796353912,1.659669316
29,5.009602547,1.450121527,6022,8732.631836,0.788439099,1.481231213,5192,2.720881927,2.350139427,2.160514235
30,5.968453407,2.389003504,6022,14386.5791,0.656551053,2.340527773,6001,3.527575612,3.188964319,3.009288287
25,3.840292454,1.559895131,6022,9393.688477,0.528756768,1.522709608,5832,2.460499918,2.21697681,2.071169353
24,3.527705669,1.05765554,6022,6369.20166,0.671839293,1.128304839,4702,2.094802105,1.846524763,1.697351789
23,2.75543046,1.271937547,6022,7659.60791,0.427879777,1.282442093,5687,1.907155013,1.748240352,1.651505828
22,3.140094757,1.326800835,6022,7989.994629,0.506430561,1.331802845,5604,2.103957486,1.88607564,1.771903014
21,3.824904442,1.72076118,6022,10362.42383,0.388449043,1.685605168,6018,2.390951228,2.17279315,2.071360946
16,4.18971014,1.247209833,6023,7511.944824,0.607860021,1.282690048,5259,2.157834911,1.938900471,1.79737277
17,4.04443264,1.569866706,6022,9453.737305,0.675592588,1.550297022,5674,2.799660289,2.407675648,2.183768082
18,5.099441051,2.07254082,6022,12480.84082,0.685708973,2.018524647,5985,3.304075313,2.971259999,2.761209905
19,6.7624259,2.501079034,6023,15063.99902,0.928586042,2.335334539,6021,4.236246777,3.818347359,3.559671116
20,6.214751244,1.934454202,6022,11649.2832,0.874484481,1.693387151,5982,3.739493752,3.181782722,2.815339386
27,3.734881878,0.9805135,6023,5905.632813,0.718966533,1.106786251,4336,2.106260467,1.827499151,1.657620096
41,2.999281406,1.107352468,6022,6668.476563,0.49326371,1.16445744,5297,1.750608015,1.591012239,1.499174237
42,3.443237782,1.462364073,6022,8806.356445,0.482625208,1.436779618,5829,2.251187134,2.042451549,1.91035645
43,5.196109295,1.969679372,6022,11861.40918,0.64540782,1.856156349,6017,3.209182191,2.896151638,2.667587423
44,3.917972565,1.846432344,6021,11117.36914,0.464592261,1.768546581,6018,2.713577509,2.494897366,2.349693537
45,7.023475647,2.485243884,6022,14966.13867,1.039993955,2.32821846,5976,4.418120241,3.892247534,3.539914417
40,3.678750038,1.354733733,6022,8158.206543,0.524490698,1.35326457,5640,2.172819221,1.947087073,1.810271001
39,4.162219048,1.680016534,6022,10117.05957,0.460190239,1.617905021,6012,2.533656538,2.310055995,2.156233478
38,2.870260239,1.509163828,6022,9088.18457,0.340956244,1.467064023,6020,2.120668411,1.955512643,1.861872661
37,6.415807724,1.969671913,6022,11861.36426,0.686649392,1.855251431,6015,3.25042634,2.906450224,2.667662275
36,3.680389881,1.782893713,6022,10736.58594,0.389209541,1.731931329,6018,2.493161929,2.310645843,2.190448761
31,6.918246746,3.017293038,6022,18170.13867,0.728665892,2.930977821,5986,4.369095516,3.967297792,3.735736752
32,9.134632111,3.713489566,6023,22366.34766,0.846546514,3.558011532,6019,5.326206875,4.763551235,4.466325331
33,4.995273113,1.844130279,6022,11105.35254,0.625886158,1.786755323,5989,2.960956454,2.620103455,2.432452631
34,8.834503174,2.933180876,6022,17663.61523,0.995110351,2.727374554,6021,4.889239383,4.253038836,3.832440972
35,7.469099045,2.833405996,6021,17059.9375,0.878807982,2.716006756,6017,4.487091541,3.948793888,3.67414856
