id,max,30Mar_Cire,count,sum,std,median,unique,percentile_95,percentile_90,percentile_85
1,1.238775492,0.40729608,6023,2453.144287,0.184506184,0.397752404,5680,0.722419465,0.642989063,0.588851273
2,1.135336637,0.346926625,6022,2089.192139,0.146215464,0.34909147,5719,0.579498577,0.521981919,0.484972429
3,1.350683689,0.627627937,6022,3779.575439,0.139869481,0.615190268,6019,0.878013372,0.814034951,0.771380937
4,0.754276395,0.280929353,6020,1691.194702,0.123273715,0.2898736,5548,0.465887034,0.419533384,0.393017644
5,1.406014442,0.583333631,6023,3513.418457,0.130377911,0.572264194,6019,0.811962283,0.747788739,0.708623457
10,1.197160482,0.279248489,6022,1681.634399,0.169613073,0.298232257,4969,0.531607956,0.479957318,0.446734756
9,1.144718647,0.405936006,6022,2444.546631,0.164066835,0.399482667,5849,0.676467556,0.609020329,0.566629857
8,1.094463587,0.331218272,6022,1994.596436,0.180455879,0.332960665,5443,0.619961309,0.55434047,0.511321193
7,1.405795574,0.597052628,6022,3595.450928,0.167015749,0.582007229,6013,0.88911199,0.81110698,0.764392507
6,1.393233776,0.577440871,6021,3476.771484,0.148809758,0.568615079,6014,0.833002687,0.764724851,0.720434427
11,0.796689749,0.263528784,6022,1586.970337,0.134513587,0.28029865,5141,0.453452307,0.413100564,0.385595095
12,1.463332653,0.45551059,6023,2743.540283,0.194462356,0.413336873,5939,0.866893876,0.709543061,0.613320243
13,1.230129719,0.382057375,6022,2300.749512,0.184403373,0.387864947,5497,0.677355027,0.607634282,0.560539162
14,1.083971024,0.367402811,6021,2212.132324,0.163013241,0.360177636,5700,0.653813601,0.563724875,0.516675353
15,0.890864611,0.416961178,6023,2511.357178,0.104198591,0.407171845,5996,0.589590168,0.552605772,0.527427554
26,0.95405674,0.373410147,6023,2249.049316,0.148850169,0.370232701,5658,0.617508101,0.553759098,0.517082989
28,0.844158649,0.252212124,6022,1518.821411,0.152651441,0.266940236,4951,0.486075538,0.428439951,0.393751669
29,0.959685326,0.341916878,6022,2059.023438,0.190657922,0.354655385,5188,0.635939091,0.569324839,0.527548301
30,1.232529402,0.598231939,6022,3602.552734,0.153791792,0.591975212,5999,0.855688256,0.789890289,0.753249574
25,0.842554927,0.369569067,6022,2225.544922,0.126518729,0.365162611,5824,0.586765939,0.52939347,0.492061353
24,0.821897268,0.225416515,6022,1357.458252,0.151217727,0.233771086,4699,0.468276519,0.413477087,0.380152535
23,0.62921536,0.27530938,6022,1657.913086,0.104462147,0.275218427,5680,0.440089601,0.400858819,0.375389481
22,0.762151241,0.291422073,6022,1754.943726,0.115546795,0.296769679,5599,0.462660664,0.422879541,0.398193985
21,0.817685604,0.39125323,6022,2356.126953,0.085363417,0.38410449,6012,0.550494665,0.495522344,0.467238301
16,0.793308616,0.298279771,6023,1796.539063,0.146656043,0.309290051,5253,0.512430382,0.468893623,0.435858786
17,0.883354306,0.369903899,6022,2227.561279,0.154991395,0.375162065,5669,0.619099611,0.562201548,0.520688856
18,1.02848196,0.4960331,6022,2987.111328,0.155414288,0.501997173,5986,0.741686291,0.687041259,0.655323482
19,1.32382679,0.576869478,6023,3474.484863,0.188267877,0.563489676,6016,0.892847466,0.81881845,0.774194789
20,1.392733097,0.424025197,6022,2553.479736,0.174364836,0.391065478,5981,0.759066343,0.661761677,0.595787668
27,0.881490827,0.221211633,6023,1332.357666,0.174240598,0.2394557,4336,0.511115837,0.43885386,0.394487703
41,0.610457659,0.237107757,6022,1427.862915,0.109360972,0.248255253,5290,0.389866596,0.351877081,0.32906431
42,0.752925754,0.330125579,6022,1988.016235,0.11220028,0.3268556,5822,0.511306113,0.467924106,0.440405571
43,0.930264711,0.448639007,6022,2701.704102,0.133690867,0.425444484,6013,0.697662872,0.63907851,0.602769011
44,0.748784184,0.40444151,6021,2435.142334,0.086295233,0.398060322,6009,0.557297826,0.51662147,0.494553447
45,1.510202408,0.607080962,6022,3655.841553,0.218067415,0.598797977,5975,0.978210706,0.881597531,0.829556584
40,0.833524108,0.311632839,6022,1876.652954,0.12599344,0.313031673,5637,0.508802724,0.456832862,0.427306581
39,0.773240924,0.387461794,6022,2333.294922,0.100295351,0.38068825,6013,0.561248982,0.521676207,0.493297637
38,0.617526174,0.3343022,6022,2013.167847,0.068611583,0.33024323,6014,0.451079518,0.422362757,0.403426522
37,1.163895607,0.459556009,6022,2767.446289,0.142464368,0.441394269,6013,0.720270139,0.654576993,0.612877154
36,0.828084826,0.426355966,6022,2567.515625,0.082461202,0.421050906,6014,0.564415592,0.530990219,0.509728456
31,1.351294994,0.719451935,6022,4332.539551,0.141598384,0.7115165,5985,0.977599174,0.906428325,0.865548009
32,1.895156622,0.968249315,6023,5831.765625,0.156142593,0.954779029,6020,1.241715598,1.165925503,1.117338276
33,1.074481487,0.444552186,6022,2677.093262,0.147641356,0.442212105,5989,0.692077005,0.630208468,0.594040334
34,1.772187471,0.741662569,6022,4466.291992,0.198969592,0.720017374,6022,1.10475837,1.007811117,0.937349886
35,1.618830204,0.744213936,6021,4480.912109,0.186200012,0.73428309,6017,1.070415258,0.980739594,0.921205044
