id,max,30Mar_EVI2,count,sum,std,median,unique,percentile_95,percentile_90,percentile_85
1,1.937246561,1.093936217,6023,6588.777832,0.398609072,1.186487675,5682,1.591242218,1.517726326,1.461756766
2,1.852755308,1.017807184,6022,6129.234863,0.355746944,1.067190647,5719,1.488524938,1.414694488,1.360454696
3,1.979897141,1.402941493,6022,8448.513672,0.204903941,1.43156743,6021,1.688013297,1.64081049,1.606216264
4,1.629914999,0.858780546,6020,5169.858887,0.34312089,0.890558839,5555,1.324555731,1.256876397,1.203740615
5,2.18588829,1.382992312,6023,8329.762695,0.237320181,1.407925844,6020,1.729844522,1.651993513,1.60757122
10,1.734772205,0.832143631,6022,5011.168945,0.456971583,0.930626035,4973,1.418704891,1.346117032,1.289901447
9,1.867354512,1.105533778,6022,6657.524414,0.336790009,1.163166285,5851,1.544622517,1.480438173,1.435769516
8,1.761231303,0.883134886,6022,5318.238281,0.37740002,0.926349044,5445,1.386614209,1.308272028,1.249023139
7,1.991161823,1.403559345,6022,8452.234375,0.223036019,1.435676336,6019,1.714757031,1.664586067,1.622077143
6,1.988214493,1.350085005,6021,8128.861816,0.236156642,1.388084769,6015,1.676089883,1.623207211,1.580480337
11,1.571029663,0.790252959,6022,4758.90332,0.397413398,0.856670141,5142,1.298126185,1.229825139,1.179555136
12,2.046991348,1.114872481,6023,6714.876953,0.310690736,1.110071898,5941,1.64204793,1.511419249,1.41267947
13,1.786146641,0.947838638,6022,5707.884277,0.396073826,1.009050131,5498,1.493748254,1.400769925,1.334327281
14,1.738657951,0.944708981,6021,5688.092773,0.33070969,0.9810642,5702,1.407482624,1.324715376,1.262629151
15,1.690509081,1.074735243,6023,6473.130371,0.272219252,1.099825978,6009,1.475327706,1.419362545,1.373775113
26,1.677167416,0.891670877,6023,5370.533691,0.328538585,0.920400739,5662,1.347448349,1.269629478,1.213500285
28,1.87370038,0.734840902,6022,4425.211914,0.400293127,0.813163698,4958,1.274285597,1.172894335,1.10848316
29,1.840614796,0.913876415,6022,5503.36377,0.452881806,1.004376173,5191,1.494085979,1.416809177,1.355841392
30,1.984089494,1.387269141,6022,8354.134766,0.235038289,1.42198956,5997,1.695506561,1.645498395,1.609251547
25,1.736725569,1.013604982,6022,6103.929199,0.313038734,1.04660213,5830,1.458870256,1.375711644,1.321060216
24,1.66234839,0.683671833,6022,4117.071777,0.424902791,0.734764934,4704,1.293934155,1.199349034,1.125780642
23,1.448364019,0.821676152,6022,4948.133789,0.287008656,0.83009553,5688,1.240235084,1.164674032,1.110036397
22,1.551677585,0.860907143,6022,5184.382813,0.315796795,0.909414768,5603,1.272345352,1.199939108,1.156070536
21,1.748090267,1.14634248,6022,6903.274414,0.190302687,1.155792952,6015,1.457078958,1.377834487,1.331587708
16,1.667405248,0.804010246,6023,4842.553711,0.380991357,0.847290814,5255,1.315406168,1.229179764,1.178106594
17,1.738449335,0.985583379,6022,5935.183105,0.339766908,1.035757542,5674,1.422399998,1.342851985,1.292525721
18,1.890675306,1.26892402,6022,7641.460449,0.311343329,1.340840101,5987,1.673584485,1.619802845,1.572433239
19,1.99431181,1.432324851,6023,8626.892578,0.242244781,1.457184076,6022,1.795256174,1.743602991,1.698332238
20,2.016541719,1.154113952,6022,6950.074219,0.322159186,1.137732029,5981,1.732564628,1.602070487,1.496085787
27,1.563730717,0.633271839,6023,3814.196289,0.43815586,0.735866785,4337,1.228239346,1.13984201,1.075851572
41,1.445762396,0.619568013,6022,3731.038574,0.268005257,0.647812009,5299,0.970140317,0.889023644,0.836170813
42,1.558405161,0.875699421,6022,5273.461914,0.25485834,0.880315185,5832,1.261500716,1.179674923,1.122937876
43,1.895724416,1.221155973,6022,7353.80127,0.263317897,1.201738477,6019,1.667548513,1.589443946,1.529040468
44,1.78801918,1.19099647,6021,7170.989746,0.187214964,1.188781023,6016,1.510193229,1.431714892,1.383698106
45,1.988800049,1.364289759,6022,8215.75293,0.324580695,1.431917906,5974,1.787399149,1.72012291,1.673645782
40,1.476317048,0.814513207,6022,4904.998535,0.281526122,0.842500687,5640,1.194584239,1.122457671,1.072272849
39,1.690162182,1.02949788,6022,6199.63623,0.210119369,1.037672281,6016,1.360493857,1.297561049,1.252069163
38,1.454168081,0.956792461,6022,5761.804199,0.138429108,0.953687608,6019,1.196138734,1.143254972,1.104586405
37,2.003399134,1.162479032,6022,7000.44873,0.257228949,1.127207041,6018,1.615199959,1.52693733,1.459515053
36,1.691061258,1.173751583,6022,7068.332031,0.185662779,1.182817936,6018,1.45915938,1.40659045,1.36653049
31,1.977318287,1.563321208,6022,9414.320313,0.171082023,1.575026035,5981,1.828240871,1.773985076,1.74044295
32,2.099850416,1.677878354,6023,10105.86133,0.1182923,1.674752951,6016,1.881977582,1.826994038,1.791152048
33,1.796055079,1.170730677,6022,7050.140137,0.266643965,1.207505226,5993,1.54394275,1.481068146,1.433475685
34,2.075071096,1.531164539,6022,9220.672852,0.171193344,1.529776812,6014,1.821406627,1.7492823,1.705735588
35,1.938514709,1.487976814,6021,8959.108398,0.188262886,1.509171844,6019,1.751192093,1.702301741,1.668385148
