id,max,30Mar_MTVI2,count,sum,std,median,unique,percentile_95,percentile_90,percentile_85
1,0.98170799,0.712647741,6023,4292.277344,0.222370556,0.793813407,5684,0.910920972,0.895055151,0.882854098
2,1.002095819,0.700322937,6022,4217.344727,0.210563684,0.75841856,5721,0.911362216,0.89099859,0.873641735
3,1.037118435,0.828055998,6022,4986.553223,0.073447843,0.846036196,6013,0.913436103,0.901521587,0.892829594
4,0.960437536,0.61747982,6020,3717.228516,0.227496184,0.669204473,5555,0.871422175,0.846037668,0.826370642
5,1.098745108,0.821164783,6023,4945.875488,0.092998951,0.839665234,6020,0.937123156,0.918133569,0.904541868
10,0.977047324,0.580320644,6022,3494.690918,0.298607163,0.684233427,4973,0.887377086,0.864714354,0.845059067
9,0.986311316,0.735602271,6022,4429.796875,0.182209546,0.787551761,5851,0.912917554,0.897800827,0.884139732
8,0.957095385,0.618069844,6022,3722.016602,0.237791785,0.681767941,5446,0.866273713,0.839880204,0.821180391
7,0.964747429,0.832831376,6022,5015.310547,0.076926041,0.8526299,6020,0.917411268,0.907164031,0.898425546
6,0.970452905,0.811718069,6021,4887.354492,0.08963851,0.837832689,6017,0.911052048,0.898907065,0.889852703
11,0.962432325,0.574113423,6022,3457.311035,0.273836629,0.654746532,5143,0.866560733,0.840060508,0.819973156
12,1.024628997,0.7258636,6023,4371.876465,0.147907675,0.756139219,5940,0.892995185,0.872277606,0.856106257
13,1.06359899,0.638927732,6022,3847.622803,0.24101517,0.700723529,5501,0.897837645,0.871510994,0.849265364
14,1.019391418,0.649961909,6021,3913.420654,0.200584793,0.696259618,5693,0.872608721,0.841058373,0.818291545
15,0.940566242,0.719150078,6023,4331.440918,0.139218338,0.750077426,6007,0.890508246,0.875376046,0.86064896
26,0.983390152,0.626402623,6023,3772.822998,0.203836648,0.669871628,5659,0.856361467,0.824983764,0.802974772
28,0.969882965,0.538819981,6022,3244.773926,0.27871046,0.623001575,4955,0.853678083,0.817097002,0.787371066
29,1.032170773,0.618923404,6022,3727.156738,0.281276256,0.70620048,5193,0.910437998,0.882235223,0.859497339
30,0.976941764,0.828345708,6022,4988.297852,0.086967199,0.849695206,5997,0.912368873,0.900496531,0.892161384
25,0.989662468,0.696834183,6022,4196.335449,0.180817327,0.737755597,5832,0.896446934,0.872737634,0.854539356
24,0.965319276,0.499796847,6022,3009.776611,0.292522445,0.573020339,4702,0.852908334,0.814201719,0.783735564
23,0.927399635,0.60289007,6022,3630.604004,0.192961488,0.623078823,5684,0.836051142,0.809799576,0.78865287
22,0.976117313,0.620920111,6022,3739.180908,0.211122072,0.669238567,5604,0.851239011,0.822495556,0.801852545
21,0.941379488,0.771980197,6022,4648.864746,0.083409586,0.781900167,6018,0.883378905,0.868735683,0.856458041
16,0.956235528,0.577638705,6023,3479.11792,0.252244949,0.643498838,5259,0.848832059,0.82292012,0.801107371
17,0.968587756,0.677182727,6022,4077.994385,0.206487423,0.732252002,5672,0.87966463,0.859553105,0.842442062
18,0.983958483,0.791922132,6022,4768.955078,0.133325848,0.835314274,5988,0.925324631,0.912459183,0.902063161
19,1.024381757,0.849069453,6023,5113.945313,0.06695782,0.866773009,6019,0.928027999,0.91416738,0.906076616
20,0.985904634,0.750222329,6022,4517.838867,0.130953156,0.776427627,5981,0.905885816,0.887945211,0.87156913
27,0.951631725,0.466653058,6023,2810.651367,0.310411335,0.575778902,4336,0.830594426,0.791928542,0.764225572
41,0.848242044,0.461158127,6022,2777.094238,0.190109653,0.498696566,5297,0.678485355,0.639410859,0.612248543
42,0.937255442,0.622113773,6022,3746.369141,0.156446472,0.638865232,5830,0.814517903,0.784958971,0.759526029
43,0.956841886,0.784450667,6022,4723.961914,0.096402102,0.798047662,6017,0.904309395,0.893928128,0.883550414
44,0.935467482,0.78446985,6021,4723.292969,0.070205582,0.794726133,6010,0.879740357,0.864416838,0.852152646
45,0.967658639,0.81037652,6022,4880.087402,0.12652377,0.855486274,5968,0.911034968,0.901590419,0.894442034
40,0.88708204,0.587848219,6022,3540.021973,0.189581252,0.620848119,5641,0.803673562,0.775864506,0.753451338
39,0.926177502,0.705264454,6022,4247.102539,0.101032469,0.722085595,6011,0.844934961,0.82256785,0.806486651
38,0.886784613,0.685706365,6022,4129.32373,0.07584253,0.690259218,6022,0.801020184,0.780294156,0.763613763
37,1.027819633,0.753589054,6022,4538.113281,0.096238478,0.760637045,6018,0.891938812,0.872294211,0.857029593
36,0.991683066,0.780170462,6022,4698.186523,0.083056274,0.79438436,6017,0.888836467,0.87070592,0.858813301
31,0.93500036,0.864679606,6022,5207.100586,0.039648831,0.874126196,5976,0.909781682,0.90430975,0.900330704
32,0.939501703,0.874730039,6023,5268.499023,0.021685475,0.876570821,6007,0.907130277,0.900626802,0.896670514
33,1.004316211,0.769478708,6022,4633.800781,0.119128492,0.803357542,5990,0.89198235,0.878675336,0.868004921
34,0.977237999,0.862771239,6022,5195.608398,0.037014651,0.868301034,6011,0.913414931,0.902912927,0.89570654
35,1.076189876,0.848018832,6021,5105.921387,0.067255706,0.860183656,6014,0.932321787,0.914527655,0.90479219
