id,max,30Mar_NDRE,count,sum,std,median,unique,percentile_95,percentile_90,percentile_85
1,0.382482708,0.164266481,6023,989.3770142,0.064760558,0.165885508,5685,0.265359351,0.243281031,0.227456568
2,0.362109929,0.144438157,6022,869.8065796,0.054601131,0.148607016,5721,0.224655512,0.206972907,0.195162091
3,0.403106868,0.236739823,6022,1425.647217,0.039893901,0.235237285,6022,0.305076192,0.289276755,0.278338119
4,0.273856461,0.120519026,6020,725.5245361,0.049122585,0.126589328,5553,0.188932835,0.173394325,0.164235156
5,0.412803411,0.223892133,6023,1348.502319,0.038066351,0.222474873,6022,0.28875289,0.272142017,0.261617571
10,0.374444902,0.117538295,6022,707.8156128,0.067203593,0.129765928,4973,0.209988251,0.193534508,0.182584044
9,0.364013046,0.164825206,6022,992.5773926,0.057508894,0.166486979,5851,0.252746406,0.233428739,0.220768031
8,0.353684455,0.136874156,6022,824.2561646,0.067639231,0.142720222,5444,0.236629938,0.217019029,0.203606451
7,0.412765712,0.226792917,6022,1365.746948,0.048471893,0.225408822,6017,0.307745762,0.288536495,0.276513723
6,0.410591751,0.221494788,6021,1333.620117,0.044215067,0.221370295,6019,0.294035256,0.276600689,0.264823318
11,0.284868866,0.113159889,6022,681.4488525,0.055086486,0.122921914,5142,0.184822144,0.171190767,0.16163478
12,0.422521502,0.18080867,6023,1089.01062,0.059856191,0.17127192,5943,0.302380869,0.261868155,0.234690037
13,0.380829811,0.155190713,6022,934.5584717,0.067608057,0.162431687,5501,0.252994083,0.233021271,0.218914509
14,0.351485491,0.151173357,6021,910.2147827,0.058774749,0.152606145,5703,0.246367544,0.219885081,0.205300748
15,0.308165431,0.17098577,6023,1029.84729,0.035553426,0.169149488,6005,0.227677001,0.216486925,0.208681577
26,0.322964936,0.153888326,6023,926.8693848,0.05519955,0.15620099,5661,0.235914485,0.216840777,0.205429469
28,0.296804339,0.107840901,6022,649.4179077,0.061386407,0.11775355,4956,0.195519188,0.176425999,0.164491457
29,0.324252486,0.140159959,6022,844.0432739,0.072121025,0.150618821,5192,0.241257125,0.22158539,0.208719391
30,0.381289512,0.227542732,6022,1370.262329,0.045896199,0.228387684,6002,0.299643436,0.283125949,0.273585628
25,0.29640761,0.153499658,6022,924.374939,0.046394119,0.154392183,5831,0.226833799,0.209296598,0.197451524
24,0.291256964,0.097098977,6022,584.7300415,0.061898484,0.10465309,4703,0.189718,0.171320097,0.159717725
23,0.239316806,0.119086948,6022,717.1416016,0.041769084,0.120963529,5683,0.18035795,0.166964763,0.1580328
22,0.275926679,0.124865706,6022,751.9412842,0.046045422,0.129211754,5604,0.187870245,0.174535945,0.166039097
21,0.290197581,0.162582352,6022,979.0709229,0.029076937,0.161110595,6021,0.215838388,0.198564596,0.18937703
16,0.284003228,0.126073522,6023,759.3408203,0.058368274,0.133932963,5257,0.203958021,0.189920533,0.178934336
17,0.306363434,0.15234528,6022,917.4232788,0.05746834,0.157952204,5673,0.23637877,0.219421305,0.206566097
18,0.339603126,0.195586499,6022,1177.821899,0.050668389,0.200638592,5987,0.270521946,0.255686927,0.246796104
19,0.398283929,0.219789939,6023,1323.7948,0.056018385,0.219813511,6021,0.308639628,0.290482837,0.2790701
20,0.410504729,0.17090687,6022,1029.201172,0.056228415,0.163552806,5983,0.275117086,0.248617925,0.229520971
27,0.305914849,0.094083996,6023,566.6679077,0.070451743,0.106925853,4338,0.203541316,0.179942662,0.164748262
41,0.233850822,0.103762685,6022,624.8588867,0.04565407,0.110421285,5297,0.163133223,0.149615404,0.141286059
42,0.273500204,0.139643806,6022,840.9349976,0.042399972,0.140470937,5830,0.203601667,0.189602304,0.180464082
43,0.317467809,0.180843945,6022,1089.042236,0.04361652,0.17540887,6018,0.258617505,0.242159724,0.231587593
44,0.272405595,0.167145166,6021,1006.381042,0.029593025,0.165992618,6018,0.217924491,0.205283746,0.198253274
45,0.430232227,0.227469838,6022,1369.823364,0.06491034,0.230413437,5974,0.32845585,0.305940554,0.293175468
40,0.294165164,0.132161191,6022,795.8746948,0.048830745,0.135333955,5640,0.202806997,0.185943814,0.176041444
39,0.278822154,0.16082488,6022,968.4874268,0.034947285,0.159906819,6015,0.219130988,0.206876759,0.197849481
38,0.235919759,0.142476923,6022,857.9960327,0.025062318,0.141720474,6021,0.184032997,0.17435981,0.167854743
37,0.367867887,0.184186182,6022,1109.169189,0.04603963,0.180795982,6018,0.264778908,0.246584292,0.234560261
36,0.292807639,0.174773937,6022,1052.488647,0.027840825,0.173912466,6018,0.220095217,0.209795451,0.203101022
31,0.403215796,0.26259702,6022,1581.359253,0.037750278,0.262405396,5987,0.328317912,0.311870158,0.302053216
32,0.486541808,0.324388672,6023,1953.792969,0.034608742,0.323130459,6020,0.383042735,0.368273211,0.358427033
33,0.349483818,0.178870955,6022,1077.160889,0.04959756,0.181070313,5994,0.257079215,0.239604002,0.229001958
34,0.469803691,0.266811952,6022,1606.741577,0.051336568,0.264710546,6022,0.355827498,0.335064638,0.319114146
35,0.447335213,0.267902409,6021,1613.040405,0.04877811,0.268546849,6019,0.348622322,0.329025596,0.315351039
