id,max,30Mar_RGBVI,count,sum,std,median,unique,percentile_95,percentile_90,percentile_85
1,0.796613157,0.491237407,6023,2958.7229,0.186625141,0.550797999,5685,0.697978497,0.677679777,0.661256516
2,0.823834181,0.486273799,6022,2928.34082,0.177018686,0.524039626,5721,0.700431135,0.672990012,0.653771099
3,0.789894938,0.543530168,6022,3273.138672,0.08882172,0.560590148,6016,0.660160294,0.641687322,0.629434887
4,0.741748631,0.439611857,6020,2646.463379,0.183999174,0.478682995,5555,0.665403607,0.640323788,0.621302944
5,0.885189056,0.551309417,6023,3320.536621,0.130468974,0.571572423,6022,0.724515259,0.693380105,0.671815449
10,0.762222111,0.393571634,6022,2370.088379,0.223375436,0.450492144,4974,0.663201925,0.637074542,0.61762872
9,0.788568974,0.50097559,6022,3016.875,0.159743344,0.539370179,5853,0.694822562,0.671662402,0.654256836
8,0.763773978,0.419475716,6022,2526.082764,0.189724695,0.460542172,5446,0.652006617,0.62453025,0.602481294
7,0.755020976,0.552684509,6022,3328.266113,0.100985659,0.569852829,6019,0.688660297,0.668626142,0.652656201
6,0.801005781,0.541292245,6021,3259.120605,0.10725925,0.563468158,6016,0.676582992,0.65490073,0.640707433
11,0.738238633,0.401526394,6022,2417.991943,0.208844348,0.449302584,5142,0.657280061,0.632173193,0.608667654
12,0.784605563,0.473233829,6023,2850.287354,0.136627698,0.493440449,5942,0.656661063,0.630249727,0.611557132
13,0.82330364,0.414371426,6022,2495.344727,0.205644017,0.443695396,5501,0.689038631,0.656250286,0.630632812
14,0.808695138,0.432256471,6021,2602.616211,0.173837461,0.456454039,5702,0.667754591,0.632502735,0.60681349
15,0.73087281,0.478246596,6023,2880.479248,0.138805102,0.504629612,6007,0.663540602,0.643344653,0.627054721
26,0.754355669,0.396700303,6023,2389.325928,0.15512199,0.410749137,5663,0.616609299,0.576091766,0.550803787
28,0.809974849,0.364809217,6022,2196.881104,0.217586769,0.407094836,4957,0.658356082,0.616753322,0.588239887
29,0.806907594,0.406954975,6022,2450.682861,0.207608839,0.443544388,5192,0.676745892,0.641277957,0.612125379
30,0.75161618,0.555030846,6022,3342.395752,0.090279831,0.573711038,6002,0.666608131,0.64843663,0.636499339
25,0.774459243,0.472378095,6022,2844.660889,0.150534744,0.492830604,5830,0.67255666,0.645724893,0.625263563
24,0.768147111,0.357983577,6022,2155.7771,0.218361313,0.416704506,4702,0.638447505,0.601648998,0.573348224
23,0.741580606,0.409621224,6022,2466.739014,0.15551912,0.42002064,5683,0.622200155,0.590166098,0.569976929
22,0.782565117,0.425379525,6022,2561.635498,0.16639606,0.449808419,5604,0.643527868,0.613693935,0.589593139
21,0.716165721,0.532435635,6022,3206.327393,0.085366289,0.543617487,6017,0.649607432,0.633140075,0.620478076
16,0.720212758,0.38821744,6023,2338.233643,0.183394723,0.420815766,5259,0.626949233,0.593118525,0.568684393
17,0.771945,0.44106708,6022,2656.105957,0.16858702,0.474847794,5671,0.650268641,0.625274962,0.605727941
18,0.81073761,0.539643864,6022,3249.735352,0.139900121,0.56994164,5983,0.716673997,0.692645794,0.675114194
19,0.779725254,0.603565037,6023,3635.272217,0.068502924,0.614188015,6014,0.699588954,0.680448937,0.668272603
20,0.80181849,0.530690812,6022,3195.820068,0.113342778,0.543204069,5977,0.686553517,0.662594861,0.643233794
27,0.727338433,0.312122723,6023,1879.915161,0.218727067,0.361965358,4338,0.621829927,0.577469516,0.540976822
41,0.647254884,0.328308957,6022,1977.076538,0.139142213,0.356981874,5298,0.49302149,0.46169492,0.442496511
42,0.679732919,0.415452058,6022,2501.852295,0.12431972,0.428128958,5831,0.582848087,0.556294709,0.537299898
43,0.722783387,0.559633233,6022,3370.111328,0.072973043,0.567738056,6021,0.661814451,0.648499602,0.63751258
44,0.717536569,0.552254447,6021,3325.124023,0.059699409,0.556330562,6016,0.642528534,0.626720846,0.614208102
45,0.754989028,0.543780471,6022,3274.645996,0.114115945,0.573028266,5974,0.666298828,0.649437475,0.638296434
40,0.686148226,0.383045694,6022,2306.701172,0.151025389,0.401636899,5640,0.581044653,0.557250416,0.537347189
39,0.718271554,0.479852601,6022,2889.672363,0.094357308,0.486215293,6013,0.621829352,0.599720758,0.58258169
38,0.685747087,0.468936045,6022,2823.932861,0.082459688,0.472687542,6021,0.594136044,0.572838402,0.55527721
37,0.855521142,0.521886789,6022,3142.802246,0.102745918,0.531444013,6017,0.675306734,0.64297272,0.620977303
36,0.761933148,0.531413179,6022,3200.170166,0.08824706,0.542446315,6018,0.653708103,0.632349288,0.618694481
31,0.717594981,0.58527558,6022,3524.529541,0.053707714,0.590337157,5981,0.66279805,0.649494898,0.63930676
32,0.726170957,0.561406211,6023,3381.349609,0.057696686,0.566606998,6011,0.645643836,0.628580439,0.617420131
33,0.769158006,0.516927394,6022,3112.936768,0.120885029,0.550086915,5993,0.658148804,0.638643461,0.624988934
34,0.746260583,0.57005267,6022,3432.857178,0.072291184,0.577706218,6021,0.678484032,0.656692725,0.640731454
35,0.752093256,0.548561115,6021,3302.886475,0.098616137,0.570858598,6014,0.666857839,0.648352861,0.635602295
