id,max,5Apr_Clgr,count,sum,std,median,unique,percentile_95,percentile_90,percentile_85
1,7.718476295,2.045437058,5899,12066.0332,0.802703202,1.949901581,5781,3.451270962,3.045301437,2.812819552
2,4.084213257,1.361266645,5901,8032.834473,0.610036629,1.413927317,5314,2.245974064,2.036159992,1.897580862
3,6.655148506,2.481283711,5898,14634.61133,0.743392305,2.366360664,5883,3.883891129,3.426310492,3.16750598
4,2.734297752,1.360508282,5901,8028.359375,0.381527286,1.37398839,5686,1.904607773,1.771184206,1.68948245
5,5.940239906,2.574458462,5899,15186.73047,0.539968677,2.516162395,5895,3.519534874,3.254273796,3.108231306
10,4.43956995,1.411818791,5898,8326.907227,0.568447602,1.413772225,5482,2.296383893,2.049215722,1.92215749
9,6.764693737,2.043902774,5900,12059.02637,0.64138147,1.987375021,5879,3.153104138,2.836281252,2.645745409
8,4.630753517,1.743171181,5899,10282.9668,0.597385855,1.706823587,5823,2.76478231,2.45572896,2.288284087
7,7.265012741,2.929273702,5900,17282.71484,0.885363837,2.766014814,5900,4.701910424,4.178110409,3.842778563
6,8.558052063,3.146801232,5899,18562.98047,0.954425723,2.982865334,5899,4.957403183,4.383441067,4.069768143
11,3.190768242,1.220592705,5899,7200.276367,0.485231747,1.243908405,5404,1.92519536,1.74577446,1.62122829
12,4.414776802,1.883382313,5899,11110.07227,0.462185666,1.822387934,5894,2.722391677,2.4957407,2.349498081
13,5.799750805,1.689901503,5898,9967.039063,0.802952506,1.611166239,5551,3.125470281,2.665988088,2.443578613
14,4.598285675,1.68911679,5900,9965.789063,0.66208053,1.609953761,5699,2.842558885,2.536766338,2.328789771
15,3.680245399,1.644572299,5900,9702.976563,0.517742961,1.63218224,5773,2.520355916,2.267675781,2.122103298
26,5.579550743,1.953996807,5901,11530.53516,0.714057018,1.868000031,5814,3.264951229,2.841614246,2.619653702
28,9.577708244,2.118214885,5899,12495.34961,1.293392114,1.75908637,5790,4.908406448,3.460678387,2.961067915
29,4.969328403,1.896318965,5898,11184.48926,0.566705281,1.837936163,5868,2.930139101,2.608827686,2.446810651
30,5.637395859,2.298131219,5898,13554.37793,0.700845911,2.244534254,5864,3.537465334,3.18051486,2.977423227
25,5.346168518,1.74014352,5901,10268.58691,0.532093328,1.654355764,5875,2.682482004,2.353210211,2.188467264
24,3.843456745,1.48140078,5899,8738.783203,0.72726492,1.387460709,5441,2.907744312,2.434337378,2.168339562
23,3.576357365,1.727767556,5898,10190.37305,0.51657677,1.669995189,5850,2.70009923,2.421569443,2.241689539
22,3.582416534,1.769946277,5899,10440.91309,0.523721393,1.699810266,5896,2.70936172,2.469776154,2.338942313
21,3.998774529,1.78069908,5901,10507.90527,0.548860238,1.712049961,5898,2.765538454,2.465779781,2.32613945
16,3.026123524,1.354457665,5898,7988.591309,0.49992808,1.344532609,5565,2.150830734,1.953489041,1.833610654
17,4.343929291,1.661158146,5898,9797.510742,0.732964054,1.579631209,5618,3.058810687,2.59814477,2.364637184
18,4.772636414,1.943053444,5899,11462.07227,0.664992733,1.809056044,5895,3.232671404,2.861307812,2.628261638
19,6.216920376,1.868305795,5898,11019.26758,0.919916769,1.679308414,5869,3.67953949,3.0311059,2.723439336
20,4.102041245,1.529694918,5898,9022.140625,0.691425166,1.435016274,5645,2.802985847,2.51776576,2.26705606
27,4.223695755,1.320642932,5899,7790.472656,0.869307194,1.282611132,4819,2.896587801,2.504920912,2.227929854
41,3.191479683,1.181626882,5898,6969.235352,0.593032036,1.249263167,5026,2.000839841,1.847271252,1.733331299
42,3.919598579,1.697233338,5898,10010.28223,0.587483107,1.691316724,5740,2.63970623,2.443584752,2.304892755
43,5.62621212,2.209117001,5898,13029.37207,0.83668522,2.168735981,5845,3.763603473,3.318875647,3.020349097
44,3.734586239,1.793795899,5902,10586.9834,0.509575833,1.740190387,5898,2.646050966,2.475438213,2.358645308
45,6.081498146,1.989123577,5900,11735.8291,0.864802234,1.802501082,5839,3.81500597,3.249252748,2.83962208
40,3.508268833,1.443732022,5899,8516.575195,0.526215531,1.389502287,5661,2.383606172,2.136928272,1.989958286
39,3.321716785,1.511344511,5900,8916.932617,0.544911315,1.482892394,5650,2.427158546,2.177362084,2.026707387
38,2.513502598,1.375847497,5898,8114.748535,0.390761149,1.342435718,5797,1.978477073,1.874772215,1.810025656
37,6.453046322,2.335064683,5902,13781.55176,0.836540518,2.282486439,5888,3.845630264,3.439984703,3.146253705
36,2.91756773,1.545583348,5898,9115.850586,0.389433061,1.485729694,5896,2.294718075,2.115348148,1.982801914
31,6.066964626,3.072328212,5898,18120.5918,0.771994887,2.964133263,5894,4.433164716,4.121797419,3.940460229
32,7.456532478,3.49760196,5900,20635.85156,0.823397033,3.314362288,5894,5.181535363,4.604547262,4.257807398
33,4.814759731,1.817670202,5899,10722.43652,0.609645167,1.722115755,5898,2.956065059,2.582542229,2.400752783
34,6.645559311,2.370603979,5898,13981.82227,0.73877837,2.269742966,5895,3.723536825,3.299371672,3.050082898
35,6.028564453,2.280257548,5900,13453.51953,0.754226971,2.170166731,5894,3.698905182,3.291958666,3.018068647
