Maize_high,N,P,K,pH,SoilTemp,SoilHumi,EC,Water feed Per Area (m3/dunam),Uv radiation,Evapotranspiration,Daily rain,Rain rate,Humidity,Wind speed,Temperature
1.38,0,1,2,7,40,16.8,11,1.96,4.4,0.2,0,0,74,9,31.2
1.38,1,1,3,6.4,38.9,19.4,15,1.96,4.5,0.66,0,0,74,6,31.2
1.72,1,1,3,6.6,37,25,15,1.96,4.6,0.66,0,0,73,11,31.1
1.22,2,3,6,6.4,38.9,6.6,34,1.96,4.9,0.66,0,0,73,8,31.2
1.57,0,0,1,6.4,39,16.9,7,1.96,5.3,0.66,0,0,73,8,31.5
1.73,0,0,0,6.6,38,24,0,1.96,5.3,0.66,0,0,73,8,31.5
1.35,0,1,2,6.6,39.5,19.8,10,1.96,5.3,0.66,0,0,73,8,31.5
1.38,0,1,2,6.5,39.6,19.8,12,1.96,5.5,0.66,0,0,70,3,31.8
1.13,2,3,7,6.4,39.2,15.9,37,1.96,5.8,0.66,0,0,70,9,32.1
1.28,0,0,1,6.3,40,23.8,8,1.96,6,0.66,0,0,69,9,32
1.2,0,0,0,6.2,39.3,20.7,0,1.96,6.3,0.66,0,0,71,3,31.9
1.24,0,0,1,6,40,24,7,1.96,6.7,0.66,0,0,69,6,32.3
1.42,0,0,0,6.4,39,17.5,0,1.96,6.9,0.66,0,0,69,6,32.4
1.45,0,0,0,6.3,38.7,18.6,0,1.96,7.1,0.66,0,0,70,3,32.6
1.42,0,1,2,6.4,38.1,26.4,10,1.96,7,0.66,0,0,68,3,32.9
1.3,0,0,0,6.5,38.4,10.3,0,7.51,7.4,1.27,0,0,67,0,33.2
1.5,0,1,2,6.7,40.4,15.8,10,7.51,7.6,1.27,0,0,67,0,33.6
1.13,0,0,0,6.6,41,12,0,7.51,7.8,1.27,0,0,66,3,34
2.08,1,2,4,6.5,41,17.5,24,7.51,8,1.27,0,0,63,0,34.1
1.34,0,0,0,6.6,41,13.5,0,7.51,8.1,1.27,0,0,65,11,34.2
1.31,0,0,0,6.7,41.7,14.3,0,7.51,8.3,1.27,0,0,64,8,34.4
2,0,0,0,6.5,42,12.4,0,7.51,7.9,1.27,0,0,64,6,34.6
0.92,0,0,0,6.5,41.7,13.6,0,7.51,7.9,1.27,0,0,62,6,34.7
1.1,0,0,0,6.6,42,15,0,7.51,8.5,1.27,0,0,63,1,34.7
1.85,0,0,0,6.7,41,13,0,7.51,8.1,1.27,0,0,62,6,34.7
1.56,0,0,0,6.6,38,15,0,7.51,8.2,1.27,0,0,62,8,34.8
1.26,0,0,0,6.6,40,13.6,0,7.51,8.3,1.27,0,0,63,9,34.9
1.01,0,0,0,6.8,39.2,14.8,0,7.51,8.2,1.98,0,0,61,0,35.1
0.94,0,0,0,6.7,39.6,14,0,7.51,5.4,1.98,0,0,61,3,35.2
2.13,0,0,0,6.5,40.8,14,0,7.51,4.8,1.98,0,0,59,16,35.3
1.99,2,3,7,6.2,39.5,27,38,9.4,8.5,1.98,0,0,60,1,35.1
2,0,1,2,6.6,41.4,12.4,13,9.4,8.5,1.98,0,0,60,1,35.1
2.19,9,13,27,6.3,39.5,22,137,9.4,8.6,1.98,0,0,60,4,35.2
1.61,6,8,17,6.65,41,23,90,9.4,8.6,1.98,0,0,59,3,35.5
1.58,12,17,35,6.5,41,25,181,9.4,8.5,1.98,0,0,59,6,35.7
1.23,2,4,8,6.38,39.6,23,46,9.4,4.8,1.98,0,0,57,1,35.9
1.76,15,21,46,6.3,40,21,262,9.4,7,1.98,0,0,58,1,36.1
1.83,1,1,3,6.7,40,25.8,16,9.4,7.2,1.98,0,0,56,12,36.1
2,3,5,10,6.7,38,25.3,57,9.4,8.4,1.98,0,0,55,6,36
1.62,1,1,2,6.4,40,26.5,15,9.4,6.8,1.98,0,0,53,6,36.1
1.07,2,2,5,6.5,39,26.5,30,9.4,8.1,2.67,0,0,55,0,36.2
1.1,1,2,4,6.2,39,25,23,9.4,7,2.67,0,0,55,1,36.6
2.3,27,38,77,6.5,38,21,389,9.4,8.1,2.67,0,0,54,1,37
1.86,0,1,2,6.3,38.4,24.5,14,9.4,8.2,2.67,0,0,53,1,37.1
1.87,1,1,3,6.6,38,24.6,19,9.4,7.8,2.67,0,0,51,3,36.9
