id,Plot_Name,Latitude,Longitude,Seed,30Mar_CIgr,30Mar_Cire,30Mar_EVI2,30Mar_NDRE,30Mar_NDVI,Maize_high(m),CHM_mean,CHM_max,CHM_SoilSubtract,30Mar_Cire_CHM,30Mar_Cire_CHM_SS,N,P,K,pH,SoilTemp,SoilHumi,EC,Water feed Per Area (m3/dunam),Uv radiation,Evapotranspiration,Daily rain,Rain rate,Humidity,Wind speed,Temperature
1,P1_1,15.276411,100.173847,7,1.750783131,0.40729608,1.093936217,0.164266481,0.554238335,1.38,0.730761478,1.643753052,-0.209904224,0.297636285,-0.085493167,0,1,2,7,40,16.8,11,1.96,4.4,0.2,0,0,74,9,31.2
2,P1_2,15.276544,100.174351,8.4,1.533238964,0.346926625,1.017807184,0.144438157,0.52609856,1.38,0.769195454,1.161277294,-0.179769822,0.266854383,-0.062366938,1,1,3,6.4,38.9,19.4,15,1.96,4.5,0.66,0,0,74,6,31.2
3,P1_3,15.276641,100.174642,14.2,2.494414037,0.627627937,1.402941493,0.236739823,0.681932523,1.72,1.212328045,1.84703207,0.212328045,0.76089095,0.133263013,1,1,3,6.6,37,25,15,1.96,4.6,0.66,0,0,73,11,31.1
4,P1_4,15.276776,100.175078,5.4,1.308830753,0.280929353,0.858780546,0.120519026,0.457965189,1.22,0.772064718,1.343412399,-0.147776002,0.216895642,-0.041514617,2,3,6,6.4,38.9,6.6,34,1.96,4.9,0.66,0,0,73,8,31.2
5,P1_5,15.277026,100.176013,11.3,2.456665465,0.583333631,1.382992312,0.223892133,0.673846852,1.57,0.895609395,1.194557667,-0.104390605,0.52243908,-0.06089455,0,0,1,6.4,39,16.9,7,1.96,5.3,0.66,0,0,73,8,31.5
6,P1_6,15.277291,100.175888,9.4,2.3887447,0.577440871,1.350085005,0.221494788,0.662050296,1.73,1.279156371,1.507153988,0.279509416,0.738637169,0.161400161,0,0,0,6.6,38,24,0,1.96,5.3,0.66,0,0,73,8,31.5
7,P1_7,15.277186,100.175511,10,2.469642561,0.597052628,1.403559345,0.226792917,0.681563353,1.35,0.724891117,1.407785535,-0.275108883,0.432798146,-0.164254482,0,1,2,6.6,39.5,19.8,10,1.96,5.3,0.66,0,0,73,8,31.5
8,P1_8,15.277062,100.175033,7.4,1.449838223,0.331218272,0.883134886,0.136874156,0.466104792,1.38,1.497100392,1.741982341,0.595790349,0.495867005,0.19733665,0,1,2,6.5,39.6,19.8,12,1.96,5.5,0.66,0,0,70,3,31.8
9,P1_9,15.276899,100.174489,9.2,1.724352504,0.405936006,1.105533778,0.164825206,0.563541348,1.13,0.959738132,1.384319782,-0.011428995,0.389592264,-0.00463944,2,3,7,6.4,39.2,15.9,37,1.96,5.8,0.66,0,0,70,9,32.1
10,P1_10,15.276737,100.173876,7.2,1.26956944,0.279248489,0.832143631,0.117538295,0.435642999,1.28,0.409568197,0.841326356,-0.412983626,0.1143713,-0.115325053,0,0,1,6.3,40,23.8,8,1.96,6,0.66,0,0,69,9,32
11,P1_11,15.276985,100.173782,6.8,1.170422724,0.263528784,0.790252959,0.113159889,0.421930826,1.2,1.06968521,1.587643623,0.223320075,0.281892843,0.058851268,0,0,0,6.2,39.3,20.7,0,1.96,6.3,0.66,0,0,71,3,31.9
12,P1_12,15.277154,100.174377,7.7,1.908706404,0.45551059,1.114872481,0.18080867,0.569345179,1.24,0.665807693,1.713521719,-0.320748476,0.303282455,-0.146104328,0,0,1,6,40,24,7,1.96,6.7,0.66,0,0,69,6,32.3
13,P1_13,15.277302,100.174847,7.3,1.579409029,0.382057375,0.947838638,0.155190713,0.49308148,1.42,0.750021444,1.474805236,-0.158920461,0.286551224,-0.060716734,0,0,0,6.4,39,17.5,0,1.96,6.9,0.66,0,0,69,6,32.4
14,P1_14,15.277459,100.175414,6,1.57012387,0.367402811,0.944708981,0.151173357,0.496769688,1.45,0.89207235,1.367785096,-0.053375692,0.327749889,-0.019610379,0,0,0,6.3,38.7,18.6,0,1.96,7.1,0.66,0,0,70,3,32.6
15,P1_15,15.277572,100.175877,8,1.718373676,0.416961178,1.074735243,0.17098577,0.555236421,1.42,0.690264496,1.255330682,-0.307657288,0.287813497,-0.128281145,0,1,2,6.4,38.1,26.4,10,1.96,7,0.66,0,0,68,3,32.9
16,P2_1,15.275366,100.17408,4.6,1.247209833,0.298279771,0.804010246,0.126073522,0.42981332,1.3,0.386401116,1.05405128,-0.481821379,0.115255636,-0.143717571,0,0,0,6.5,38.4,10.3,0,7.51,7.4,1.27,0,0,67,0,33.2
17,P2_2,15.275461,100.17449,8,1.569866706,0.369903899,0.985583379,0.15234528,0.513432437,1.5,0.387040414,0.822622538,-0.552703176,0.143167758,-0.20444706,0,1,2,6.7,40.4,15.8,10,7.51,7.6,1.27,0,0,67,0,33.6
18,P2_3,15.275613,100.175132,8.3,2.07254082,0.4960331,1.26892402,0.195586499,0.628791518,1.13,0.735792894,1.431098461,-0.259030383,0.36497763,-0.128487644,0,0,0,6.6,41,12,0,7.51,7.8,1.27,0,0,66,3,34
19,P2_4,15.275701,100.17552,7.4,2.501079034,0.576869478,1.432324851,0.219789939,0.691087161,2.08,1.03962021,1.256759644,0.03962021,0.599725168,0.02285569,1,2,4,6.5,41,17.5,24,7.51,8,1.27,0,0,63,0,34.1
20,P2_5,15.275814,100.176003,6.2,1.934454202,0.424025197,1.154113952,0.17090687,0.584512063,1.34,1.011997534,1.672480822,0.017085154,0.429112454,0.007244536,0,0,0,6.6,41,13.5,0,7.51,8.1,1.27,0,0,65,11,34.2
21,P2_6,15.276194,100.176257,8.9,1.72076118,0.39125323,1.14634248,0.162582352,0.587123662,1.31,0.419449615,1.034299135,-0.580550385,0.164111017,-0.227142213,0,0,0,6.7,41.7,14.3,0,7.51,8.3,1.27,0,0,64,8,34.4
