id,Plot_Name,Latitude,Longitude,Seed,Maize_high(m),N,P,K,pH,SoilTemp,SoilHumi,EC,Water feed,Uv radiation,Evapotranspiration,Humidity,Wind speed,Temperature
1,P1_1,15.276411,100.173847,7,1.38,0,1,2,7,40,16.8,11,1.96,4.4,0.2,74,9,31.2
2,P1_2,15.276544,100.174351,8.4,1.38,1,1,3,6.4,38.9,19.4,15,1.96,4.5,0.66,74,6,31.2
3,P1_3,15.276641,100.174642,14.2,1.72,1,1,3,6.6,37,25,15,1.96,4.6,0.66,73,11,31.1
4,P1_4,15.276776,100.175078,5.4,1.22,2,3,6,6.4,38.9,6.6,34,1.96,4.9,0.66,73,8,31.2
5,P1_5,15.277026,100.176013,11.3,1.57,0,0,1,6.4,39,16.9,7,1.96,5.3,0.66,73,8,31.5
6,P1_6,15.277291,100.175888,9.4,1.73,0,0,0,6.6,38,24,0,1.96,5.3,0.66,73,8,31.5
7,P1_7,15.277186,100.175511,10,1.35,0,1,2,6.6,39.5,19.8,10,1.96,5.3,0.66,73,8,31.5
8,P1_8,15.277062,100.175033,7.4,1.38,0,1,2,6.5,39.6,19.8,12,1.96,5.5,0.66,70,3,31.8
9,P1_9,15.276899,100.174489,9.2,1.13,2,3,7,6.4,39.2,15.9,37,1.96,5.8,0.66,70,9,32.1
10,P1_10,15.276737,100.173876,7.2,1.28,0,0,1,6.3,40,23.8,8,1.96,6,0.66,69,9,32
11,P1_11,15.276985,100.173782,6.8,1.2,0,0,0,6.2,39.3,20.7,0,1.96,6.3,0.66,71,3,31.9
12,P1_12,15.277154,100.174377,7.7,1.24,0,0,1,6,40,24,7,1.96,6.7,0.66,69,6,32.3
13,P1_13,15.277302,100.174847,7.3,1.42,0,0,0,6.4,39,17.5,0,1.96,6.9,0.66,69,6,32.4
14,P1_14,15.277459,100.175414,6,1.45,0,0,0,6.3,38.7,18.6,0,1.96,7.1,0.66,70,3,32.6
15,P1_15,15.277572,100.175877,8,1.42,0,1,2,6.4,38.1,26.4,10,1.96,7,0.66,68,3,32.9
16,P2_1,15.275366,100.17408,4.6,1.3,0,0,0,6.5,38.4,10.3,0,7.51,7.4,1.27,67,0,33.2
17,P2_2,15.275461,100.17449,8,1.5,0,1,2,6.7,40.4,15.8,10,7.51,7.6,1.27,67,0,33.6
18,P2_3,15.275613,100.175132,8.3,1.13,0,0,0,6.6,41,12,0,7.51,7.8,1.27,66,3,34
19,P2_4,15.275701,100.17552,7.4,2.08,1,2,4,6.5,41,17.5,24,7.51,8,1.27,63,0,34.1
20,P2_5,15.275814,100.176003,6.2,1.34,0,0,0,6.6,41,13.5,0,7.51,8.1,1.27,65,11,34.2
21,P2_6,15.276194,100.176257,8.9,1.31,0,0,0,6.7,41.7,14.3,0,7.51,8.3,1.27,64,8,34.4
22,P2_7,15.276066,100.175703,3.6,2,0,0,0,6.5,42,12.4,0,7.51,7.9,1.27,64,6,34.6
23,P2_8,15.275964,100.175286,3.4,0.92,0,0,0,6.5,41.7,13.6,0,7.51,7.9,1.27,62,6,34.7
24,P2_9,15.275786,100.174532,4,1.1,0,0,0,6.6,42,15,0,7.51,8.5,1.27,63,1,34.7
25,P2_10,15.275667,100.174003,5,1.85,0,0,0,6.7,41,13,0,7.51,8.1,1.27,62,6,34.7
26,P2_11,15.276015,100.174007,10.1,1.56,0,0,0,6.6,38,15,0,7.51,8.2,1.27,62,8,34.8
27,P2_12,15.276095,100.174372,1.4,1.26,0,0,0,6.6,40,13.6,0,7.51,8.3,1.27,63,9,34.9
28,P2_13,15.276266,100.175153,4.4,1.01,0,0,0,6.8,39.2,14.8,0,7.51,8.2,1.98,61,0,35.1
29,P2_14,15.276356,100.175471,8.6,0.94,0,0,0,6.7,39.6,14,0,7.51,5.4,1.98,61,3,35.2
30,P2_15,15.276479,100.176095,12.1,2.13,0,0,0,6.5,40.8,14,0,7.51,4.8,1.98,59,16,35.3
31,P3_1,15.273959,100.174284,13.6,1.99,2,3,7,6.2,39.5,27,38,9.4,8.5,1.98,60,1,35.1
32,P3_2,15.274018,100.174484,15.5,2,0,1,2,6.6,41.4,12.4,13,9.4,8.5,1.98,60,1,35.1
33,P3_3,15.274079,100.174876,10.1,2.19,9,13,27,6.3,39.5,22,137,9.4,8.6,1.98,60,4,35.2
34,P3_4,15.27422,100.175452,9,1.61,6,8,17,6.65,41,23,90,9.4,8.6,1.98,59,3,35.5
35,P3_5,15.27436,100.175929,12,1.58,12,17,35,6.5,41,25,181,9.4,8.5,1.98,59,6,35.7
36,P3_6,15.274955,100.176149,4,1.23,2,4,8,6.38,39.6,23,46,9.4,4.8,1.98,57,1,35.9
37,P3_7,15.274825,100.175648,5,1.76,15,21,46,6.3,40,21,262,9.4,7,1.98,58,1,36.1
