id,Plot_Name,Latitude,Longitude,Seed,7Mar_Clgr,7Mar_Clre,7Mar_EVI2,7Mar_NDRE,7Mar_NDVI,16Mar_Clgr,16Mar_Clre,16Mar_EVI2,16Mar_NDRE,16Mar_NDVI,23Mar_Clgr,23Mar_Clre,23Mar_EVI2,23Mar_NDRE,23Mar_NDVI,30Mar_CIgr,30Mar_Cire,30Mar_EVI2,30Mar_NDRE,30Mar_NDVI,5Apr_Clgr,5Apr_Clre,5Apr_EVI2,5Apr_NDRE,5Apr_NDVI
1,P1_1,15.276411,100.173847,7,3.125536355,0.745167451,1.632394506,0.268816299,0.758662027,2.898241567,0.711099145,1.521858444,0.581314217,0.722400476,2.032848872,0.518513671,1.158428492,0.202642514,0.587882381,1.750783131,0.40729608,1.093936217,0.164266481,0.554238335,2.045437058,0.517337171,1.197557071,0.200374683,0.600252567
2,P1_2,15.276544,100.174351,8.4,2.947340546,0.730513589,1.589436065,0.263915955,0.743016329,2.418108539,0.593813648,1.387246388,0.531942453,0.671651517,1.934655217,0.502962955,1.157780726,0.197966289,0.588612883,1.533238964,0.346926625,1.017807184,0.144438157,0.52609856,1.361266645,0.328297359,0.907896967,0.136944676,0.476171072
3,P1_3,15.276641,100.174642,14.2,3.706005713,0.931222805,1.697572443,0.314677035,0.77985505,3.282079776,0.83626977,1.559452916,0.61287722,0.735328295,3.123423129,0.83556394,1.522472042,0.29202344,0.724157837,2.494414037,0.627627937,1.402941493,0.236739823,0.681932523,2.481283711,0.637985814,1.355085361,0.238685253,0.662947558
4,P1_4,15.276776,100.175078,5.4,2.786961455,0.679175133,1.533628557,0.250635187,0.724752186,2.417434343,0.572503235,1.407859589,0.539569926,0.682344922,1.557710567,0.371306547,0.948764588,0.154476358,0.502044953,1.308830753,0.280929353,0.858780546,0.120519026,0.457965189,1.360508282,0.313102801,0.889488077,0.133818189,0.476271029
5,P1_5,15.277026,100.176013,11.3,3.907971475,0.934501694,1.806720437,0.315295613,0.813706671,3.369276168,0.810197566,1.6392552,0.621093872,0.76300502,2.827841224,0.714896407,1.445756451,0.261078049,0.697276238,2.456665465,0.583333631,1.382992312,0.223892133,0.673846852,2.574458462,0.654352209,1.409725827,0.245053204,0.68495434
6,P1_6,15.277291,100.175888,9.4,3.834680391,0.935850044,1.758956093,0.317271709,0.799418084,3.482575381,0.872750967,1.633474211,0.629617728,0.76079273,2.553050643,0.683020075,1.338566512,0.252316417,0.658877053,2.3887447,0.577440871,1.350085005,0.221494788,0.662050296,3.146801232,0.774861867,1.510033811,0.276068913,0.719059739
7,P1_7,15.277186,100.175511,10,3.63769515,0.882985502,1.737882388,0.304224006,0.793228578,3.386616538,0.830489421,1.620844589,0.620872101,0.756423172,2.657180028,0.708012384,1.390396901,0.258448282,0.677607141,2.469642561,0.597052628,1.403559345,0.226792917,0.681563353,2.929273702,0.73675773,1.519266916,0.266375898,0.722669243
8,P1_8,15.277062,100.175033,7.4,4.071007867,1.017561665,1.799196728,0.333189925,0.812112505,3.117885348,0.788469395,1.59444997,0.597901289,0.747741873,1.859507069,0.493692381,1.104896232,0.193997153,0.567727066,1.449838223,0.331218272,0.883134886,0.136874156,0.466104792,1.743171181,0.429270404,1.099529747,0.173488484,0.565623874
9,P1_9,15.276899,100.174489,9.2,3.254390801,0.790188985,1.696182357,0.280498057,0.780358412,2.877664481,0.720577544,1.536455829,0.580217506,0.728087032,1.845701165,0.500740791,1.118985975,0.196762544,0.572319516,1.724352504,0.405936006,1.105533778,0.164825206,0.563541348,2.043902774,0.513140517,1.254480518,0.20109886,0.625883334
10,P1_10,15.276737,100.173876,7.2,2.73453649,0.680641525,1.500396592,0.251670578,0.713860783,2.487969553,0.596451222,1.395170481,0.546643717,0.677855323,1.502491941,0.381448807,0.906405032,0.15597598,0.477461955,1.26956944,0.279248489,0.832143631,0.117538295,0.435642999,1.411818791,0.325280915,0.921696758,0.13681199,0.484448971
11,P1_11,15.276985,100.173782,6.8,2.451070521,0.596227204,1.494928913,0.228204409,0.71319801,2.155879563,0.508435285,1.323776855,0.513368445,0.652176375,1.51122361,0.385809592,0.946352425,0.159428911,0.499567283,1.170422724,0.263528784,0.790252959,0.113159889,0.421930826,1.220592705,0.285921512,0.806397519,0.122683592,0.435750664
12,P1_12,15.277154,100.174377,7.7,3.049598737,0.751421545,1.629916381,0.26977533,0.757624388,2.633413198,0.644969201,1.437928767,0.560435071,0.693596944,1.958985191,0.501346915,1.114695087,0.196110844,0.568864591,1.908706404,0.45551059,1.114872481,0.18080867,0.569345179,1.883382313,0.473017681,1.154036387,0.189487642,0.589250843
