id,max,7Mar_NDRE,count,sum,std,median,unique,percentile_95,percentile_90,percentile_85
1,0.417029977,0.268816299,6023,1619.080566,0.043496434,0.267264754,6019,0.345242417,0.325742555,0.313717631
2,0.437945724,0.263915955,6022,1589.30188,0.0519957,0.266550839,6017,0.344596636,0.326993874,0.315493976
3,0.461454421,0.314677035,6022,1894.985107,0.045341507,0.315980613,6020,0.38680355,0.370782751,0.360621506
4,0.417903692,0.250635187,6021,1509.074463,0.046200297,0.250966847,6019,0.325009316,0.309509188,0.297799587
5,0.454710364,0.315295613,6020,1898.07959,0.047612731,0.318224788,6009,0.385742103,0.370068049,0.360084605
10,0.444741935,0.251670578,6023,1515.81189,0.040824849,0.252402514,6019,0.317777786,0.301842523,0.292991415
9,0.446472228,0.280498057,6022,1689.159302,0.044148015,0.282465756,6021,0.350767593,0.33530311,0.324586198
8,0.523557007,0.333189925,6022,2006.469727,0.051456065,0.332583368,6018,0.419047168,0.400952837,0.388034815
7,0.433219731,0.304224006,6023,1832.341187,0.037561642,0.303246886,6022,0.366423669,0.354735035,0.345679417
6,0.420260549,0.317271709,6022,1910.610229,0.031964846,0.318258286,6017,0.36884861,0.356696194,0.34946506
11,0.345340043,0.228204409,6022,1374.246948,0.033263799,0.227541715,6019,0.284991896,0.270995942,0.26229496
12,0.439761192,0.26977533,6022,1624.587036,0.049280618,0.270361722,6021,0.348459162,0.330825487,0.319189443
13,0.406398296,0.277403214,6021,1670.244751,0.043034748,0.277074397,6018,0.347621173,0.333497673,0.322562426
14,0.389336705,0.277467948,6023,1671.189453,0.037525229,0.278157622,6022,0.338195151,0.325821757,0.316245833
15,0.369763523,0.258650776,6022,1557.594971,0.041850068,0.261140138,6020,0.323394184,0.310206586,0.301191434
26,0.479499936,0.30520013,6021,1837.609985,0.049436785,0.303412348,6018,0.388020396,0.370758325,0.356768638
28,0.306803912,0.175245118,6023,1055.501343,0.039386263,0.178061783,5992,0.233551389,0.222351882,0.213460891
29,0.351977944,0.217366847,6022,1308.983154,0.045068515,0.21860221,6016,0.28815563,0.273971182,0.263739386
30,0.380716413,0.268951223,6022,1619.624268,0.034512993,0.269909263,6019,0.324271806,0.312259886,0.30373552
25,0.38027519,0.218063755,6022,1313.179932,0.04482408,0.220062256,6020,0.288776821,0.273317349,0.262945049
24,0.323374093,0.182730968,6023,1100.588623,0.040505222,0.181493953,6015,0.252962366,0.233317077,0.222397605
23,0.281047434,0.179128943,6024,1079.072754,0.032679787,0.181292221,6022,0.230529826,0.220163903,0.21249312
22,0.309552401,0.202809952,6022,1221.321533,0.029407651,0.204052255,6021,0.249565171,0.239154769,0.232569624
21,0.366293371,0.223384496,6022,1345.221436,0.037846931,0.220799625,6020,0.291962287,0.272038484,0.261435427
16,0.386543721,0.213659751,6023,1286.872681,0.04489904,0.213844657,6016,0.285829869,0.270289087,0.259726846
17,0.381188303,0.25433378,6022,1531.598022,0.043640741,0.256157517,6017,0.323835535,0.309333017,0.299150553
18,0.411473989,0.246944938,6021,1486.855469,0.0391401,0.246399447,6018,0.313532174,0.294638187,0.284454495
19,0.4003582,0.288275286,6022,1735.993774,0.035112737,0.286616147,6019,0.350896239,0.336467588,0.325542924
20,0.401766062,0.275971361,6022,1661.899536,0.037277286,0.274327815,6016,0.343135263,0.325612596,0.314262787
27,0.32783258,0.199062665,6022,1198.755371,0.045726163,0.200229943,6006,0.272799231,0.258100471,0.246568643
41,0.403936952,0.263290276,6021,1585.270752,0.035062149,0.26196149,6019,0.322765976,0.3080208,0.299781531
42,0.415790468,0.293628076,6022,1768.228271,0.036647003,0.292519093,6020,0.354587942,0.341882956,0.33337045
43,0.466137499,0.304985682,6022,1836.623779,0.048488621,0.298341453,6019,0.39333981,0.373606685,0.359170267
44,0.410172939,0.253192048,6023,1524.975708,0.043668333,0.248914957,6023,0.333367163,0.31296854,0.298979712
45,0.485415012,0.348717423,6022,2099.976318,0.048509768,0.348817587,6020,0.430137679,0.413461658,0.400566795
40,0.4255023,0.306648023,6023,1846.94104,0.033917549,0.305895358,6018,0.363063058,0.349723703,0.342045653
39,0.459868312,0.286383318,6022,1724.600342,0.042718536,0.281556249,6019,0.365497912,0.342147797,0.329580526
38,0.444081038,0.306291462,6022,1844.487183,0.039810468,0.303258628,6020,0.380437951,0.361377749,0.349208981
37,0.468098223,0.315338712,6022,1898.969727,0.051123875,0.315251708,6018,0.397896656,0.383177862,0.370455402
36,0.389900297,0.256571874,6023,1545.332397,0.04086285,0.255665094,6023,0.326728097,0.311189222,0.300618592
31,0.438351125,0.297171784,6022,1789.568481,0.049184121,0.292295814,6017,0.387340884,0.36930292,0.353444679
32,0.551547348,0.38528788,6022,2320.203613,0.052686712,0.379746944,6020,0.480538553,0.460229453,0.444244987
33,0.403974622,0.25793978,6022,1553.313354,0.041798779,0.258183986,6019,0.325935058,0.311848381,0.301198953
34,0.472551793,0.331290801,6022,1995.033203,0.047406188,0.327317059,6022,0.420467748,0.395236543,0.380206764
35,0.443550318,0.297397883,6022,1790.930054,0.043309224,0.298764825,6017,0.367656748,0.35197708,0.339671661
