,Model,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Train_MAE,Test_MAE,Adj_R2_train,Adj_R2_test
0,Linear Regression,1.8796075381015211,4.755913831506938,1.3709877964816175,2.1808057757413746,0.8062038281256307,0.5353648289083803,1.1531335812669257,1.6997780201495198,0.7577547851570384,-2.7170813687329574
1,Ridge Regression,1.919605533818583,4.57683007273062,1.385498298020818,2.139352722841799,0.8020798510211107,0.5528606490276442,1.1846340216181892,1.6749858922004204,0.7525998137763883,-2.5771148077788464
2,Lasso Regression,4.086215689112432,7.808705376647778,2.021439014443036,2.7944060865679092,0.5786923908579232,0.2371183988560247,1.704588310015415,2.5126466284750872,0.473365488572404,-5.103052809151802
3,ElasticNet Regression,4.323656925197778,7.6528056837004845,2.079340502466534,2.766370489233227,0.5542111086403942,0.2523492215899902,1.746143188552448,2.4595833266199816,0.44276388580049286,-4.981206227280079
4,SVR,5.542667230428361,7.49566447785412,2.3542869898184375,2.7378211186734096,0.4285255461810604,0.26770133553710806,1.6015751972199432,2.4217278251034617,0.28565693272632553,-4.8583893157031355
5,Decision Tree Regression,0.0,5.054444444444444,0.0,2.2482091638556327,1.0,0.5061994934266073,0.0,1.8999999999999997,1.0,-2.9504040525871416
6,Random Forest Regression,0.593417888888887,3.892286555555563,0.7703362180820055,1.9728878720179621,0.9388158895635241,0.6197380159208774,0.6257777777777783,1.7176666666666687,0.9235198619544052,-2.0420958726329808
7,Gradient Boosting Regression,0.0031387578508635192,2.1686982765140757,0.056024618257186895,1.4726500862438694,0.9996763796464914,0.7881262086628391,0.045362566842239965,1.2762339104209413,0.9995954745581141,-0.6949903306972871
8,XGBoost Regression,6.713452372902392e-07,1.7399733944714042,0.0008193565995891161,1.3190805109891528,0.999999930781222,0.8300110421515092,0.0006632791625128655,1.1503977722591823,0.9999999134765274,-0.3599116627879262
9,CatBoost Regression,0.001196400348347132,3.2335314041054826,0.0345890206329571,1.7982022700757228,0.9998766456279629,0.6840959549722059,0.027399758498533093,1.5979493099288806,0.9998458070349536,-1.527232360222353
10,K-Nearest Neighbors Regression (KNN),5.484144444444443,9.838044444444446,2.3418250243014405,3.1365657086125975,0.43455951426280237,0.03885948618984436,1.8872222222222221,2.6533333333333338,0.29319939282850294,-6.689124110481245
11,Huber Regression,1.9432230741345025,5.273625096149413,1.3939953637421119,2.296437479259867,0.7996447741183352,0.4847863553394013,1.1047424805969996,1.7592564929048289,0.7495559676479191,-3.1217091572847897
12,M-estimators,1.9432230741345025,5.273625096149413,1.3939953637421119,2.296437479259867,0.7996447741183352,0.4847863553394013,1.1047424805969996,1.7592564929048289,0.7495559676479191,-3.1217091572847897
13,Huber Regression_1,2.295760570878897,5.774519411761134,1.515176745755721,2.4030229736232513,0.763296538688165,0.4358508354207553,1.0506103764831687,1.785618875225519,0.7041206733602063,-3.5131933166339575
14,Passive Aggressive Regression,4.7454692241975955,6.7102103365517385,2.1784097925316064,2.5904073688421554,0.5107203228573908,0.34443729675468493,1.6575285913168465,2.212621167589499,0.38840040357173844,-4.244501625962521
