Machine Learing Algorithms,Scenario ,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2
CatBoost,CIre_CV_6FE,0.02,1.49,0.00,3.20,0.02,1.79,1.00,0.69
Decision Tree,NDVI_CV_6FE,0.00,1.36,0.00,2.25,0.00,1.50,1.00,0.78
ElasticNet,NDRE_CD_6FE,1.75,2.45,4.39,7.60,2.09,2.76,0.55,0.26
Gradient Boosting,CIre_CD_6FE,0.04,1.27,0.00,2.21,0.05,1.49,1.00,0.78
Huber,CIre_CD_6FE,1.07,1.61,1.80,4.17,1.34,2.04,0.81,0.59
KNN,NDVI_CD,1.65,1.99,3.68,5.77,1.92,2.4,0.62,0.44
Lasso,NDRE_CD ,1.7,2.49,4.13,7.71,2.03,2.78,0.57,0.25
Linear,CIre_CD_6FE,1.12,1.5,1.72,3.59,1.31,1.9,0.82,0.65
M-estimators,CIre_CD_6FE,1.07,1.61,1.8,4.17,1.34,2.04,0.81,0.59
Passive Aggressive,NDRE_CD_16Env,1.65,1.82,3.68,5.35,1.92,2.31,0.62,0.48
RF,EVI2_CV_6FE,0.82,1.49,0.96,3.76,0.98,1.94,0.90,0.63
Ridge,CIre_CD_6FE,1.18,1.68,1.91,4.6,1.38,2.14,0.8,0.55
SVR,CIre_CD,1.67,2.33,4.57,6.96,2.14,2.64,0.53,0.32
XGBoost,CIre_CV_6FE,0.00,1.01,0.00,1.51,0.00,1.23,1.00,0.85
