,Model,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Train_MAE,Test_MAE,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.26651892550388456,8.60882908871393,0.5162547099096381,2.9340806206909056,0.9725206744239322,0.1589492748934649,0.445665768649503,2.4657628990926974,0.9717124589658126,0.03879917130681698
1,Decision Tree Regression,0.0,10.46,0.0,3.234192325759246,1.0,-0.02190326860451086,0.0,2.6666666666666665,1.0,-0.16788944983372667
2,ElasticNet Regression,6.5049226171264785,9.869870303893553,2.550474978729742,3.1416349730504263,0.32931259532434065,0.03575021756678609,2.042250198437663,2.8042421918139007,0.30958649518682124,-0.10199975135224437
3,Gradient Boosting Regression,0.14934283688067218,9.212057583803004,0.38644900941867116,3.0351371606243767,0.9846020674541637,0.10001608456393296,0.3181874828180876,2.5815528912529064,0.9841491870851685,-0.02855304621264798
4,Huber Regression,3.370804785300769,7.019758352168537,1.8359751592275886,2.649482657457591,0.6524545415545089,0.31419560182649686,1.4631430946557447,2.274710106713998,0.6422326163061121,0.21622354494456786
5,K-Nearest Neighbors Regression (KNN),3.043111111111111,6.759466666666667,1.7444515215709238,2.5998974338743954,0.6862412647496849,0.33962513568930164,1.488888888888889,2.1911111111111112,0.6770130666540874,0.24528586935920182
6,Lasso Regression,5.961325923373759,9.47293859968914,2.441582667732911,3.077813931947339,0.3853599116695632,0.07452897530476388,1.9782293918729554,2.757204861118123,0.3672822620127856,-0.05768117108026982
7,Linear Regression,3.368401683352479,7.035485381334541,1.8353205941612705,2.6524489403821785,0.6527023124049455,0.31265912931118356,1.4660162785072535,2.2860738178233646,0.6424876745345027,0.2144675763556384
8,M-estimators,3.370804785300769,7.019758352168537,1.8359751592275886,2.649482657457591,0.6524545415545089,0.31419560182649686,1.4631430946557447,2.274710106713998,0.6422326163061121,0.21622354494456786
9,Passive Aggressive Regression,6.7321304196712966,9.015976868443802,2.594634929941262,3.002661630694308,0.30588642711603087,0.1191724444048391,2.1400752885617065,2.480485120761164,0.2854713220312083,-0.0066600635373268435
10,Random Forest (RF) Regression,0.8569723333333307,8.56036111111114,0.9257280018090253,2.925809479633139,0.9116422156031622,0.163684416837532,0.780111111111111,2.4622222222222256,0.9090434572385493,0.044210762100036605
11,Ridge Regression,3.396977682025535,7.1599556661614105,1.8430891682242438,2.675809347872417,0.6497559956669743,0.3004988433734481,1.4995409078918887,2.335533066626267,0.6394547014218852,0.2005701067125122
12,Support Vector Regression (SVR),4.789995788600716,7.8546930911928206,2.1886059007049936,2.80262253812261,0.506129429517626,0.232625569428756,1.7222015283073204,2.456607526231233,0.4916038245034384,0.1230006507757212
13,XGBoost Regression,2.3794125930357504e-05,10.447859673544619,0.00487792229646573,3.232314909402334,0.9999975467163091,-0.020717203663145556,0.004359372456868484,2.6657712671491836,0.9999974745609065,-0.16653394704359492
