,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.445665768649503,2.4657628990926974,0.26651892550388456,8.60882908871393,0.5162547099096381,2.9340806206909056,0.9725206744239322,0.1589492748934649,0.9717124589658126,0.03879917130681698
1,Decision Tree Regression,0.0,2.6666666666666665,0.0,10.46,0.0,3.234192325759246,1.0,-0.02190326860451086,1.0,-0.16788944983372667
2,ElasticNet Regression,1.8225498654041767,2.6289837736706265,4.742021583218003,8.532522642132154,2.1776183281782884,2.921048209484423,0.5110757904804442,0.16640413217620997,0.49669566667104537,0.047319008201382795
3,Gradient Boosting Regression,0.3181874828180876,2.5815528912529064,0.14934283688067218,9.212057583803004,0.38644900941867116,3.0351371606243767,0.9846020674541637,0.10001608456393296,0.9841491870851685,-0.02855304621264798
4,Huber Regression,1.4631403271078094,2.274704317197156,3.370806455376487,7.019745332917241,1.8359756140473344,2.6494802005142897,0.6524543693620302,0.31419687375914074,0.6422324390491487,0.21622499858187516
5,K-Nearest Neighbors Regression (KNN),1.488888888888889,2.1911111111111112,3.043111111111111,6.759466666666667,1.7444515215709238,2.5998974338743954,0.6862412647496849,0.33962513568930164,0.6770130666540874,0.24528586935920182
6,Lasso Regression,1.7614435679294618,2.5786552809662924,4.368401683352481,8.220019333421057,2.0900721718047155,2.867057609016787,0.5495977185224845,0.19693454829682133,0.5363505925966752,0.0822109123392244
7,Linear Regression,1.4660162785072535,2.2860738178233646,3.368401683352479,7.035485381334541,1.8353205941612705,2.6524489403821785,0.6527023124049455,0.31265912931118356,0.6424876745345027,0.2144675763556384
8,M-estimators,1.4631403271078094,2.274704317197156,3.370806455376487,7.019745332917241,1.8359756140473344,2.6494802005142897,0.6524543693620302,0.31419687375914074,0.6422324390491487,0.21622499858187516
9,Passive Aggressive Regression,1.9101209609514116,2.7795752792858788,5.521471029376313,9.875285869303593,2.3497810598811784,3.142496757246313,0.4307109718823827,0.035221136879036385,0.4139671769377469,-0.10260441499538708
10,Random Forest (RF) Regression,0.7891111111111108,2.474333333333336,0.8010682777777767,9.011147666666695,0.8950241772029272,3.0018573694742217,0.9174061805476,0.11964423953684467,0.9149769505637059,-0.006120869100749049
11,Ridge Regression,1.4767299802257854,2.3059697206449554,3.3730258522389196,7.081849626251018,1.8365799335283286,2.6611744824890793,0.6522255393498652,0.3081295142608462,0.6419968787425083,0.20929087344096708
12,Support Vector Regression (SVR),1.7222015283073204,2.456607526231233,4.7899957886007165,7.854693091192822,2.1886059007049936,2.8026225381226104,0.5061294295176257,0.2326255694287559,0.4916038245034383,0.12300065077572098
13,XGBoost Regression,0.004359372456868484,2.6657712671491836,2.3794125930357504e-05,10.447859673544619,0.00487792229646573,3.232314909402334,0.9999975467163091,-0.020717203663145556,0.9999974745609065,-0.16653394704359492
