,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.46839211625259985,2.252865083688891,0.29299603923827056,6.099222628963304,0.5412910854967691,2.4696604278651964,0.9697907623651686,0.4041285334145127,0.9689022553759088,0.3190040381880145
1,Decision Tree Regression,0.0,2.277777777777778,0.0,5.805555555555555,0.0,2.4094720491334933,1.0,0.4328187190929925,1.0,0.35179282182056293
2,ElasticNet Regression,1.7760926538510593,2.57441909524924,4.503515344862909,8.21275030445911,2.1221487565349677,2.8657896476292724,0.5356668793244795,0.19764470551056834,0.522010022834023,0.08302252058350668
3,Gradient Boosting Regression,0.3220916477025633,2.267109767103632,0.14899903566647138,6.009248234909939,0.3860039321904265,2.451376803943029,0.9846375149387302,0.4129186985554155,0.9841856771428105,0.32904994120618913
4,Huber Regression,1.4060491981963252,2.174912520042853,3.0878955615207913,6.149693669390276,1.757240894561924,2.4798575905463354,0.6816237821779456,0.3991976996494847,0.6722597757714146,0.3133687995994111
5,K-Nearest Neighbors Regression (KNN),1.4,2.284444444444444,2.774511111111111,6.404622222222222,1.6656863783771274,2.5307355101278803,0.7139351586665139,0.37429212398986866,0.7055214868625879,0.28490528455984987
6,Lasso Regression,1.704588310015415,2.5126466284750872,4.086215689112432,7.808705376647778,2.021439014443036,2.7944060865679092,0.5786923908579232,0.2371183988560247,0.5663009905890386,0.12813531297831393
7,Linear Regression,1.4038197465325624,2.188388435050411,3.0862156891124317,6.19879029781085,1.756762843730602,2.4897369937025173,0.681796984740384,0.3944011408482948,0.6724380725268658,0.3078870181123369
8,M-estimators,1.4060491981963252,2.174912520042853,3.0878955615207913,6.149693669390276,1.757240894561924,2.4798575905463354,0.6816237821779456,0.3991976996494847,0.6722597757714146,0.3133687995994111
9,Passive Aggressive Regression,1.9244345446179654,2.8399393818062726,5.504144084278001,11.12348258909041,2.34609123528434,3.3351885387621505,0.4324974595199679,-0.08672306080849479,0.41580620832937876,-0.2419692123525654
10,Random Forest (RF) Regression,0.7691666666666666,2.270222222222224,0.7971826666666654,6.402307333333341,0.8928508647398318,2.530278113831233,0.9178068049031964,0.3745182800627179,0.9153893579885846,0.28516374864310623
11,Ridge Regression,1.4071911416705816,2.210924483352352,3.0910459836338173,6.282920961837565,1.7581370776005543,2.5065755448096043,0.6812989591854238,0.38618188649277196,0.6719253991614658,0.298493584563168
12,Support Vector Regression (SVR),1.6725591040424668,2.329709100443721,4.5720613122562375,6.955994120298688,2.1382378988915702,2.6374218699894576,0.5285994751941101,0.32042513117332805,0.5147347538762898,0.22334300705523202
13,XGBoost Regression,0.0067206382751464995,2.278539943695068,5.790278955689473e-05,5.809476358552194,0.00760938825116019,2.4102855346518997,0.9999940299563981,0.43243567115821047,0.9999938543668804,0.35135505275224055
