,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.42463718223793206,2.57261105891214,0.2570303314735868,10.126049534038792,0.5069815888901557,3.1821454294294584,0.9734989920579415,0.010722455364682193,0.972719550647881,-0.13060290815464892
1,Decision Tree Regression,0.0,2.7777777777777772,0.0,12.131111111111109,0.0,3.4829744631724058,1.0,-0.1851646363526711,1.0,-0.35447387011733844
2,ElasticNet Regression,1.7951574677994921,2.6111904288932153,4.800847840267715,8.780630165993474,2.1910837136603694,2.9632128114587846,0.5050105331377084,0.1421649457900479,0.49045201940646443,0.01961708090291192
3,Gradient Boosting Regression,0.28209850406245257,2.68648590579328,0.12620095828278025,11.113367063230804,0.3552477421220017,3.333671708976576,0.9869881014486765,-0.08573481138788441,0.9866053985501082,-0.24083978444329657
4,Huber Regression,1.504036075839534,2.324575832595173,3.454995372743772,8.355774960155664,1.8587617848298292,2.8906357363313115,0.6437741052274722,0.18367172624217998,0.6332968730282802,0.06705340141963423
5,K-Nearest Neighbors Regression (KNN),1.5838888888888887,1.9822222222222226,3.506033333333333,5.862044444444446,1.8724404752443622,2.4211659266651773,0.6385118570282966,0.4272999638161862,0.6278798528232465,0.3454856729327842
6,Lasso Regression,1.7367241768906143,2.5596446566964546,4.438051052062715,8.568413499973598,2.106668234929913,2.9271852520764035,0.542416548647446,0.162897728262138,0.5289582118429592,0.04331168944244346
7,Linear Regression,1.4960354023852287,2.340887049115937,3.4380510520627148,8.232432055499318,1.8541982235086718,2.8692215068724334,0.6455211425299068,0.19572187131173002,0.6350952937807863,0.08082499578483426
8,M-estimators,1.504036075839534,2.324575832595173,3.454995372743772,8.355774960155664,1.8587617848298292,2.8906357363313115,0.6437741052274722,0.18367172624217998,0.6332968730282802,0.06705340141963423
9,Passive Aggressive Regression,1.6697313475754332,2.402214732862509,4.228905385182545,8.78145718379976,2.056430252934085,2.96335235566069,0.5639804276934024,0.14208414921266366,0.5511563226255614,0.019524741957329894
10,Random Forest (RF) Regression,0.7783055555555556,2.2194444444444446,0.8151952499999984,7.245488777777794,0.902881636760876,2.691744560276438,0.9159496248138391,0.29214257508141206,0.9134775549554226,0.1910200858073281
11,Ridge Regression,1.4938903014198626,2.3454876994401306,3.44262434485806,8.204823596677947,1.855431040178551,2.864406325345262,0.6450496150335372,0.19841911550969282,0.6346098978286412,0.08390756058250604
12,Support Vector Regression (SVR),1.6192125274223506,2.4496748824517947,4.365473087611673,8.070193268551414,2.089371457546904,2.840808558940819,0.5498996701969864,0.21157200005709276,0.5366614252027802,0.09893942863667748
13,XGBoost Regression,0.005786920918358702,2.7749617470635304,4.7331469232416355e-05,12.098271339719973,0.0068797870048727785,3.478256939865135,0.999995119908087,-0.18195631228720033,0.9999949763759719,-0.3508072140425147
