,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.35505285787872015,2.944066587571045,0.17144275988266186,9.634873727780034,0.41405646943703445,3.104009298919711,0.9823234638682099,0.05870851290533996,0.9818035657466867,-0.07576169953675427
1,Decision Tree Regression,0.0,3.1333333333333333,0.0,11.011111111111111,0.0,3.3182994305986178,1.0,-0.07574478350018077,1.0,-0.22942260971449224
2,ElasticNet Regression,1.7742160693604458,2.554998340721802,4.536670253690435,8.103325832416674,2.129946068258639,2.8466341233844354,0.5322484559146076,0.20833507125105477,0.5184910575591548,0.09524008142977691
3,Gradient Boosting Regression,0.20815767133220206,2.9851551931874116,0.061813502170681475,9.892692429382144,0.2486232132578965,3.1452650809402605,0.9936267439622393,0.03352058041255157,0.9934392952552463,-0.10454790809994097
4,Huber Regression,1.4378649250530777,2.1274323967631448,3.1322170773905933,6.121694197091797,1.769807073494338,2.4742057709680894,0.6770540302839347,0.4019331444163122,0.6675556194099328,0.3164950221900711
5,K-Nearest Neighbors Regression (KNN),1.4283333333333335,2.4155555555555557,2.932033333333333,7.199066666666665,1.7123181168618562,2.6831076509649523,0.697693893916829,0.2966778434446993,0.6888025378555593,0.19620324965108493
6,Lasso Regression,1.7031496223107179,2.4911726387314865,4.125423677188003,7.705998861508992,2.0311139005944505,2.7759680944688454,0.5746498671704431,0.24715244508234435,0.5621395691460443,0.13960279437982215
7,Linear Regression,1.4285616550734073,2.1516001612116997,3.1254236771880044,6.178108233412879,1.7678867829100382,2.485580059747197,0.6777544610529037,0.396421701958216,0.6682766510838715,0.31019623080938974
8,M-estimators,1.4378649250530777,2.1274323967631448,3.1322170773905933,6.121694197091797,1.769807073494338,2.4742057709680894,0.6770540302839347,0.4019331444163122,0.6675556194099328,0.3164950221900711
9,Passive Aggressive Regression,1.464434814810913,2.2459436115177867,3.26372186597272,6.4056628876077175,1.806577389976062,2.5309411070998307,0.6634952824635757,0.37419045483509217,0.6535980848889751,0.2847890912401053
10,Random Forest (RF) Regression,0.6929999999999998,2.573333333333336,0.6454617777777761,7.889268000000017,0.8034063590598323,2.808784078564961,0.9334499255355713,0.22924772886262057,0.9314925704042646,0.11914026155728064
11,Ridge Regression,1.4309484584601815,2.1751304871849566,3.130225331834973,6.252168241032418,1.7692442826910515,2.500433610602853,0.6772593884005641,0.3891863134439443,0.667767017471169,0.30192721536450773
12,Support Vector Regression (SVR),1.6573139948955276,2.357306528490499,4.413006295835698,7.127955935516746,2.100715662776783,2.669823203044866,0.5449987780671178,0.3036250985685004,0.5316163891867389,0.20414296979257185
13,XGBoost Regression,0.0029336743884616676,3.131621821721395,1.2654188785998366e-05,10.998213553947675,0.003557272661182773,3.3163554625443386,0.9999986952950043,-0.07448473992252036,0.9999986569213279,-0.22798255991145178
