,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.41318935208528085,2.043223208707139,0.23614232327825013,6.2333989533091385,0.4859447738974565,2.4966775829708445,0.9756526416599353,0.3910200033553972,0.9749365428852275,0.3040228609775968
1,Decision Tree Regression,0.0,2.122222222222222,0.0,7.509999999999999,0.0,2.7404379212089442,1.0,0.26630080810517454,1.0,0.16148663783448514
2,ElasticNet Regression,1.8199723760627964,2.624752646724914,5.018463725788698,8.85644379456727,2.2401927876387555,2.9759777879828455,0.4825733356386954,0.134758235001871,0.4673549043339511,0.011152268573566881
3,Gradient Boosting Regression,0.2898744075208724,2.0764255940480396,0.11912691834523047,6.830550420067078,0.3451476761405623,2.613532173145584,0.9877174674635459,0.3326805161917341,0.9873562165065914,0.2373491613619818
4,Huber Regression,1.5593005825154893,2.3264905450378333,3.699291420257803,8.540728679158054,1.923354210814483,2.922452511018452,0.6185860604614477,0.16560243274417774,0.6073680034161961,0.04640278027906031
5,K-Nearest Neighbors Regression (KNN),1.6488888888888886,1.986666666666667,3.677044444444445,5.774222222222223,1.9175621096706215,2.4029611362280128,0.620879825867797,0.4358798697382704,0.6097292325109676,0.3552912797008805
6,Lasso Regression,1.7697039418175196,2.5788827092226176,4.695884865459907,8.675271582250142,2.166999046021919,2.9453813984355475,0.5158326980279624,0.1524580892989248,0.501592483264079,0.03138067348448548
7,Linear Regression,1.5546054794213202,2.3341366027580404,3.6958848654599077,8.472443488345444,1.9224684302895347,2.9107462081647455,0.618937291910423,0.17227364303946335,0.6077295652019061,0.05402702061652953
8,M-estimators,1.5593005825154893,2.3264905450378333,3.699291420257803,8.540728679158054,1.923354210814483,2.922452511018452,0.6185860604614477,0.16560243274417774,0.6073680034161961,0.04640278027906031
9,Passive Aggressive Regression,2.0927745279799077,2.852869006722862,6.3941977223196425,12.697281262735943,2.5286750922804697,3.5633244677879032,0.3407288406360778,-0.240477363745762,0.32133851241949174,-0.41768841570944226
10,Random Forest (RF) Regression,0.8360833333333332,1.9961111111111107,0.9443751944444434,5.1847465555555585,0.9717896863233543,2.277003854971607,0.9026305791041358,0.4934694596550474,0.8997667726071986,0.4211079538914827
11,Ridge Regression,1.552810533637695,2.3389196975783935,3.7002698209189497,8.431854155545704,1.923608541496671,2.9037655131821,0.6184851828586259,0.17623907055939936,0.607264158825056,0.058558937782170695
12,Support Vector Regression (SVR),1.6442718136951298,2.5039940164191847,4.405297591801984,8.606426382010055,2.098880080376672,2.9336711441485828,0.545793580865874,0.1591840104416664,0.5324345685383998,0.03906744050476163
13,XGBoost Regression,0.0051561315854390015,2.120940589904785,3.504040334803429e-05,7.4934538078435695,0.005919493504349362,2.737417360915863,0.9999963871734433,0.26791730981144724,0.9999962809138387,0.16333406835593967
