,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.011426262167923381,1.9251865267637396,0.00017434390884724085,5.382258514976491,0.013203935354553992,2.3199695073376483,0.9999820243420824,0.4741732725689354,0.9999650473318269,1.4674015354942798
1,Decision Tree Regression,0.0,1.5666666666666664,0.0,3.785555555555556,0.0,1.9456504196683317,1.0,0.6301652394162345,1.0,1.3287420094077915
2,ElasticNet Regression,1.77034584554433,2.5659802252462445,4.492624163700032,8.226934690124391,2.1195811293036253,2.8682633578743064,0.5367898101351782,0.19625894355315932,0.09931351970729096,1.714436494619414
3,Gradient Boosting Regression,0.034230930615513425,1.5184755274183863,0.0016883298215416538,3.400325958046558,0.041089290837658096,1.8439972771255813,0.9998259254394103,0.6678007446607512,0.9996615216877422,1.295288226968221
4,Huber Regression,0.9126514609214968,3.96429724970196,1.8974039837581147,25.133149731249976,1.377462879266848,5.013297291329327,0.8043689328236564,-1.4554156654580241,0.6196062582682208,3.1825917026293546
5,K-Nearest Neighbors Regression (KNN),1.8838888888888887,2.9066666666666667,5.529899999999999,10.589333333333336,2.3515739410020684,3.2541255865951664,0.42984190628938046,-0.034538656374381915,-0.10864073777064909,1.9195899167772283
6,Lasso Regression,1.7614435679294618,2.5786552809662924,4.368401683352481,8.220019333421057,2.0900721718047155,2.867057609016787,0.5495977185224845,0.19693454829682133,0.12421778601594213,1.713835957069492
7,Linear Regression,0.9505293682978656,3.0601385395140177,1.3940974859461608,12.768753392461441,1.1807190546214459,3.5733392495621574,0.8562621448789616,-0.24745992617220658,0.7205097261535365,2.108853267708628
8,M-estimators,0.9126514609214968,3.96429724970196,1.8974039837581147,25.133149731249976,1.377462879266848,5.013297291329327,0.8043689328236564,-1.4554156654580241,0.6196062582682208,3.1825917026293546
9,Passive Aggressive Regression,1.46239833881489,3.050668059214808,3.6626901563229737,12.480507248840944,1.9138156014420442,3.532776139078295,0.6223598189150331,-0.21929934526126682,0.26569964789034217,2.0838216402322374
10,Random Forest (RF) Regression,0.7274444444444437,1.7135555555555557,0.8051588333333306,4.736580222222224,0.8973064322366862,2.17636858602173,0.9169844254782911,0.5372536509468098,0.8385808273188993,1.41133008804728
11,Ridge Regression,1.1969359937141624,2.3222176649375097,1.938559063591963,8.246531086452755,1.392321465607696,2.8716773994396996,0.8001256550311873,0.19434444819361596,0.6113554403384197,1.7161382682723414
12,Support Vector Regression (SVR),1.676620759890298,2.611752526434654,5.420259349883235,8.406557672005446,2.328145044855074,2.89940643442851,0.44114636099267834,0.1787104433332034,-0.08665985362534778,1.730035161481597
13,XGBoost Regression,0.0005749384562174035,1.671209790971544,5.368946895284176e-07,4.219305757875646,0.0007327309803252607,2.0540948755779627,0.9999999446436911,0.5877894507442681,0.9999998923627328,1.366409377116206
