,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.009380213462346755,1.8957405915856371,0.00012097078939274704,5.219797327208163,0.010998672164981873,2.2846875775930857,0.999987527355888,0.49004512905094544,0.9999757476364489,1.4532932186213818
1,Decision Tree Regression,0.0,1.9000000000000001,0.0,4.794444444444444,0.0,2.1896219866553324,1.0,0.5316005306959355,1.0,1.4163550838258352
2,ElasticNet Regression,1.725267529460426,2.507459885833636,4.255156876088744,7.8813580511534775,2.06280315980191,2.8073756519485378,0.5612737783847097,0.2300205015758876,0.1469212357480466,1.6844262208214333
3,Gradient Boosting Regression,0.02891705233791976,1.4729778075547282,0.0011121668773970675,2.9429139288655914,0.03334916606749062,1.715492328419335,0.9998853304857764,0.7124882062017696,0.9997770315001209,1.2555660389317604
4,Huber Regression,0.8335880431437324,3.757592578112239,1.6299918632632062,22.64180937865737,1.2767113468843325,4.758341032193612,0.8319403509065316,-1.2120209379703857,0.6732173489849227,2.9662408337514536
5,K-Nearest Neighbors Regression (KNN),1.9177777777777776,3.111111111111111,5.736999999999998,12.012266666666669,2.395203540411545,3.4658717037228413,0.4084889448963228,-0.1735539741888794,-0.15016038492381667,2.0431590881678927
6,Lasso Regression,1.704588310015415,2.5126466284750872,4.086215689112432,7.808705376647778,2.021439014443036,2.7944060865679092,0.5786923908579232,0.2371183988560247,0.1807907600015174,1.6781169787946446
7,Linear Regression,0.8577637142546007,2.8200716242660198,1.2040120061273447,11.020669007028756,1.0972748088456896,3.319739298051694,0.8758608310786333,-0.07667855454025951,0.7586182826528982,1.9570476040357863
8,M-estimators,0.8335880431437324,3.757592578112239,1.6299918632632062,22.64180937865737,1.2767113468843325,4.758341032193612,0.8319403509065316,-1.2120209379703857,0.6732173489849227,2.9662408337514536
9,Passive Aggressive Regression,1.6112534532497047,2.286979745635566,3.9736355259290215,8.14015733444089,1.9933979848311831,2.8530960962506837,0.5902999228621699,0.2047367698833531,0.20336096112088597,1.7069006489925749
10,Random Forest (RF) Regression,0.6841666666666671,1.890444444444446,0.6873359444444431,5.082069111111119,0.8290572624640853,2.2543444969904485,0.9291325065872381,0.5035006657821728,0.862202096141852,1.4413327415269575
11,Ridge Regression,1.1181567327132003,2.1654141706418857,1.6986318680358725,7.0530328874306365,1.303315720781374,2.655754673803783,0.8248632510903557,0.31094480294068083,0.6594563215645806,1.6124935084971725
12,Support Vector Regression (SVR),1.6766321888606457,2.6071980772133045,5.294645387269202,8.349955516765265,2.301009645192562,2.8896289583206465,0.4540977375939649,0.18424026431312712,-0.06147662134506815,1.725119765054998
13,XGBoost Regression,0.0005773199929131057,1.4966577529907228,5.916607827001299e-07,3.188391000315314,0.0007691948925338298,1.785606619699679,0.9999999389970553,0.6885060052761544,0.9999998813831631,1.2768835508656406
