,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.011365084631877624,1.8658146174284356,0.00018915728961127297,5.135520860559965,0.013753446463024203,2.2661687625946936,0.9999804970144747,0.4982786277827076,0.9999620775281451,1.4459745530820376
1,Decision Tree Regression,0.0,1.422222222222222,0.0,3.2444444444444436,0.0,1.8012341448141727,1.0,0.6830297913400074,1.0,1.28175129658666
2,ElasticNet Regression,1.728132235108538,2.4942235954375005,4.32189184574614,7.814463732204426,2.0789160266220805,2.7954362328989775,0.5543930964404256,0.2365558288402383,0.1335421319674942,1.6786170410308991
3,Gradient Boosting Regression,0.03512765196316452,1.3994518623127072,0.00185720075803758,3.3071231784663664,0.04309525215192017,1.8185497459421798,0.9998085140700843,0.676906311113526,0.9996276662473862,1.2871943901213103
4,Huber Regression,0.8383127400627027,3.7551369704770465,1.712096773108822,23.67875231559812,1.3084711586843716,4.866081823767262,0.8234749575211433,-1.3133264233065343,0.6567568618466675,3.0562901540502527
5,K-Nearest Neighbors Regression (KNN),1.9427777777777773,3.0155555555555558,6.108344444444443,11.146533333333332,2.4715065131300875,3.3386424386767346,0.37020162676137036,-0.08897503316849575,-0.22460794796400219,1.9679778072608851
6,Lasso Regression,1.7031496223107179,2.4911726387314865,4.125423677188003,7.705998861508992,2.0311139005944505,2.7759680944688454,0.5746498671704431,0.24715244508234435,0.1729302972758615,1.6691978265934717
7,Linear Regression,0.8802132216972844,2.839750125916793,1.2466004066988816,11.418732958037204,1.116512609287903,3.3791615761956697,0.8714697713336014,-0.11556792859849652,0.7500801109264471,1.9916159365319968
8,M-estimators,0.8383127400627027,3.7551369704770465,1.712096773108822,23.67875231559812,1.3084711586843716,4.866081823767262,0.8234749575211433,-1.3133264233065343,0.6567568618466675,3.0562901540502527
9,Passive Aggressive Regression,1.6501948895908665,1.823812090263085,3.683826600964296,5.346855251530061,1.9193297270047938,2.3123268046558776,0.6201805543741705,0.47763204031608386,0.26146218906088714,1.464327075274592
10,Random Forest (RF) Regression,0.6301388888888895,1.8633333333333353,0.6210111944444426,5.133429555555561,0.788042634915423,2.265707296972749,0.9359708930003439,0.4984829405379323,0.8754989586117797,1.4457929417440603
11,Ridge Regression,1.143566303706148,2.2050609210626018,1.7378321988974728,7.599718520494106,1.3182686368481473,2.7567586982712333,0.8208215168968123,0.25753564086355984,0.6515973939660238,1.6599683192323913
12,Support Vector Regression (SVR),1.6599600419269256,2.5749844827685755,5.28803836479886,8.201137846136355,2.2995735180243444,2.863762882316962,0.4547789519625417,0.19877919968997138,-0.060152037850613294,1.7121962669422477
13,XGBoost Regression,0.0005390763282775188,1.782988082038032,4.90617440631299e-07,4.326455748635086,0.0007004408901765366,2.080013401071033,0.9999999494150881,0.5773212934031577,0.999999901640449,1.3757144058638597
