,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.009904062634562512,2.1701711948393947,0.0001238635289757588,7.2193972547303495,0.011129399308846762,2.686893606887022,0.9999872291011481,0.29469162027118767,0.9999751676966769,1.6269407819811665
1,Decision Tree Regression,0.0,1.7333333333333334,0.0,3.9444444444444446,0.0,1.986062547968831,1.0,0.6146423833072006,1.0,1.3425401037269329
2,ElasticNet Regression,1.7854220374658116,2.5985623045015576,4.860797246495214,8.768871257250021,2.204721580267045,2.9612279981875798,0.49882947395512744,0.1433137476332751,0.025501754912747865,1.7614988909926443
3,Gradient Boosting Regression,0.025879354609239427,1.7073885826883834,0.0010246817539590126,4.174417344794732,0.03201065063317227,2.0431390909075997,0.9998943506038993,0.5921748824889961,0.9997945706186931,1.3625112155653367
4,Huber Regression,0.9087107293715597,4.309154080361144,2.0399955840587807,30.366852544777714,1.428284139819098,5.510612719541967,0.7896670837836061,-1.9667290509311237,0.5910193295792341,3.6370924897165544
5,K-Nearest Neighbors Regression (KNN),1.8638888888888887,2.9555555555555553,5.80612222222222,11.332177777777776,2.4095896377230335,3.3663300161715837,0.40136212624584744,-0.10711180798456121,-0.1640180878552966,1.9840993848751656
6,Lasso Regression,1.7697039418175196,2.5788827092226176,4.695884865459907,8.675271582250142,2.166999046021919,2.9453813984355475,0.5158326980279624,0.1524580892989248,0.058563579498815854,1.7533705872898446
7,Linear Regression,0.9938561028378727,3.42075071233319,1.5367492764494501,18.870707664525188,1.239656918848699,4.344042778855336,0.841554089952514,-0.8435982641738511,0.6919107304632217,2.638754012598979
8,M-estimators,0.9087107293715597,4.309154080361144,2.0399955840587807,30.366852544777714,1.428284139819098,5.510612719541967,0.7896670837836061,-1.9667290509311237,0.5910193295792341,3.6370924897165544
9,Passive Aggressive Regression,1.528446833086913,2.9795954396261783,3.4067863106400162,14.029598323632758,1.8457481709702481,3.745610540837469,0.6487446809971343,-0.37063980727807655,0.31700354638331674,2.2183464953582903
10,Random Forest (RF) Regression,0.7231666666666673,2.0198888888888904,0.7593840555555538,6.379382777777786,0.8714264487353788,2.5257440047989395,0.9217040153511287,0.3767579242552158,0.8477578076271947,1.553992956217586
11,Ridge Regression,1.2395981282750062,2.7067480432202484,2.033547994481663,13.433524976824119,1.4260252432834641,3.665177345889844,0.7903318598884757,-0.3124056484413864,0.592311949783147,2.1665827986145656
12,Support Vector Regression (SVR),1.6388398045185124,2.556427922573193,5.561387378417579,8.350658209296915,2.3582593959141938,2.889750544475581,0.4265954129252124,0.18417161385472203,-0.11495336375653142,1.7251807876846916
13,XGBoost Regression,0.0005343900786505015,1.5201425287458632,4.83160822631682e-07,3.6438549072014386,0.0006950977072553772,1.908888395690392,0.9999999501838996,0.6440088680698148,0.9999999031353605,1.31643656171572
