,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.016357981274976858,1.9260789345382685,0.0004195431593846988,5.287812803524354,0.020482752729667434,2.2995244733475557,0.9999567431729355,0.48340026886325815,0.9999439263352867,-inf
1,Decision Tree Regression,0.0,2.233333333333333,0.0,6.69,0.0,2.5865034312755126,1.0,0.3464117718007479,1.0,-inf
2,ElasticNet Regression,1.7922153491776431,2.516016160078785,4.566457830044175,7.9734663375730115,2.136927193435512,2.8237326958430415,0.5291772199519124,0.2210218630522086,0.3896741740117383,-inf
3,Gradient Boosting Regression,0.0742656047295514,1.4522511029342986,0.00858587720605305,2.672359637080969,0.09266000866637694,1.634735341601499,0.9991147566175452,0.7389203586979152,0.9988524622820031,-inf
4,Huber Regression,1.1571068089669765,1.8269068668469015,2.031631860225275,5.496878985463471,1.4253532405075153,2.344542382953115,0.7905294221328047,0.46297527702021335,0.7284640657277099,-inf
5,K-Nearest Neighbors Regression (KNN),1.9388888888888889,2.2711111111111113,5.753155555555555,7.747466666666668,2.3985736502253907,2.783427144127661,0.40682323290182165,0.2431011940658545,0.23106715376162068,-inf
6,Lasso Regression,1.7614435679294618,2.5786552809662924,4.368401683352481,8.220019333421057,2.0900721718047155,2.867057609016787,0.5495977185224845,0.19693454829682133,0.4161451906772947,-inf
7,Linear Regression,1.2092163175993413,1.7093144422595823,1.9472733693168567,4.696158066006919,1.3954473724640628,2.167062081714993,0.7992271700784545,0.5412027459334696,0.7397389241757744,-inf
8,M-estimators,1.1571068089669765,1.8269068668469015,2.031631860225275,5.496878985463471,1.4253532405075153,2.344542382953115,0.7905294221328047,0.46297527702021335,0.7284640657277099,-inf
9,Passive Aggressive Regression,1.4152083858217837,1.593458975239204,3.24122735477964,5.432292180467574,1.8003408996019727,2.330727822047777,0.6658145699047227,0.4692851687156273,0.5667966646913072,-inf
10,Random Forest (RF) Regression,0.6603888888888879,1.7796666666666685,0.6972663333333308,3.929397222222227,0.8350247501321927,1.982270723746438,0.9281086378737544,0.6161124412013022,0.906807493540052,-inf
11,Ridge Regression,1.264462081505552,1.8169631319660655,2.142922724392673,5.61321419145594,1.463872509610271,2.3692222756541734,0.779054822779997,0.4516097581619454,0.7135895850851814,-inf
12,Support Vector Regression (SVR),1.638140269984815,2.5185490182810497,5.722593847394998,8.12906269962092,2.3921943581981373,2.851151118341664,0.4099742854100701,0.20582067462393627,0.23515185145749828,-inf
13,XGBoost Regression,0.0006231043073865708,1.4132886144849988,6.479314769572192e-07,2.5800980701412914,0.0008049419090575538,1.6062683680323446,0.9999999331952882,0.7479339721608436,0.9999999134012996,-inf
