,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.014766748947678524,2.085794176437618,0.0003471088255255566,6.271056694194451,0.01863085681136422,2.504207797726549,0.9999642114855112,0.3873409815103721,0.9999536074812182,-inf
1,Decision Tree Regression,0.0,1.9666666666666666,0.0,5.267777777777777,0.0,2.295163998013601,1.0,0.48535761669279953,1.0,-inf
2,ElasticNet Regression,1.7750642024046377,2.551444970142316,4.708513551494959,8.48823549901734,2.1699109547386866,2.9134576535479866,0.5145306224830493,0.1707308220716386,0.37068784395950827,-inf
3,Gradient Boosting Regression,0.07070171814538756,1.6740728530295241,0.008016323456701722,3.602317601200527,0.08953392349663741,1.8979772393789465,0.9991734802255663,0.6480669090613405,0.9989285854775859,-inf
4,Huber Regression,1.2104489595884471,2.139733593888073,1.9812748760068801,7.774746098870107,1.4075776625134686,2.78832316973304,0.7957214585397878,0.24043609455014037,0.7351944832923176,-inf
5,K-Nearest Neighbors Regression (KNN),2.0088888888888885,2.6155555555555554,6.168533333333333,10.172488888888887,2.4836532232446085,3.1894339449013343,0.3639958758162447,0.006185502351948147,0.1755502093914283,-inf
6,Lasso Regression,1.7367241768906143,2.5596446566964546,4.438051052062715,8.568413499973598,2.106668234929913,2.9271852520764035,0.542416548647446,0.162897728262138,0.4068362667652079,-inf
7,Linear Regression,1.2372837163545762,2.1359485761840937,1.9583281910258128,7.556354151707396,1.3994027979912762,2.7488823459194096,0.7980873671757095,0.2617721791239911,0.7382614018944382,-inf
8,M-estimators,1.2104489595884471,2.139733593888073,1.9812748760068801,7.774746098870107,1.4075776625134686,2.78832316973304,0.7957214585397878,0.24043609455014037,0.7351944832923176,-inf
9,Passive Aggressive Regression,1.556273225263939,3.1002622999400775,3.4580375512501056,13.456384620536582,1.859579939462164,3.668294511150459,0.6434604426480588,-0.3146389509871703,0.5378190923215577,-inf
10,Random Forest (RF) Regression,0.6415277777777777,1.90188888888889,0.6388954166666646,4.571793000000006,0.7993093372822969,2.1381751565295124,0.9341269475312179,0.5533527523821006,0.9146090060589862,-inf
11,Ridge Regression,1.2668857662061728,2.1707920275651755,2.1103701013147216,8.284326865370181,1.4527112931738093,2.878250660621861,0.7824111477622581,0.19065194054398205,0.717940376728853,-inf
12,Support Vector Regression (SVR),1.538622969275237,2.5348230393746856,5.4242263222508065,8.755599475574762,2.328996848913885,2.9589862242962135,0.44073734791777697,0.1446103515600583,0.27502989544897016,-inf
13,XGBoost Regression,0.0006779326332939897,1.388127295176188,7.976667694087741e-07,2.8132968396434292,0.0008931219230367005,1.6772885379812947,0.9999999177568917,0.7251513158712848,0.9999998933885633,-inf
