,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.02793359424111208,1.645432693886287,0.0011631592656904048,3.8381747914725395,0.03410512081330903,1.9591260274603417,0.9998800729362903,0.6250245349061927,0.9998445389914875,-inf
1,Decision Tree Regression,0.0,1.7777777777777777,0.0,4.8711111111111105,0.0,2.207059380966246,1.0,0.5241104812447233,1.0,-inf
2,ElasticNet Regression,1.74734694935169,2.4533037749740947,4.387874400906668,7.601602821254163,2.094725376011535,2.7571004372808336,0.5475899918872722,0.2573515516565106,0.4135425820760936,-inf
3,Gradient Boosting Regression,0.051597461931249686,1.4420339027755678,0.004414446021359732,2.8856349089686812,0.06644129755927207,1.6987156645444468,0.9995448503357517,0.7180841543523542,0.9994099911759744,-inf
4,Huber Regression,1.1162265765243502,1.6759383627114106,1.770309553996258,4.314647371109327,1.330529801994776,2.0771729275891615,0.8174729523889757,0.5784749281632428,0.7633908642079315,-inf
5,K-Nearest Neighbors Regression (KNN),1.8972222222222221,2.6155555555555554,5.671877777777777,9.415688888888889,2.381570443589225,3.068499452320122,0.41520334517126833,0.0801220600651309,0.24193026225905157,-inf
6,Lasso Regression,1.7031496223107179,2.4911726387314865,4.125423677188003,7.705998861508992,2.0311139005944505,2.7759680944688454,0.5746498671704431,0.24715244508234435,0.44862019818390764,-inf
7,Linear Regression,1.1610295956392551,1.5812907099149205,1.7372916929137352,3.772659369907427,1.3180636148963885,1.9423334857607297,0.8208772455467566,0.631425149001928,0.7678038368198696,-inf
8,M-estimators,1.1162265765243502,1.6759383627114106,1.770309553996258,4.314647371109327,1.330529801994776,2.0771729275891615,0.8174729523889757,0.5784749281632428,0.7633908642079315,-inf
9,Passive Aggressive Regression,1.6221127241319355,2.729590505467986,4.761911415452303,11.422696667452708,2.1821804268786535,3.379748018336975,0.5090250574055364,-0.11595516833152741,0.36355100034051013,-inf
10,Random Forest (RF) Regression,0.5855555555555558,1.7003333333333344,0.5601143888888874,3.8722490000000036,0.7484079027434755,1.967803089742468,0.9422496334058885,0.6216956109033889,0.9251384136742999,-inf
11,Ridge Regression,1.217722058595963,1.7037501898867733,1.9281140001195267,4.822090029061071,1.3885654468261577,2.195925779497356,0.8012025890585893,0.5288996594452458,0.7422996524833565,-inf
12,Support Vector Regression (SVR),1.591791231683362,2.4072635151706687,5.501071548147106,7.420298320543133,2.3454363236180824,2.7240224522832284,0.43281425210993296,0.2750643300398098,0.26475921569806127,-inf
13,XGBoost Regression,0.0005794339709811099,1.4563165187835692,5.756854331036678e-07,2.694711372230457,0.0007587393709988086,1.6415576055169239,0.9999999406441872,0.7367366769380449,0.9999999230572797,-inf
