,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.019084224339842186,2.1734550178612175,0.0005402723058579067,6.857113496634051,0.023243758427971727,2.618609076711156,0.9999442954433185,0.3300854019691737,0.999927790389487,-inf
1,Decision Tree Regression,0.0,2.0777777777777775,0.0,5.285555555555555,0.0,2.299033613402717,1.0,0.4836207936316489,1.0,-inf
2,ElasticNet Regression,1.8023600408191909,2.5701414963976728,4.920141022811981,8.586599036830476,2.218139090050933,2.9302899236816953,0.49271085799853565,0.16112106864881381,0.34240296407217574,-inf
3,Gradient Boosting Regression,0.048624663607896586,1.7860726499043673,0.0038182545997277853,3.693834435758592,0.061792026991577036,1.9219350758437685,0.9996063204101552,0.6391260531944929,0.9994896746057567,-inf
4,Huber Regression,1.2559382414561049,2.1798025587219985,2.116961829371778,8.228398460569752,1.4549782917183947,2.868518513199758,0.7817315103179516,0.19611593860071186,0.7170593652269743,-inf
5,K-Nearest Neighbors Regression (KNN),1.9699999999999998,2.5755555555555554,6.296711111111112,9.757022222222222,2.5093248317248826,3.1236232522860727,0.35078015809371066,0.0467750572910387,0.15841872345481012,-inf
6,Lasso Regression,1.7697039418175196,2.5788827092226176,4.695884865459907,8.675271582250142,2.166999046021919,2.9453813984355475,0.5158326980279624,0.1524580892989248,0.37237571966587724,-inf
7,Linear Regression,1.2757859683558477,2.2157857505748866,2.0845531419975742,8.344760134169382,1.4437981652563403,2.888729847903639,0.7850729948679326,0.18474783395522876,0.721390919273246,-inf
8,M-estimators,1.2559382414561049,2.1798025587219985,2.116961829371778,8.228398460569752,1.4549782917183947,2.868518513199758,0.7817315103179516,0.19611593860071186,0.7170593652269743,-inf
9,Passive Aggressive Regression,1.7661643042910633,2.6085141515340933,4.660484031542733,12.325469453013024,2.158815423222359,3.5107647960256503,0.519482686632093,-0.20415272668442275,0.37710718637493534,-inf
10,Random Forest (RF) Regression,0.667194444444444,1.9850000000000014,0.7270918055555524,4.951790777777782,0.8526967840654451,2.2252619571137644,0.9250334946729296,0.5162283765528883,0.9028211967982421,-inf
11,Ridge Regression,1.3140901929777802,2.2132218535552153,2.2489367973816785,9.036355726582805,1.499645557250672,3.006053180930571,0.7681242848386401,0.11718150542370376,0.6994203692352743,-inf
12,Support Vector Regression (SVR),1.5534217499887033,2.6028747918521735,5.479647276769808,9.11866167374878,2.3408646429834015,3.0197121839256105,0.43502319290951685,0.10914051914889511,0.26762265747529956,-inf
13,XGBoost Regression,0.0005937788221571773,1.6525625864664713,6.241357165335304e-07,3.5654237798582127,0.0007900226050775575,1.8882329781725062,0.9999999356487405,0.6516712987956637,0.9999999165817006,-inf
