,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.506753793818303,2.27310115972043,0.3413103215671195,9.393659405091153,0.5842177004911093,3.0649077319050164,0.96480933790693,0.0822742590611708,0.9637743184336044,-0.04882941821580489
1,Decision Tree Regression,0.0,2.644444444444445,0.0,11.735555555555557,0.0,3.425719713513579,1.0,-0.14652032324206954,1.0,-0.3103089408480795
2,ElasticNet Regression,2.0771004215597584,2.7614563931322564,6.241026494666941,9.512552816531176,2.4982046542801375,3.084242664987821,0.3565214978576874,0.0706588130032263,0.3375956595593841,-0.06210421371059849
3,Gradient Boosting Regression,0.4132743065054502,2.378778653544331,0.216322803857133,10.562914599632009,0.46510515354824117,3.2500637839328643,0.9776961251607951,-0.03195764391532108,0.977040128841995,-0.17938016447465266
4,Huber Regression,1.8919868500278594,2.4729096762329994,5.17255749895197,7.6451916527791655,2.27432572402283,2.7649939697545753,0.4666855597368803,0.25309308421769106,0.4509998409056122,0.1463920962487898
5,K-Nearest Neighbors Regression (KNN),1.8494444444444444,2.697777777777778,4.418677777777778,9.200977777777775,2.102065122154349,3.0333113552317332,0.544414022224768,0.10109854058617818,0.5310144346431436,-0.027315953615796307
6,Lasso Regression,2.0657872182450916,2.750861879037009,6.150627355653451,9.426015097627818,2.4800458374097545,3.0701816066200087,0.3658420643729975,0.07911322770732931,0.347190360383968,-0.052442025477337895
7,Linear Regression,1.905856399055745,2.5112850781375378,5.150627355653451,7.834004117051659,2.26949936233819,2.7989291018265647,0.4689466582554582,0.2346468055950014,0.4533274423217952,0.12531063496571593
8,M-estimators,1.8919868500278594,2.4729096762329994,5.17255749895197,7.6451916527791655,2.27432572402283,2.7649939697545753,0.4666855597368803,0.25309308421769106,0.4509998409056122,0.1463920962487898
9,Passive Aggressive Regression,2.6269439961983654,2.4015437297665425,11.88470437340403,8.306025293818918,3.447419958955397,2.882017573475033,-0.2253676178329278,0.18853208442970415,-0.2614078418868375,0.07260809649109046
10,Random Forest (RF) Regression,0.9637777777777767,2.165888888888885,1.3517366666666633,6.875411666666659,1.162642106009697,2.6221006210034465,0.8606297399473024,0.3282977385116399,0.8565306146516348,0.23234027258473133
11,Ridge Regression,1.9102026225046889,2.5250941901398263,5.153949679636821,7.906786445581527,2.2702311951950667,2.8119008598422397,0.4686041113904068,0.22753624159678743,0.4529748205489481,0.11718427611061422
12,Support Vector Regression (SVR),1.9850095559723577,2.6140287356205687,6.006603192994675,8.404469288948972,2.4508372432690577,2.8990462723021464,0.380691617173192,0.1789144706249347,0.3624766647371095,0.06161653785706822
13,XGBoost Regression,0.00735228856404614,2.6386404567294655,7.01284470272223e-05,11.703623239843637,0.008374272925288638,3.42105586622663,0.9999927694349496,-0.14340065423632198,0.9999925567712716,-0.30674360484151086
