,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.49900016747837395,2.543264329497954,0.3529553475498208,7.401950021803835,0.5941004524066791,2.7206524992736276,0.963608682232233,0.2768568908863701,0.9625383493567103,0.17355073244156582
1,Decision Tree Regression,0.0,2.6222222222222222,0.0,8.166666666666668,0.0,2.8577380332470415,1.0,0.2021469062839223,1.0,0.0881678928959112
2,ElasticNet Regression,2.1075208020515097,2.76860592293456,6.400993978930703,9.544443059286522,2.530018572843034,3.089408205350423,0.34002811535827326,0.06754325436954756,0.3206171775746931,-0.06566485214908857
3,Gradient Boosting Regression,0.32570822514406145,2.557401566675831,0.13942000947608768,7.511615558839931,0.3733898893597518,2.740732668254956,0.9856251565438792,0.2661429739886211,0.9852023670304638,0.16130625598699555
4,Huber Regression,1.9553976413371261,2.489324638029731,5.357711644330146,7.761804451660901,2.3146731182458886,2.786001516808794,0.44759531677200926,0.24170044556201553,0.43134812020648017,0.13337193778516065
5,K-Nearest Neighbors Regression (KNN),1.9311111111111106,2.7422222222222223,5.231400000000001,9.562311111111113,2.287225393353266,3.092298677539269,0.46061862756329475,0.06579761186829092,0.4447544695504505,-0.0676598721505246
6,Lasso Regression,2.1006974147360635,2.76162898839171,6.341923484847091,9.487129940528092,2.518317590147655,3.080118494559599,0.34611855466120045,0.07314253385264102,0.3268867474453534,-0.05926567559698159
7,Linear Regression,1.9644539916481216,2.5219665581897477,5.34192348484709,7.9168492319958155,2.311260150837004,2.813689611879003,0.4492231485436612,0.22655314462470033,0.4330238293831806,0.11606073671394324
8,M-estimators,1.9553976413371261,2.489324638029731,5.357711644330146,7.761804451660901,2.3146731182458886,2.786001516808794,0.44759531677200926,0.24170044556201553,0.43134812020648017,0.13337193778516065
9,Passive Aggressive Regression,2.0379463692471567,2.6835597621459373,5.82720541226616,8.866884639520615,2.413960524173119,2.9777314585974026,0.3991883524986203,0.13373820311039708,0.3815174216897562,0.00998651784045379
10,Random Forest (RF) Regression,0.9934166666666653,2.5253333333333283,1.4344797499999948,7.071100666666644,1.1976976872316298,2.659154126158663,0.8520985479436367,0.3091796478108816,0.8477485052360966,0.21049102606957892
11,Ridge Regression,1.9679464057377223,2.535486981541977,5.3451060746236,7.984824798815877,2.3119485449775046,2.8257432294559033,0.44889500891725975,0.21991218344700758,0.43268603859129673,0.10847106679658014
12,Support Vector Regression (SVR),2.0050768939358323,2.648249259612091,6.125598733368328,8.5717139253881,2.4749946936040748,2.927748951906242,0.3684226303091426,0.1625752889199904,0.3498468253182351,0.04294318733713187
13,XGBoost Regression,0.00552314784791731,2.622394031948514,4.14827444920243e-05,8.162856247466209,0.006440709936957594,2.857071270981214,0.999995722938476,0.20251917013054777,0.9999955971425489,0.08859333729205454
