,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.45309739786932035,2.8999300422623837,0.29169554953935417,10.796775993905534,0.5400884645494237,3.285844791511847,0.9699248488274237,-0.05480503619147048,0.969040285557642,-0.20549146993310918
1,Decision Tree Regression,0.0,3.055555555555556,0.0,12.485555555555557,0.0,3.533490562539478,1.0,-0.2197925461343624,1.0,-0.394048624153557
2,ElasticNet Regression,2.1366455515259855,2.7591885053761422,6.6245012785835256,9.543741324522323,2.573810653211212,3.089294632197182,0.31698348599780357,0.06761181125761917,0.2968947649977389,-0.06558650141986377
3,Gradient Boosting Regression,0.3284518053451996,2.985054047421892,0.15629935817033838,11.473442277948116,0.3953471362870084,3.3872470057479003,0.983884818151758,-0.12091282657556057,0.9834108422150449,-0.28104323037206913
4,Huber Regression,2.015762781080198,2.484281498618827,5.6199372820759415,7.8791064829262325,2.370640690209282,2.8069746138727782,0.4205586488866597,0.2302404714545595,0.4035162562068555,0.12027482451949656
5,K-Nearest Neighbors Regression (KNN),1.8922222222222222,2.7266666666666666,5.025555555555557,9.458,2.2417750903147167,3.0753861546153844,0.48184213541069987,0.07598842117959248,0.46660219821689686,-0.056013232937608626
6,Lasso Regression,2.135050303166179,2.7572717172090937,6.609656568244544,9.528720074627294,2.5709252358333066,3.086862496877257,0.31851404382860704,0.06907933175152492,0.29847033923533073,-0.06390933514111441
7,Linear Regression,2.0273862798034057,2.4980715766971104,5.609656568244542,7.952232196048229,2.3684713568554177,2.8199702473693278,0.421618637711068,0.22309636005318245,0.4046074211731582,0.11211012577506563
8,M-estimators,2.015762781080198,2.484281498618827,5.6199372820759415,7.8791064829262325,2.370640690209282,2.8069746138727782,0.4205586488866597,0.2302404714545595,0.4035162562068555,0.12027482451949656
9,Passive Aggressive Regression,2.5248987224025687,2.619424203276198,10.187682431210021,11.143792394393488,3.1918149118033177,3.3382319263935942,-0.05039685967338969,-0.08870725358324982,-0.08129088495790104,-0.2442368612379997
10,Random Forest (RF) Regression,1.0924444444444439,2.5645555555555513,1.752719333333329,8.219110777777754,1.3239030679522308,2.8668991572390112,0.8192865849467297,0.19702331081896274,0.8139714845039865,0.08231235522167168
11,Ridge Regression,2.0296491130819927,2.5122378103599514,5.612643589662106,8.015068551746484,2.369101852952318,2.8310896403587233,0.42131066208089185,0.2169574807725665,0.40429038743621215,0.10509426374007602
12,Support Vector Regression (SVR),1.9841554706853317,2.651872067548836,6.170194751265409,8.751185875903598,2.483987671319125,2.958240334371702,0.363824575995089,0.14504154390520885,0.3451135341125916,0.02290462160595297
13,XGBoost Regression,0.004602211051516998,3.05287249883016,3.1748471258386245e-05,12.464072003605828,0.005634578179277153,3.5304492637065086,0.9999967265867645,-0.21769368265839084,0.9999966303099047,-0.39164992303816093
