,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.4535315899046025,2.2168722489246657,0.2653199720575168,6.1502436872602,0.5150921976282662,2.4799684851344788,0.9726442920321039,0.3991439649402049,0.9718397123859893,0.31330738850309126
1,Decision Tree Regression,0.0,2.255555555555555,0.0,6.41888888888889,0.0,2.5335526220879823,1.0,0.3728983234832951,1.0,0.28331236969519435
2,ElasticNet Regression,2.100722036884908,2.7562227752006865,6.3887723272545776,9.48876049272776,2.527602090372331,3.080383173036718,0.34128822379091306,0.07298323494035885,0.3219143480200576,-0.05944773149673277
3,Gradient Boosting Regression,0.3623809292206969,2.2641552884042553,0.16988377574096383,6.468490837583538,0.41216959584734514,2.543322794610141,0.9824842022950089,0.3680523967624334,0.9819690317742739,0.2777741677284953
4,Huber Regression,1.9441247272092024,2.4620125479212156,5.344618553793569,7.61675166885093,2.3118431075212627,2.7598463125418653,0.4489452745544493,0.25587156533961497,0.4327377826295802,0.14956750324527424
5,K-Nearest Neighbors Regression (KNN),1.9577777777777774,2.6466666666666665,5.138088888888889,8.993555555555554,2.266735293078768,2.998925733584537,0.4702394317791271,0.12136292365215318,0.4546582385961603,-0.004156658683253545
6,Lasso Regression,2.093446695789842,2.748628653680583,6.327299077973491,9.427452635685121,2.51541230774867,3.0704157105651215,0.3476263981926748,0.07897278556206155,0.3284389393159888,-0.05260253078621546
7,Linear Regression,1.9568539254020072,2.497817449699254,5.327299077973491,7.791936102634517,2.308094252402508,2.7914039662210333,0.45073099207513556,0.23875669483368023,0.434576021253816,0.13000765123849167
8,M-estimators,1.9441247272092024,2.4620125479212156,5.344618553793569,7.61675166885093,2.3118431075212627,2.7598463125418653,0.4489452745544493,0.25587156533961497,0.4327377826295802,0.14956750324527424
9,Passive Aggressive Regression,3.1084466997611404,2.924261658815519,14.58845551276698,15.060312860569338,3.8194836709648308,3.880761891764211,-0.5041367810161854,-0.4713368009964012,-0.5483760981048968,-0.6815277725673157
10,Random Forest (RF) Regression,0.9478611111111098,2.3619999999999943,1.3638633055555534,6.761341999999974,1.1678455829241952,2.60025806411594,0.8593794277695042,0.3394419225666412,0.8552435285862543,0.2450764829333042
11,Ridge Regression,1.961023038529281,2.511990551659334,5.330492350297021,7.864211768869906,2.308785903954072,2.8043201972795306,0.4504017510290619,0.23169562986556236,0.4342370966475637,0.12193786270349982
12,Support Vector Regression (SVR),1.987102798745358,2.622658513178984,6.032698350978238,8.444844176752701,2.4561551968428703,2.9060014068738336,0.37800108650699804,0.1749699935870599,0.35970700081602747,0.05710856409949705
13,XGBoost Regression,0.004248638947804744,2.2544685893588596,2.4138129450584886e-05,6.412887340167578,0.004913057037180099,2.532367931436421,0.9999975112479659,0.373484652570771,0.9999974380493767,0.2839824600808811
