,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.6009816953272826,2.132806450232038,0.47697624642341174,7.601363592104736,0.6906346692886274,2.757057052747501,0.9508215578209336,0.2573749234585895,0.949375133050961,0.1512856268098165
1,Decision Tree Regression,0.0,2.2666666666666675,0.0,8.382222222222225,0.0,2.895206766747796,1.0,0.18108792666747053,1.0,0.06410048761996634
2,ElasticNet Regression,2.1667833608013938,2.7693248856535875,6.834916457711165,9.62892167389475,2.614367314994426,3.1030503821070567,0.2952887144071431,0.0592900065306059,0.27456191188970613,-0.0750971353935932
3,Gradient Boosting Regression,0.4393809081756868,2.12898226767763,0.24625210670706718,7.600131319404422,0.4962379537148153,2.756833567592433,0.9746102765452674,0.25749531193853803,0.9738635199730694,0.15142321364404343
4,Huber Regression,2.0634936206473484,2.5164262279921896,5.889100929612569,8.027697957558637,2.4267469850836467,2.833319247377294,0.392806640319474,0.21572363458901267,0.3749480120935762,0.10368415381601448
5,K-Nearest Neighbors Regression (KNN),2.058333333333333,2.6866666666666665,5.840299999999999,9.663955555555555,2.4166712643634423,3.108690328024899,0.39783824034826454,0.05586732601616218,0.38012760035850757,-0.07900877026724329
6,Lasso Regression,2.16945319417934,2.7729016505009954,6.862235476586694,9.65740458027637,2.6195868904441197,3.107636494231005,0.29247199806071444,0.05650733204391989,0.27166235094485314,-0.07827733480694876
7,Linear Regression,2.0783714663179866,2.512850784237546,5.862235476586693,8.041927138741872,2.4212053767879116,2.8358291801062125,0.3955765919431753,0.21433349627536902,0.3777994328826805,0.10209542431470742
8,M-estimators,2.0634936206473484,2.5164262279921896,5.889100929612569,8.027697957558637,2.4267469850836467,2.833319247377294,0.392806640319474,0.21572363458901267,0.3749480120935762,0.10368415381601448
9,Passive Aggressive Regression,2.2807506400879527,3.0331227247762995,7.621774431050243,11.883195424296638,2.760756133933282,3.4472011000660574,0.21416004262284138,-0.16094419173565022,0.19104710269998382,-0.3267933619836003
10,Random Forest (RF) Regression,1.1552499999999994,2.1478888888888825,1.7028022499999957,6.898355222222199,1.3049146523815247,2.626472010553739,0.82443326555161,0.3260562380894969,0.8192695380678339,0.22977855781656786
11,Ridge Regression,2.0792563215826654,2.5266175798587533,5.8650379991668995,8.104298695187236,2.421784052959078,2.8468049977452328,0.39528763899069663,0.20824002616069703,0.3775019813139524,0.09513145846936799
12,Support Vector Regression (SVR),1.99988535092616,2.7607041852187457,6.553199495840081,9.387625813844824,2.5599217753361296,3.0639232715335454,0.3243350273506619,0.08286371858469344,0.3044625281550931,-0.04815575018892182
13,XGBoost Regression,0.005042273468441339,2.264582686954075,3.619117514043932e-05,8.367204681834302,0.006015910167251446,2.8926120863044016,0.999996268523585,0.18255508475626792,0.9999961587742787,0.065777239721449
