,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.010808668948605327,2.0499804872835474,0.0001631983614428786,6.205778334775475,0.01277491140645909,2.4911399669178516,0.9999831734992212,0.39371843551222596,0.9999672818040412,1.5389169462113546
1,Decision Tree Regression,0.0,2.3111111111111113,0.0,8.233333333333333,0.0,2.869378562220979,1.0,0.1956338198046076,1.0,1.7149921601736822
2,ElasticNet Regression,2.031364089288539,2.6760083453470407,5.924064101004237,9.02222590212954,2.4339400364438393,3.0037020328470563,0.38920177673229317,0.11856193695272876,-0.18766321190943014,1.7835005004864635
3,Gradient Boosting Regression,0.0287754770716871,1.7242685995572045,0.0013174302206025777,6.2413164336767135,0.036296421595008205,2.4982626830813275,0.9998641668921363,0.39024649484041285,0.9997358800680428,1.5420031156974108
4,Huber Regression,1.0131733487359538,4.97818189363564,2.2406415460680886,33.800513394045744,1.496877264864454,5.813820894562005,0.7689795633564807,-2.302185001709933,0.5507935954153791,3.935275557075496
5,K-Nearest Neighbors Regression (KNN),2.106111111111111,2.884444444444444,6.7076555555555535,10.146666666666668,2.5899141984929837,3.185383284106744,0.30840989804101293,0.00870823784826924,-0.34475853158691927,1.8811482330237608
6,Lasso Regression,2.0657872182450916,2.750861879037009,6.150627355653451,9.426015097627818,2.4800458374097545,3.0701816066200087,0.3658420643729975,0.07911322770732931,-0.23308487483028273,1.8185660198157074
7,Linear Regression,1.0146498959832937,3.7847019378145728,1.757878898598011,19.295315487233694,1.3258502549677362,4.392643337130126,0.8187546100655047,-0.8850808762102629,0.6475784084607035,2.6756274455202336
8,M-estimators,1.0131733487359538,4.97818189363564,2.2406415460680886,33.800513394045744,1.496877264864454,5.813820894562005,0.7689795633564807,-2.302185001709933,0.5507935954153791,3.935275557075496
9,Passive Aggressive Regression,3.2480720316419225,3.977450634420674,16.84779426662888,19.09976753008745,4.104606469154977,4.370328080371936,-0.7370849856760215,-0.8659765648740603,-2.3776652499255975,2.6586458354436093
10,Random Forest (RF) Regression,0.8333888888888882,1.8210000000000006,0.9707921111111077,5.530347444444447,0.9852878316061291,2.351669076303987,0.8999068736395925,0.4597055325051258,0.8053744765214299,1.4802617488843326
11,Ridge Regression,1.436287764707805,2.5535327203130134,3.032010333969392,8.474546755232378,1.7412668761477639,2.9111074791619043,0.6873858058686617,0.1720681616526082,0.3921390669668422,1.7359394118643483
12,Support Vector Regression (SVR),1.8371877934061347,2.774508494663631,6.097887525475208,9.199283833942612,2.4693901120469417,3.033032118844542,0.37127978314495513,0.10126403262652095,-0.2225115327736984,1.7988764154430925
13,XGBoost Regression,0.0004968100123935079,1.5857640902201333,4.51515162909434e-07,3.074005562730691,0.00067194877997466,1.7532842218906468,0.9999999534467124,0.6996810389805983,0.9999999094797186,1.2669501875728015
