,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.018265616060133057,2.1792112301816844,0.0004894751813505666,7.078530128592803,0.022124086000342852,2.660550719041605,0.9999495328602113,0.3084538168905838,0.9999018694504108,1.614707718319481
1,Decision Tree Regression,0.0,2.5666666666666664,0.0,9.854444444444445,0.0,3.1391789443171993,1.0,0.03725726691593312,1.0,1.8557713182969482
2,ElasticNet Regression,2.0640090874528187,2.687393863550186,6.102122698250538,9.08051996712222,2.4702474973675286,3.013390112003791,0.3708431173759327,0.11286682265480685,-0.22336060510235312,1.7885628243068383
3,Gradient Boosting Regression,0.042128686053627754,1.8906184773829082,0.0024326644409644834,6.393027004693805,0.049322048223532686,2.5284435933383613,0.999749181120762,0.3754249338075043,0.999512296623704,1.5551778366155518
4,Huber Regression,1.0585142714713571,5.044022251820529,2.373814287625853,34.90552933963591,1.540718756822884,5.908090160080151,0.7552488419219536,-2.410140967929693,0.5240949704037987,4.031236415937505
5,K-Nearest Neighbors Regression (KNN),2.093333333333333,2.9955555555555553,6.706133333333331,11.115555555555556,2.5896203067888797,3.3339999333466634,0.30856684614503405,-0.08594861898444095,-0.3444533547179893,1.9652876613195032
6,Lasso Regression,2.1006974147360635,2.76162898839171,6.341923484847091,9.487129940528092,2.518317590147655,3.080118494559599,0.34611855466120045,0.07314253385264102,-0.27143614371433245,1.8238733032420968
7,Linear Regression,1.0477326302092198,3.8473557201690323,1.8775127557910305,19.99467024200113,1.3702236152508211,4.471540030235794,0.8064198098050261,-0.9534052461730689,0.6235940746208841,2.7363602188205056
8,M-estimators,1.0585142714713571,5.044022251820529,2.373814287625853,34.90552933963591,1.540718756822884,5.908090160080151,0.7552488419219536,-2.410140967929693,0.5240949704037987,4.031236415937505
9,Passive Aggressive Regression,1.8432636544146364,2.2014491738174886,5.955139246420164,6.739683886179659,2.440315398963864,2.5960901151885425,0.3859977864843456,0.34155784009099954,-0.19389319294710572,1.5852819199191115
10,Random Forest (RF) Regression,0.8505833333333325,1.7946666666666675,1.0876159722222194,5.461954000000005,1.0428882836729059,2.337082369108972,0.8878617968839504,0.466387318779399,0.7819534939410147,1.474322383307201
11,Ridge Regression,1.4937082899681857,2.578587094489178,3.20938364266094,8.746121281365305,1.7914752698993475,2.9573841957657963,0.6690978029104313,0.14553633603836735,0.3565790612147275,1.7595232568547847
12,Support Vector Regression (SVR),1.8367232904100723,2.7746374861089618,6.134697553540146,9.185206617786552,2.4768321609548245,3.0307105796803744,0.3674845001505176,0.10263932451970748,-0.22989124970732688,1.7976539337602602
13,XGBoost Regression,0.000511374738481285,1.727222294277615,4.4331405212637827e-07,3.8349069993371976,0.0006658183326751962,1.9582918575475918,0.9999999542922847,0.6253437860978013,0.999999911123887,1.3330277456908433
