,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.014685429905205149,2.24131435776495,0.00029496284604661857,7.318450528241083,0.017174482409860817,2.705263485917977,0.9999695879755479,0.2850144822246681,0.9999408655080099,1.6355426824669617
1,Decision Tree Regression,0.0,3.5222222222222226,0.0,19.17888888888889,0.0,4.379370832538492,1.0,-0.8737064286575802,1.0,2.6655168254734045
2,ElasticNet Regression,2.1043713315972785,2.7001121717312873,6.412266766825713,9.207291632094464,2.5322454001983523,3.0343519295056174,0.3388658391404351,0.10048170039844229,-0.28553864611582047,1.7995718218680512
3,Gradient Boosting Regression,0.05133426605636851,1.9559089067348308,0.004015610502270384,6.116865446379666,0.06336884488666639,2.4732297601273654,0.9995859721099732,0.4024048954809396,0.9991949457693924,1.5311956484613871
4,Huber Regression,1.1008213736125005,5.344153918842348,2.5730160848366967,38.58451837394634,1.6040623693724307,6.211643773909313,0.7347102215198732,-2.769564573983419,0.4841587640664201,4.350724065763039
5,K-Nearest Neighbors Regression (KNN),2.1566666666666663,2.9955555555555553,6.997466666666664,11.115555555555556,2.6452725127416765,3.3339999333466634,0.27852904112727717,-0.08594861898444095,-0.40286019780807214,1.9652876613195032
6,Lasso Regression,2.135050303166179,2.7572717172090937,6.609656568244544,9.528720074627294,2.5709252358333066,3.086862496877257,0.31851404382860704,0.06907933175152492,-0.32511158144437524,1.827485038443089
7,Linear Regression,1.0698041540467695,4.016910898063155,2.0096748541942318,21.85562442517771,1.4176300131537254,4.67499993852168,0.7927932903225102,-1.135213579109147,0.5970980645159921,2.8979676258747977
8,M-estimators,1.1008213736125005,5.344153918842348,2.5730160848366967,38.58451837394634,1.6040623693724307,6.211643773909313,0.7347102215198732,-2.769564573983419,0.4841587640664201,4.350724065763039
9,Passive Aggressive Regression,1.883467148135493,4.021028851414324,6.5505580131897965,19.55053280749507,2.5594057929898097,4.421598444849449,0.324607376346567,-0.9100146633784834,-0.3132634348816754,2.697790811891985
10,Random Forest (RF) Regression,0.9092499999999991,1.9587777777777795,1.1423581388888853,6.146665444444454,1.068811554432719,2.479246951081004,0.8822176280215378,0.399493546013749,0.7709787211529902,1.5337835146544454
11,Ridge Regression,1.5574927559629943,2.6444580495070813,3.4488147373704505,9.438558050085565,1.8570984727177098,3.072223632824532,0.6444113571275741,0.07788782769638092,0.3085776388591719,1.8196552642698838
12,Support Vector Regression (SVR),1.8385670160571783,2.7776454591262745,6.207519605769253,9.208895462968336,2.4914894352112458,3.0346161969791723,0.3599762120297483,0.10032501206074651,-0.2444906988310449,1.7997111003904476
13,XGBoost Regression,0.0005298389328850147,1.5235897011227075,4.816414359411834e-07,4.201099073912561,0.0006940039163730875,2.0496582822296405,0.9999999503405553,0.5895681763515651,0.9999999034399687,1.3648282876874978
