,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.01523522860239828,2.0974058167907166,0.00033955817852195634,6.584907835999237,0.01842710445300499,2.566107526195899,0.999964989991904,0.3566788870872776,0.9999319249842578,1.5718409892557532
1,Decision Tree Regression,0.0,2.5444444444444443,0.0,10.50111111111111,0.0,3.2405417928351286,1.0,-0.025919671933421595,1.0,1.9119285972741524
2,ElasticNet Regression,2.0608069517507035,2.6805063393428283,6.117279188372065,9.056692312839202,2.4733134027801786,3.0094338857730705,0.36928041361726904,0.11519469624897449,-0.2263991957441991,1.786493603334245
3,Gradient Boosting Regression,0.04023360754813691,1.8073697859441207,0.0022436091288411853,5.9810597461544255,0.047366751301320904,2.4456205237432944,0.9997686735919399,0.41567260953020335,0.9995501986509943,1.5194021248620415
4,Huber Regression,1.04518134315828,5.131545686701202,2.4158465924240846,37.252379451998344,1.554299389572062,6.1034727370570225,0.750915118205788,-2.63941953396679,0.5156682854001434,4.2350395857482575
5,K-Nearest Neighbors Regression (KNN),2.1566666666666663,2.884444444444444,6.997466666666664,10.146666666666668,2.6452725127416765,3.185383284106744,0.27852904112727717,0.00870823784826924,-0.40286019780807214,1.8811482330237608
6,Lasso Regression,2.093446695789842,2.748628653680583,6.327299077973491,9.427452635685121,2.51541230774867,3.0704157105651215,0.3476263981926748,0.07897278556206155,-0.2685042257364656,1.8186908572781675
7,Linear Regression,1.0363233665677252,3.831894450134512,1.8510205912917366,19.910277369811887,1.3605221759647053,4.462093384254961,0.8091512736667932,-0.945160375050974,0.6289052543520979,2.7290314444897548
8,M-estimators,1.04518134315828,5.131545686701202,2.4158465924240846,37.252379451998344,1.554299389572062,6.1034727370570225,0.750915118205788,-2.63941953396679,0.5156682854001434,4.2350395857482575
9,Passive Aggressive Regression,1.8052196429434606,3.069942266413256,5.291943067622422,10.595303141219834,2.3004223672235544,3.2550427249453784,0.4543763591636867,-0.03512188449982667,-0.060934857181720314,1.9201083417776237
10,Random Forest (RF) Regression,0.8527222222222209,2.0404444444444447,0.9575445555555514,6.306177111111112,0.9785420560995585,2.5112102881103193,0.9012727574750835,0.383909846821855,0.8080303617571069,1.5476356917139067
11,Ridge Regression,1.4877493911646713,2.571337989955978,3.1961495264839974,8.718155993390413,1.7877778179863395,2.9526523658213497,0.6704623010842482,0.14826844112335869,0.3592322521082605,1.757094719001459
12,Support Vector Regression (SVR),1.8391626288196872,2.777677277162697,6.146189341775791,9.205244150738702,2.479150931624735,3.034014527113986,0.3662996439914983,0.10068173174546524,-0.2321951366831978,1.7993940162262532
13,XGBoost Regression,0.0005062275462680196,1.9902235507965085,4.479177147232308e-07,4.7887897532698975,0.0006692665498314037,2.1883303574346122,0.999999953817626,0.5321529730854401,0.9999999102009394,1.4158640239240532
