,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.018372063556664518,2.1760910652104357,0.0004934964428496935,6.975800978023239,0.022214779828971826,2.641174166544728,0.9999491182496776,0.3184900745146758,0.999901063263262,1.6057866004313994
1,Decision Tree Regression,0.0,3.9666666666666663,0.0,21.30111111111111,0.0,4.615312677502047,1.0,-1.0810396815824381,1.0,2.8498130502955004
2,ElasticNet Regression,2.137066960063051,2.7176543947485436,6.636395149258352,9.321258380943107,2.5761201736833534,3.053073595729901,0.3157571732921851,0.0893475710331787,-0.33047216304297344,1.8094688257482856
3,Gradient Boosting Regression,0.05333668564531654,2.4034299754491557,0.004127372139566384,8.494283220057081,0.06424462732062802,2.914495362847071,0.9995744489717482,0.17013998211961945,0.9991725396672881,1.737653349227005
4,Huber Regression,1.142930150089551,5.550875421503534,2.8052219676433143,42.44309687274628,1.6748796875129015,6.51483667276059,0.7107687282759787,-3.1465334057320575,0.4376058605366252,4.685807471761828
5,K-Nearest Neighbors Regression (KNN),2.1711111111111108,2.9955555555555553,7.052933333333332,11.115555555555556,2.6557359306477237,3.3339999333466634,0.2728101729865966,-0.08594861898444095,-0.41398021919272887,1.9652876613195032
6,Lasso Regression,2.16945319417934,2.7729016505009954,6.862235476586694,9.65740458027637,2.6195868904441197,3.107636494231005,0.29247199806071444,0.05650733204391989,-0.3757488926597219,1.8386601492942933
7,Linear Regression,1.1110481384412634,4.047662642378108,2.1609763212995965,22.19524362619987,1.4700259593964988,4.711182826658277,0.7771934140027911,-1.1683931175035451,0.5667649716720937,2.92746054889204
8,M-estimators,1.142930150089551,5.550875421503534,2.8052219676433143,42.44309687274628,1.6748796875129015,6.51483667276059,0.7107687282759787,-3.1465334057320575,0.4376058605366252,4.685807471761828
9,Passive Aggressive Regression,1.9164442764351308,3.6126703667888744,5.898882805773938,15.979761638145513,2.4287615786186048,3.997469404278851,0.3917980839504476,-0.5611635420212115,-0.18261483676301848,2.387700926241077
10,Random Forest (RF) Regression,0.9650555555555544,1.7346666666666666,1.3559731111111075,4.979230444444443,1.1644625846763423,2.2314189307354284,0.8601929430633524,0.5135476227234352,0.7281529448454074,1.4324021131347242
11,Ridge Regression,1.5972481523394175,2.6856773940601824,3.6269346025786877,9.69600681358386,1.9044512602266008,3.1138411670449506,0.6260463807628802,0.05273603678652439,0.2728679625944893,1.8420124117453116
12,Support Vector Regression (SVR),1.8506214889669705,2.796152963751562,6.2866625329163135,9.30400612371162,2.507321784876507,3.050246895533478,0.35181621266758134,0.09103305268285966,-0.2603573642574808,1.807970619837458
13,XGBoost Regression,0.00043053627014155715,1.487987200419108,3.428372589395018e-07,4.853450786789143,0.0005855230643958459,2.203054876027636,0.9999999646519037,0.5258358295381491,0.9999999312675905,1.4214792626327564
