,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.032747008431962134,1.6857761099592254,0.0015116429245137768,4.243135321514855,0.03887985242402261,2.059887210872201,0.9998441426701727,0.5854613906130706,0.9997979627205943,-inf
1,Decision Tree Regression,0.0,2.2555555555555555,0.0,8.494444444444444,0.0,2.9145230217729354,1.0,0.17012423109395758,1.0,-inf
2,ElasticNet Regression,2.076514449729297,2.6490527723439,6.184605746427647,8.953152622741214,2.4868867578616536,2.992181916719171,0.3623387361914443,0.12531014058371936,0.17340206543335368,-inf
3,Gradient Boosting Regression,0.05919990372573244,1.618461877151608,0.005380078421014203,4.28820163696922,0.0733490178599155,2.0707973432881404,0.9994452891993455,0.581058578465195,0.999280930443596,-inf
4,Huber Regression,1.5643827084009647,1.4794006230135404,4.009022381126062,4.670780065818957,2.002254324786455,2.1611987566669932,0.5866513755283016,0.5436820825819135,0.4641777090181688,-inf
5,K-Nearest Neighbors Regression (KNN),2.188888888888888,2.711111111111111,7.268644444444446,8.882666666666667,2.6960423669602163,2.980380288934059,0.25056936647955086,0.13219635749608016,0.0285158454364548,-inf
6,Lasso Regression,2.1006974147360635,2.76162898839171,6.341923484847091,9.487129940528092,2.518317590147655,3.080118494559599,0.34611855466120045,0.07314253385264102,0.152375904190445,-inf
7,Linear Regression,1.622154858098812,1.557407381588805,3.8542610466589036,4.707789170806742,1.9632272019964738,2.16974403347647,0.6026079800672456,0.5400664300623013,0.4848621963834665,-inf
8,M-estimators,1.5643827084009647,1.4794006230135404,4.009022381126062,4.670780065818957,2.002254324786455,2.1611987566669932,0.5866513755283016,0.5436820825819135,0.4641777090181688,-inf
9,Passive Aggressive Regression,2.3641271707156335,3.149704949231728,8.319208474637025,13.591070286062346,2.8843038110845787,3.686606879782864,0.14225138879902377,-0.3277972417935713,-0.11189634785311742,-inf
10,Random Forest (RF) Regression,0.8603888888888871,1.7053333333333336,1.0496578333333277,4.815251333333332,1.0245281027543012,2.1943680943117387,0.8917754553786236,0.529567774695453,0.8597089236389565,-inf
11,Ridge Regression,1.6783891014950363,1.929011703386853,4.051814947154682,5.7332919293847215,2.012912056487983,2.3944293536007115,0.5822392653867323,0.43987860779138543,0.4584583069828012,-inf
12,Support Vector Regression (SVR),1.7903323304635346,2.6996780708434205,6.481468074761512,8.961673216790514,2.5458727530576843,2.993605387620505,0.3317308663895796,0.124477710095246,0.1337251971716773,-inf
13,XGBoost Regression,0.0005417585372924608,1.4518045955234102,5.544616561160135e-07,2.887035781393228,0.000744621820870174,1.6991279473286371,0.9999999428324561,0.7179472943036408,0.9999999258939245,-inf
