,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.01916235536713425,1.488427463056425,0.000523395103689271,3.199972391240843,0.02287782996023161,1.7888466651004058,0.9999460355603941,0.6873745462664236,0.9999300460968071,-inf
1,Decision Tree Regression,0.0,1.9888888888888887,0.0,7.205555555555555,0.0,2.684316590038432,1.0,0.29604390302737926,1.0,-inf
2,ElasticNet Regression,2.044551884325355,2.6360315044794174,6.013283320884245,8.894187367003795,2.4521996902544956,2.9823124194161474,0.380002865300055,0.13107082773211032,0.19630001057414548,-inf
3,Gradient Boosting Regression,0.0804787915426422,1.2362043036886958,0.009545961403078939,3.1138256340725374,0.09770343598399668,1.7646035345290845,0.9990157675263179,0.6957907654566693,0.9987241430896714,-inf
4,Huber Regression,1.4818120933372194,1.445467843373436,3.8888811140745148,4.519289528383472,1.9720246230903191,2.1258620671114747,0.5990384920761755,0.5584821471486416,0.48023508232096834,-inf
5,K-Nearest Neighbors Regression (KNN),2.177777777777778,2.6777777777777776,7.249600000000001,8.793466666666667,2.692508124407427,2.965377997265554,0.2525329361897124,0.14091086720540347,0.03106121357925684,-inf
6,Lasso Regression,2.0657872182450916,2.750861879037009,6.150627355653451,9.426015097627818,2.4800458374097545,3.0701816066200087,0.3658420643729975,0.07911322770732931,0.17794341677981151,-inf
7,Linear Regression,1.5585734428847584,1.5357162957072559,3.6686647083993913,4.548854932482837,1.9153758660898366,2.1328044759149485,0.6217438151495644,0.5555937166432158,0.5096679085272131,-inf
8,M-estimators,1.4818120933372194,1.445467843373436,3.8888811140745148,4.519289528383472,1.9720246230903191,2.1258620671114747,0.5990384920761755,0.5584821471486416,0.48023508232096834,-inf
9,Passive Aggressive Regression,2.298545889355132,3.8578822572880633,10.10150895080426,19.538568729202442,3.178287109561416,4.420245324549582,-0.04151197797271533,-0.9088458172300056,-0.3501081195942606,-inf
10,Random Forest (RF) Regression,0.7862777777777765,1.490444444444445,0.9083193888888851,3.960794666666667,0.9530579147611572,1.9901745317098867,0.9063480982930465,0.6130450271378602,0.8785993866761714,-inf
11,Ridge Regression,1.6110536464263092,1.905847087001546,3.8556446051830084,5.575177857859335,1.963579538797196,2.361181453819112,0.6024653288275051,0.45532576711300676,0.4846772781097288,-inf
12,Support Vector Regression (SVR),1.7800026770072732,2.7018148606722345,6.3621045350335255,8.951735094700346,2.5223212592835047,2.991945035374204,0.3440377956776065,0.12544862782447486,0.14967862402652699,-inf
13,XGBoost Regression,0.0007256216473049539,1.0058766153123644,9.4547086228488e-07,1.5088665100645315,0.0009723532600268691,1.228359275645579,0.9999999025176107,0.8525893290131141,0.9999998736339398,-inf
