,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.0346557990532059,1.7060696860021416,0.0017714286044005897,4.175954237047443,0.042088342856432225,2.0435151668258893,0.9998173575731515,0.5920247338067268,0.9997632412985297,-inf
1,Decision Tree Regression,0.0,2.0999999999999996,0.0,7.829999999999998,0.0,2.7982137159266443,1.0,0.23503799300446293,1.0,-inf
2,ElasticNet Regression,2.1141630066177877,2.6689811300616975,6.473564502743388,9.094595961801616,2.5443200472313596,3.015724782171214,0.33254576097272903,0.11149165009536754,0.1347815420016858,-inf
3,Gradient Boosting Regression,0.07534955250630873,1.4531408739407705,0.008433304291107925,3.4469423216686312,0.09183302396800361,1.8565942803069904,0.9991304875859781,0.6632464985464249,0.9988728542781198,-inf
4,Huber Regression,1.6440471256230063,1.5988965478398791,4.2631534427885205,4.873846027430777,2.0647405267462835,2.2076788777878855,0.5604492956226752,0.5238432900471681,0.4302120498812456,-inf
5,K-Nearest Neighbors Regression (KNN),2.1416666666666666,2.6799999999999997,7.0610333333333335,8.786844444444444,2.657260494067778,2.9642611970682413,0.2719750257761485,0.1415578337956822,0.056263922302414726,-inf
6,Lasso Regression,2.135050303166179,2.7572717172090937,6.609656568244544,9.528720074627294,2.5709252358333066,3.086862496877257,0.31851404382860704,0.06907933175152492,0.11659227903708314,-inf
7,Linear Regression,1.709857422101,1.6577399025801491,4.167960287580083,5.013033726585674,2.0415582988443126,2.238980510541723,0.5702641472308312,0.5102451672253774,0.442935005669596,-inf
8,M-estimators,1.6440471256230063,1.5988965478398791,4.2631534427885205,4.873846027430777,2.0647405267462835,2.2076788777878855,0.5604492956226752,0.5238432900471681,0.4302120498812456,-inf
9,Passive Aggressive Regression,2.124858467159901,1.5079142632891775,7.3704516500283255,6.464176965978715,2.7148575745383634,2.5424745752865876,0.24007257589351672,0.3684738460447764,0.014908894676780915,-inf
10,Random Forest (RF) Regression,0.821277777777777,1.4890000000000008,0.9625082222222177,3.7558092222222217,0.9810750339409405,1.937991027384343,0.9007609806392489,0.6330713460378725,0.8713568267545819,-inf
11,Ridge Regression,1.7673190247889599,1.9948709412717374,4.361798836333409,6.107088374149333,2.088492000543313,2.471252389811557,0.550278502382854,0.4033600792351997,0.41702768827407,-inf
12,Support Vector Regression (SVR),1.781934254604342,2.697741670254183,6.53369463608,8.986347849687753,2.5561092770224048,2.99772377808359,0.32634606799495935,0.12206708982667003,0.12674490295642882,-inf
13,XGBoost Regression,0.0005217485957674671,1.301467704772949,5.97288391380326e-07,2.3894194343102537,0.0007728443513284716,1.5457747036066587,0.999999938416823,0.7665625688347237,0.9999999201699558,-inf
