,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.02316587100747822,1.659961088092672,0.0008263881495709513,3.999234596131936,0.028746967658710567,1.99980863987831,0.9999147955854492,0.6092895883648695,0.9998895498329896,-inf
1,Decision Tree Regression,0.0,2.122222222222222,0.0,8.334444444444443,0.0,2.8869437896232832,1.0,0.18575563864431333,1.0,-inf
2,ElasticNet Regression,2.0723985098274436,2.644539277230523,6.193362683013907,8.935746209435914,2.48864675737918,2.9892718527152917,0.3614358558010635,0.12701068271100113,0.17223166492730457,-inf
3,Gradient Boosting Regression,0.06030869100702644,1.6317160566783877,0.005450187403005619,4.608256188303585,0.07382538454356753,2.1466849299102058,0.9994380606412298,0.5497904339011093,0.999271560090483,-inf
4,Huber Regression,1.5587536128576307,1.4596966674807026,4.012755564773588,4.524019726152691,2.0031863529820653,2.126974312527702,0.5862664671444346,0.558020024341614,0.4636787537057486,-inf
5,K-Nearest Neighbors Regression (KNN),2.191111111111111,2.711111111111111,7.270333333333334,8.882666666666667,2.696355565079156,2.980380288934059,0.2503952342765494,0.13219635749608016,0.028290118506638096,-inf
6,Lasso Regression,2.093446695789842,2.748628653680583,6.327299077973491,9.427452635685121,2.51541230774867,3.0704157105651215,0.3476263981926748,0.07897278556206155,0.1543305161756896,-inf
7,Linear Regression,1.618264301284329,1.5470919668046845,3.863462234169946,4.590890166738536,1.9655691883446753,2.14263626561732,0.6016592953656832,0.5514870299049314,0.48363241991847816,-inf
8,M-estimators,1.5587536128576307,1.4596966674807026,4.012755564773588,4.524019726152691,2.0031863529820653,2.126974312527702,0.5862664671444346,0.558020024341614,0.4636787537057486,-inf
9,Passive Aggressive Regression,2.426374847093282,3.2848100801509736,9.185342155733402,14.64774876003606,3.0307329403517893,3.8272377454289486,0.05294902736166096,-0.4310308160208911,-0.2276586682348838,-inf
10,Random Forest (RF) Regression,0.8314999999999991,1.5198888888888904,1.023275499999996,4.183693222222227,1.011570808198811,2.0454078376260876,0.8944955951426284,0.5912686636111442,0.8632350307404443,-inf
11,Ridge Regression,1.6802250180821297,1.9177435029065646,4.062047753826091,5.656151179340957,2.0154522454838992,2.3782664231202015,0.5811842160105989,0.4474149734330992,0.4570906503841097,-inf
12,Support Vector Regression (SVR),1.7832391049653593,2.7255388472387576,6.427939305007681,9.073517142864427,2.535338104673158,3.0122279367379265,0.33724992845607604,0.11355097265466352,0.14087953688750599,-inf
13,XGBoost Regression,0.0005433320999144916,1.3587534798516168,5.460182508916541e-07,2.4678403134022506,0.0007389304777119794,1.5709361264552582,0.99999994370301,0.7589011393250726,0.9999999270224205,-inf
