,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.029368065632232772,1.6846611376604332,0.0012629781846412577,4.769011171524263,0.035538404362622386,2.183806578322417,0.9998697811471902,0.5340852672856529,0.9998311977833947,-inf
1,Decision Tree Regression,0.0,1.3555555555555554,0.0,2.2533333333333325,0.0,1.5011106998930268,1.0,0.7798576769991559,1.0,-inf
2,ElasticNet Regression,2.146936167024894,2.6904933502880883,6.704165212681963,9.234431365090128,2.5892402771241536,3.0388207194716386,0.3087697684255051,0.09783024897804815,0.10396081092195097,-inf
3,Gradient Boosting Regression,0.09866589387688138,1.5958700375982613,0.01340738057086822,4.293747753886462,0.11579024385011123,2.0721360365300496,0.998617637471213,0.5805167433785992,0.9982080485737946,-inf
4,Huber Regression,1.6978968139806632,1.6727170582144018,4.5460631159509814,5.053908656828242,2.13214988121168,2.2480900019412573,0.53128000866584,0.5062518378927903,0.3924000112334963,-inf
5,K-Nearest Neighbors Regression (KNN),2.1416666666666666,2.711111111111111,7.061033333333333,8.882666666666667,2.657260494067778,2.980380288934059,0.2719750257761486,0.13219635749608016,0.05626392230241484,-inf
6,Lasso Regression,2.16945319417934,2.7729016505009954,6.862235476586694,9.65740458027637,2.6195868904441197,3.107636494231005,0.29247199806071444,0.05650733204391989,0.08283407156018541,-inf
7,Linear Regression,1.7676202465408974,1.6813560915491947,4.420082623321964,5.098369779150619,2.102399254024307,2.257956992316421,0.5442691761954672,0.5019081508729948,0.4092378209941242,-inf
8,M-estimators,1.6978968139806632,1.6727170582144018,4.5460631159509814,5.053908656828242,2.13214988121168,2.2480900019412573,0.53128000866584,0.5062518378927903,0.3924000112334963,-inf
9,Passive Aggressive Regression,2.682321434815972,2.3439029796242092,9.523587612587265,8.707852787819713,3.086031045305161,2.9509071127061444,0.01807436690015607,0.14927502615680055,-0.27286656142572374,-inf
10,Random Forest (RF) Regression,0.9116666666666651,1.5536666666666687,1.1993863888888834,4.705207000000007,1.0951650053251718,2.1691489114396934,0.8763377534654605,0.5403186985888306,0.8396970878255969,-inf
11,Ridge Regression,1.823923310868145,2.0407902682640287,4.62295836108943,6.288967049679864,2.1501065929598537,2.507781300209383,0.5233517556443479,0.3855912060980956,0.3821226462056361,-inf
12,Support Vector Regression (SVR),1.8009696026409818,2.735146848852334,6.641119967877033,9.180289809061199,2.57703705209627,3.0298993067528164,0.3152700227873376,0.10311967852616455,0.11238706657617847,-inf
13,XGBoost Regression,0.0005960742632547471,1.3265208032396105,6.086993369711216e-07,3.0446777857477354,0.0007801918590777025,1.744900508839325,0.9999999372403021,0.7025462541966391,0.9999999186448361,-inf
