id,Plot_Name,Husk_Cob_Seed,Cob_Seed,Seed,30Mar_CIgr,30Mar_CIre,30Mar_EVI2,30Mar_GNDVI,30Mar_MCARI2,30Mar_MTVI2,30Mar_NDRE,30Mar_NDVI,30Mar_NDWI,30Mar_OSAVI,30Mar_RDVI,30Mar_RGBVI
1,P1_1,9.4,8.3,7,175.0783131,40.729608,109.3936217,44.1651161,71.2647741,71.2647741,16.4266481,55.4238335,-44.1651161,64.2904754,5332.104018,49.1237407
2,P1_2,11.5,10.2,8.4,153.3238964,34.6926625,101.7807184,41.2776525,70.0322937,70.0322937,14.4438157,52.609856,-41.2776525,61.0263304,5065.970089,48.6273799
3,P1_3,18.4,16.5,14.2,249.4414037,62.7627937,140.2941493,54.7179507,82.8055998,82.8055998,23.6739823,68.1932523,-54.7179507,79.102722,6459.353205,54.3530168
4,P1_4,7.6,6.8,5.4,130.8830753,28.0929353,85.8780546,37.637542,61.747982,61.747982,12.0519026,45.7965189,-37.637542,53.123029,4438.424003,43.9611857
5,P1_5,14.6,13,11.3,245.6665465,58.3333631,138.2992312,54.0943068,82.1164783,82.1164783,22.3892133,67.3846852,-54.0943068,78.1648132,6422.36427,55.1309417
6,P1_6,12.8,11.2,9.4,238.87447,57.7440871,135.0085005,53.3124948,81.1718069,81.1718069,22.1494788,66.2050296,-53.3124948,76.7963576,6156.104675,54.1292245
7,P1_7,13.2,12,10,246.9642561,59.7052628,140.3559345,54.0700658,83.2831376,83.2831376,22.6792917,68.1563353,-54.0700658,79.0598535,6416.031842,55.2684509
8,P1_8,10.4,9.3,7.4,144.9838223,33.1218272,88.3134886,38.779622,61.8069804,61.8069844,13.6874156,46.6104792,-38.779622,54.0670617,4277.534198,41.9475716
9,P1_9,12.6,11.2,9.2,172.4352504,40.5936006,110.5533778,44.3530946,73.5602352,73.5602271,16.4825206,56.3541348,-44.3530946,65.3695483,5326.633593,50.097559
10,P1_10,10,8.7,7.2,126.956944,27.9248489,83.2143631,35.097246,58.0320725,58.0320644,11.7538295,43.5642999,-35.097246,50.5336228,4087.60171,39.3571634
11,P1_11,9,8,6.8,117.0422724,26.3528784,79.0252959,34.200319,57.4113504,57.4113423,11.3159889,42.1930826,-34.200319,48.9430397,3923.252501,40.1526394
12,P1_12,9.8,8.8,7.7,190.8706404,45.551059,111.4872481,46.9420242,72.58636,72.58636,18.080867,56.9345179,-46.9420242,66.0427103,5173.61728,47.3233829
13,P1_13,10.2,8.8,7.3,157.9409029,38.2057375,94.7838638,41.161931,63.8927692,63.8927732,15.5190713,49.308148,-41.161931,57.1962699,4480.234453,41.4371426
14,P1_14,7.8,6.9,6,157.012387,36.7402811,94.4708981,41.7313856,64.9961909,64.9961909,15.1173357,49.6769688,-41.7313856,57.6240645,4469.952043,43.2256471
15,P1_15,10,9.2,8,171.8373676,41.6961178,107.4735243,45.4305979,71.9150078,71.9150078,17.098577,55.5236421,-45.4305979,64.406129,5044.951125,47.8246596
16,P2_1,6,5.2,4.6,124.7209833,29.8279771,80.4010246,35.7202906,57.7638705,57.7638705,12.6073522,42.981332,-35.7202906,49.8573989,4013.605398,38.821744
17,P2_2,9.8,9,8,156.9866706,36.9903899,98.5583379,41.6548664,67.7182727,67.7182727,15.234528,51.3432437,-41.6548664,59.5570108,4772.233581,44.106708
18,P2_3,11,10,8.3,207.254082,49.60331,126.892402,49.4806032,79.1922213,79.1922132,19.5586499,62.8791518,-49.4806032,72.9384185,5864.950909,53.9643864
19,P2_4,9.2,8.3,7.4,250.1079034,57.6869478,143.2324851,53.777001,84.9069371,84.9069453,21.9789939,69.1087161,-53.777001,80.1645612,6379.553898,60.3565037
20,P2_5,8,7.2,6.2,193.4454202,42.4025197,115.4113952,46.9788875,75.0222329,75.0222329,17.090687,58.4512063,-46.9788875,67.801999,5263.998672,53.0690812
21,P2_6,11.4,10.2,8.9,172.076118,39.125323,114.634248,45.700356,77.1980197,77.1980197,16.2582352,58.7123662,-45.700356,68.105026,5399.564617,53.2435635
22,P2_7,4.8,4.2,3.6,132.6800835,29.1422073,86.0907143,38.1464497,62.092003,62.0920111,12.4865706,46.0751699,-38.1464497,53.446218,4376.056543,42.5379525
23,P2_8,4.8,4.4,3.4,127.1937547,27.530938,82.1676152,37.5559431,60.289007,60.289007,11.9086948,44.5138334,-37.5559431,51.6351057,4251.065624,40.9621224
24,P2_9,5,4.5,4,105.765554,22.5416515,68.3671833,30.8655839,49.9796847,49.9796847,9.7098977,36.8635965,-30.8655839,42.7609386,3387.045417,35.7983577
25,P2_10,6.3,5.6,5,155.9895131,36.9569067,101.3604982,42.3947438,69.6834102,69.6834183,15.3499658,52.7343385,-42.3947438,61.1707147,5014.560154,47.2378095
26,P2_11,14.4,12.8,10.1,143.1912694,37.3410147,89.1670877,39.893401,62.6402623,62.6402623,15.3888326,47.3765645,-39.893401,54.955625,4158.992093,39.6700303
27,P2_12,2.4,2,1.4,98.05135,22.1211633,63.3271839,28.4701633,46.6653017,46.6653058,9.4083996,34.2049609,-28.4701633,39.6769618,3136.432996,31.2122723
28,P2_13,6,5,4.4,111.9262817,25.2212124,73.4840902,32.6790335,53.8819981,53.8819981,10.7840901,39.554734,-32.6790335,45.8825817,3649.452009,36.4809217
29,P2_14,11.2,10,8.6,145.0121527,34.1916878,91.3876415,38.3351863,61.8923444,61.8923404,14.0159959,47.2935094,-38.3351863,54.8593593,4311.020788,40.6954975
30,P2_15,16.6,14.6,12.1,238.9003504,59.8231939,138.7269141,53.3984967,82.8345708,82.8345708,22.7542732,67.5252144,-53.3984967,78.3275613,5967.38158,55.5030846
