Maize_high,N,P,K,pH,SoilTemp,SoilHumi,EC,Water feed Per Area (m3/dunam),Uv radiation,Evapotranspiration,Daily rain,Rain rate,Humidity,Wind speed,Temperature
2.0,3,5,10,6.7,38.0,25.3,57,9.4,8.4,1.98,0,0,55,6,36.0
0.94,0,0,0,6.7,39.6,14.0,0,7.51,5.4,1.98,0,0,61,3,35.2
1.42,0,1,2,6.4,38.1,26.4,10,1.96,7.0,0.66,0,0,68,3,32.9
2.3,27,38,77,6.5,38.0,21.0,389,9.4,8.1,2.67,0,0,54,1,37.0
1.38,0,1,2,6.5,39.6,19.8,12,1.96,5.5,0.66,0,0,70,3,31.8
1.31,0,0,0,6.7,41.7,14.3,0,7.51,8.3,1.27,0,0,64,8,34.4
2.0,3,5,10,6.7,38.0,25.3,57,9.4,8.4,1.98,0,0,55,6,36.0
2.08,1,2,4,6.5,41.0,17.5,24,7.51,8.0,1.27,0,0,63,0,34.1
0.92,0,0,0,6.5,41.7,13.6,0,7.51,7.9,1.27,0,0,62,6,34.7
1.2,0,0,0,6.2,39.3,20.7,0,1.96,6.3,0.66,0,0,71,3,31.9
1.2,0,0,0,6.2,39.3,20.7,0,1.96,6.3,0.66,0,0,71,3,31.9
1.1,0,0,0,6.6,42.0,15.0,0,7.51,8.5,1.27,0,0,63,1,34.7
1.23,2,4,8,6.38,39.6,23.0,46,9.4,4.8,1.98,0,0,57,1,35.9
1.62,1,1,2,6.4,40.0,26.5,15,9.4,6.8,1.98,0,0,53,6,36.1
1.1,0,0,0,6.6,42.0,15.0,0,7.51,8.5,1.27,0,0,63,1,34.7
1.72,1,1,3,6.6,37.0,25.0,15,1.96,4.6,0.66,0,0,73,11,31.1
2.0,0,0,0,6.5,42.0,12.4,0,7.51,7.9,1.27,0,0,64,6,34.6
1.38,1,1,3,6.4,38.9,19.4,15,1.96,4.5,0.66,0,0,74,6,31.2
1.1,0,0,0,6.6,42.0,15.0,0,7.51,8.5,1.27,0,0,63,1,34.7
1.86,0,1,2,6.3,38.4,24.5,14,9.4,8.2,2.67,0,0,53,1,37.1
2.13,0,0,0,6.5,40.8,14.0,0,7.51,4.8,1.98,0,0,59,16,35.3
1.83,1,1,3,6.7,40.0,25.8,16,9.4,7.2,1.98,0,0,56,12,36.1
1.38,1,1,3,6.4,38.9,19.4,15,1.96,4.5,0.66,0,0,74,6,31.2
1.31,0,0,0,6.7,41.7,14.3,0,7.51,8.3,1.27,0,0,64,8,34.4
2.19,9,13,27,6.3,39.5,22.0,137,9.4,8.6,1.98,0,0,60,4,35.2
1.24,0,0,1,6.0,40.0,24.0,7,1.96,6.7,0.66,0,0,69,6,32.3
2.0,0,0,0,6.5,42.0,12.4,0,7.51,7.9,1.27,0,0,64,6,34.6
1.86,0,1,2,6.3,38.4,24.5,14,9.4,8.2,2.67,0,0,53,1,37.1
1.85,0,0,0,6.7,41.0,13.0,0,7.51,8.1,1.27,0,0,62,6,34.7
1.26,0,0,0,6.6,40.0,13.6,0,7.51,8.3,1.27,0,0,63,9,34.9
1.1,1,2,4,6.2,39.0,25.0,23,9.4,7.0,2.67,0,0,55,1,36.6
1.01,0,0,0,6.8,39.2,14.8,0,7.51,8.2,1.98,0,0,61,0,35.1
1.3,0,0,0,6.5,38.4,10.3,0,7.51,7.4,1.27,0,0,67,0,33.2
1.42,0,1,2,6.4,38.1,26.4,10,1.96,7.0,0.66,0,0,68,3,32.9
1.86,0,1,2,6.3,38.4,24.5,14,9.4,8.2,2.67,0,0,53,1,37.1
1.72,1,1,3,6.6,37.0,25.0,15,1.96,4.6,0.66,0,0,73,11,31.1
1.76,15,21,46,6.3,40.0,21.0,262,9.4,7.0,1.98,0,0,58,1,36.1
1.35,0,1,2,6.6,39.5,19.8,10,1.96,5.3,0.66,0,0,73,8,31.5
1.31,0,0,0,6.7,41.7,14.3,0,7.51,8.3,1.27,0,0,64,8,34.4
1.13,2,3,7,6.4,39.2,15.9,37,1.96,5.8,0.66,0,0,70,9,32.1
2.0,3,5,10,6.7,38.0,25.3,57,9.4,8.4,1.98,0,0,55,6,36.0
