,MAE,MSE,RMSE,R2
CatBoost,2.149688401633499,7.056220559867565,2.656354750380221,0.3106333791469391
Decision Tree,1.633333333333333,3.543333333333333,1.8823743871327332,0.653829453624412
ElasticNet,3.0826860941946825,11.845378749587772,3.441711601745238,-0.15724964264456553
Gradient Boosting,1.727015461401469,4.29331475697867,2.0720315530847184,0.5805590455731852
Huber,4.657861284923194,24.474630776171217,4.947184125962083,-1.391080801917583
KNN,3.0999999999999996,11.194533333333332,3.3458232669005894,-0.09366445543360258
Lasso Regression,3.1735843577084384,12.42216696614647,3.5245094646129793,-0.2135997156650149
Linear Regression,3.4207507123331897,18.87070766452516,4.344042778855332,-0.8435982641738484
M-estimators,2.9400743116096466,14.247394103116275,3.7745720423799405,-0.3919176484771658
Passive Aggressive,2.8119868340392173,10.030526976221193,3.1671007208835644,0.020054655561552837
Random Forest,1.925333333333334,5.630284444444447,2.372822042304152,0.4499420576528764
Ridge Regression,3.5751480221877125,15.724432836682642,3.9654044984947805,-0.5362188635523988
SVR,3.070670787291267,11.852567780522556,3.4427558409684758,-0.1579519843472763
XGBoost,1.5243315431806777,3.662086225746561,1.9136578131281885,0.6422277357550701
