,MAE,MSE,RMSE,R2
CatBoost,2.9532552382046395,9.656638967159912,3.107513309249039,0.05658212961047793
Decision Tree,3.1333333333333333,11.011111111111111,3.3182994305986178,-0.07574478350018077
ElasticNet,3.08888888888889,12.073333333333341,3.474670248143461,-0.17951996140393245
Gradient Boosting,2.9851551931874116,9.892692429382144,3.1452650809402605,0.03352058041255157
Huber,2.1292199556747122,6.1270127717198815,2.475280342046105,0.4014135393688212
KNN,2.4155555555555557,7.199066666666665,2.6831076509649523,0.2966778434446993
Lasso Regression,3.08888888888889,12.073333333333341,3.474670248143461,-0.17951996140393245
Linear Regression,2.1516001612116997,6.178108233412879,2.485580059747197,0.396421701958216
M-estimators,2.1117257085931906,5.840953521738586,2.4168064717181195,0.42936046886886337
Passive Aggressive,2.8339047181246237,10.096275551296365,3.1774636978723088,0.01363126323120789
Random Forest,2.6612222222222237,8.332546555555565,2.8866150688229224,0.1859410553612343
Ridge Regression,2.9873498009029356,11.239225835351514,3.3524954638823172,-0.09803074739292317
SVR,2.357306528490499,7.127955935516748,2.669823203044866,0.3036250985685002
XGBoost,3.131621821721395,10.998213553947675,3.3163554625443386,-0.07448473992252036
