,MAE,MSE,RMSE,R2
CatBoost,2.9064388388156757,10.822776678804061,3.2897988812090113,-0.05734520683045341
Decision Tree,3.055555555555556,12.485555555555557,3.533490562539478,-0.2197925461343624
ElasticNet,2.877640908081299,10.502161202933154,3.2407038128982344,-0.026022262016144326
Gradient Boosting,2.985054047421892,11.473442277948116,3.3872470057479003,-0.12091282657556057
Huber,2.484287892025888,7.8791317775174115,2.8069791195371248,0.2302380002666623
KNN,2.7266666666666666,9.458,3.0753861546153844,0.07598842117959248
Lasso Regression,2.9079678201915704,10.708739983242054,3.2724211194835626,-0.04620424393029343
Linear Regression,2.4980715766971104,7.952232196048229,2.8199702473693278,0.22309636005318245
M-estimators,2.3334863852629333,7.568740324475197,2.7511343704870534,0.26056209590822466
Passive Aggressive,2.439404511508429,8.089428104172002,2.844191994956037,0.20969282783990817
Random Forest,2.8284444444444405,10.123579333333312,3.1817572712784536,0.010963784826922951
Ridge Regression,2.529735365023089,8.09640427151368,2.8454181189262293,0.20901128212205045
SVR,2.6518720675488354,8.751185875903596,2.9582403343717014,0.14504154390520896
XGBoost,3.05287249883016,12.464072003605828,3.5304492637065086,-0.21769368265839084
