,MAE,MSE,RMSE,R2
CatBoost,2.008905585566472,6.031917668105993,2.455996267934052,0.4107039788727713
Decision Tree,2.5666666666666664,9.57888888888889,3.0949780110509493,0.06417802436376796
ElasticNet,3.0257508519633625,11.406107757244827,3.3772929628986628,-0.11433449322980449
Gradient Boosting,1.797928138314634,6.408669085976012,2.53153492687263,0.37389676038589204
Huber,4.235219449531688,21.307299537243846,4.615983052096687,-1.081644267901039
KNN,3.0999999999999996,11.194533333333332,3.3458232669005894,-0.09366445543360258
Lasso Regression,3.1735843577084384,12.42216696614647,3.5245094646129793,-0.2135997156650149
Linear Regression,3.7847019378145887,19.295315487233765,4.392643337130134,-0.8850808762102698
M-estimators,3.485917264257338,16.08125998735102,4.01014463421845,-0.5710795549094592
Passive Aggressive,2.808334213258468,9.998869728931084,3.162098943570723,0.023147451401015928
Random Forest,1.7295555555555575,4.925128000000004,2.219262940708019,0.5188332312145697
Ridge Regression,3.186794499499029,12.795537039639434,3.5770849919507692,-0.2500765893267327
SVR,3.070546292320513,11.851720674141667,3.442632811402004,-0.1578692251905378
XGBoost,1.568573262956407,3.052407862078417,1.74711415256085,0.7017910543621375
