,MAE,MSE,RMSE,R2
CatBoost,1.6095075433560622,3.4964087123253784,1.8698686350450875,0.6584138153439203
Decision Tree,2.0888888888888886,5.895555555555555,2.4280765135299083,0.4240260523459174
ElasticNet,3.2347015963482226,12.995072187100785,3.6048678459966856,-0.2695704343929122
Gradient Boosting,1.2832227816809954,2.2084099594578306,1.4860719899984087,0.7842465242840619
Huber,1.5100339924951116,3.928492443303263,1.9820424928096931,0.6162008347514603
KNN,3.222222222222223,12.399288888888892,3.521262399891393,-0.21136461223012915
Lasso Regression,3.2309080843710434,12.933151038387829,3.5962690442162177,-0.263520967445922
Linear Regression,1.6997780201495258,4.755913831506977,2.1808057757413835,0.5353648289083764
M-estimators,1.822851986483742,5.7296874556013915,2.3936765561790905,0.44023075153333413
Passive Aggressive,3.634757754505771,16.64202121674255,4.07946334911132,-0.6258638506285685
Random Forest,1.8057777777777793,4.249325111111116,2.061389121711647,0.5848566710891324
Ridge Regression,2.3696403029620194,7.224250745421506,2.68779663394043,0.29421745220221696
SVR,3.206605569843647,12.462918013641596,3.5302858260545413,-0.2175809421118915
XGBoost,1.1503977722591823,1.7399733944714042,1.3190805109891528,0.8300110421515092
