,MAE,MSE,RMSE,R2
CatBoost,1.8628013220433053,5.047222577331666,2.2466024519998338,0.5069050431023219
Decision Tree,1.5666666666666667,4.147777777777778,2.0366093827186837,0.5947774695452901
ElasticNet,3.0826860941946825,11.845378749587772,3.441711601745238,-0.15724964264456553
Gradient Boosting,1.4768228792863662,2.978208615710049,1.725748711635054,0.7090400459865951
Huber,4.974295722523644,29.438347032771187,5.425711661410988,-1.8760175004878374
KNN,3.0999999999999996,11.194533333333332,3.3458232669005894,-0.09366445543360258
Lasso Regression,3.1735843577084384,12.42216696614647,3.5245094646129793,-0.2135997156650149
Linear Regression,2.820071624266019,11.020669007028777,3.3197392980516973,-0.07667855454026151
M-estimators,3.1039807882367962,12.685530880886057,3.5616752913321643,-0.23932939494846295
Passive Aggressive,2.8112091303102664,10.025755608820141,3.1663473607328902,0.02052080048916749
Random Forest,1.7654444444444437,4.58043388888889,2.140194824984139,0.5525085695332288
Ridge Regression,3.1930657122016677,12.715879737003625,3.565933221052187,-0.2422943658150929
SVR,3.0706347003179344,11.852321336570158,3.4427200491138046,-0.15792790768566234
XGBoost,1.483843337164985,3.152300337209227,1.7754718632547313,0.6920319294247408
