Seed,Cigr_CD,Cire_CD,EVI2_CD,NDRE_CD,NDVI_CD,Cire_CV,EVI2_CV,Uv radiation,Humidity,Temperature
5.3,1.680016534,0.387461794,1.02949788,0.16082488,0.539481536,0.363755959,0.966510749,8.4,55,36.0
8.6,1.450121527,0.341916878,0.913876415,0.140159959,0.472935094,0.100535506,0.26871159,5.4,61,35.2
8.0,1.718373676,0.416961178,1.074735243,0.17098577,0.555236421,0.287813497,0.741851581,7.0,68,32.9
4.2,1.969679372,0.448639007,1.221155973,0.180843945,0.613354306,0.457125943,1.244256666,8.1,54,37.0
7.4,1.449838223,0.331218272,0.883134886,0.136874156,0.466104792,0.495867005,1.322141584,5.5,70,31.8
8.9,1.72076118,0.39125323,1.14634248,0.162582352,0.587123662,0.164111017,0.480832912,8.3,64,34.4
5.3,1.680016534,0.387461794,1.02949788,0.16082488,0.539481536,0.363755959,0.966510749,8.4,55,36.0
7.4,2.501079034,0.576869478,1.432324851,0.219789939,0.691087161,0.599725168,1.489073862,8.0,63,34.1
3.4,1.271937547,0.27530938,0.821676152,0.119086948,0.445138334,0.081262209,0.24253158,7.9,62,34.7
6.8,1.170422724,0.263528784,0.790252959,0.113159889,0.421930826,0.281892843,0.845321902,6.3,71,31.9
6.8,1.170422724,0.263528784,0.790252959,0.113159889,0.421930826,0.281892843,0.845321902,6.3,71,31.9
4.0,1.05765554,0.225416515,0.683671833,0.097098977,0.368635965,0.084843879,0.25732529,8.5,63,34.7
4.0,1.782893713,0.426355966,1.173751583,0.174773937,0.597919851,0.310411672,0.85455868,4.8,57,35.9
5.3,1.354733733,0.311632839,0.814513207,0.132161191,0.442064116,0.179456838,0.469045449,6.8,53,36.1
4.0,1.05765554,0.225416515,0.683671833,0.097098977,0.368635965,0.084843879,0.25732529,8.5,63,34.7
14.2,2.494414037,0.627627937,1.402941493,0.236739823,0.681932523,0.76089095,1.700825317,4.6,73,31.1
3.6,1.326800835,0.291422073,0.860907143,0.124865706,0.460751699,0.115311875,0.340649615,7.9,64,34.6
8.4,1.533238964,0.346926625,1.017807184,0.144438157,0.52609856,0.266854383,0.782892659,4.5,74,31.2
4.0,1.05765554,0.225416515,0.683671833,0.097098977,0.368635965,0.084843879,0.25732529,8.5,63,34.7
3.3,1.846432344,0.40444151,1.19099647,0.167145166,0.604566026,0.218586771,0.643692763,8.2,53,37.1
12.1,2.389003504,0.598231939,1.387269141,0.227542732,0.675252144,0.5310749,1.231535416,4.8,59,35.3
5.1,1.509163828,0.3343022,0.956792461,0.142476923,0.511398797,0.36167482,1.035134501,7.2,56,36.1
8.4,1.533238964,0.346926625,1.017807184,0.144438157,0.52609856,0.266854383,0.782892659,4.5,74,31.2
8.9,1.72076118,0.39125323,1.14634248,0.162582352,0.587123662,0.164111017,0.480832912,8.3,64,34.4
10.1,1.844130279,0.444552186,1.170730677,0.178870955,0.593507035,0.409725441,1.079014248,8.6,60,35.2
7.7,1.908706404,0.45551059,1.114872481,0.18080867,0.569345179,0.303282455,0.742290675,6.7,69,32.3
3.6,1.326800835,0.291422073,0.860907143,0.124865706,0.460751699,0.115311875,0.340649615,7.9,64,34.6
3.3,1.846432344,0.40444151,1.19099647,0.167145166,0.604566026,0.218586771,0.643692763,8.2,53,37.1
5.0,1.559895131,0.369569067,1.013604982,0.153499658,0.527343385,0.203252401,0.557453707,8.1,62,34.7
1.4,0.9805135,0.221211633,0.633271839,0.094083996,0.342049609,0.091939819,0.263199985,8.3,63,34.9
4.3,1.462364073,0.330125579,0.875699421,0.139643806,0.471375789,0.231476499,0.614020388,7.0,55,36.6
