Model,MAE,MSE,RMSE,R2
CatBoost,0.7143496150658082,1.47336125906583,1.2138209336907277,0.7898170418192894
Decision Tree,1.0114814814814816,4.803862962962962,2.1917716493656365,0.31470294740171667
ElasticNet,0.8735799128411906,1.4104774474523885,1.1876352333323512,0.7987877579048825
Gradient Boosting,0.7415868866299478,1.832093047894422,1.3535483175322638,0.7386420105053415
Huber,0.27899973050327986,0.5166693898414234,0.7187971826888468,0.9262943150635392
KNN,0.7657777777777779,1.1446082962962967,1.0698636811745208,0.8367154313353709
Lasso Regression,1.0929562996602586,2.027034928318084,1.4237397684682704,0.7108324961390315
Linear Regression,0.4297900458580814,0.629919729868282,0.7936748262785471,0.9101385410906925
M-estimators,0.3176367726186942,0.5435239750883409,0.7372407850141912,0.9224633631274934
Passive Aggressive,0.681901262750568,1.011627883297059,1.0057971382426274,0.8556858070068433
Random Forest,0.6672555555555555,1.3111833566666677,1.1450691492947784,0.8129525973852142
Ridge Regression,0.392022413613596,0.5722160422964773,0.7564496297153415,0.9183702844442997
SVR,0.6274435600838845,1.5090777802542423,1.2284452695396089,0.7847218867559179
XGBoost,0.6949611444826481,1.728213511406263,1.3146153473188509,0.7534609886338731
