Seed,Cigr_CD,Cire_CD,EVI2_CD,NDRE_CD,NDVI_CD,Cigr_CV,Cire_CV,EVI2_CV,NDRE_CV,NDVI_CV,CHM,Maize_high,N,P,K,pH,SoilTemp,SoilHumi,EC,Water feed Per Area (m3/dunam),Uv radiation,Evapotranspiration,Daily rain,Rain rate,Humidity,Wind speed,Temperature
7.29,1.60867884,0.420673826,1.000307862,0.170101189,0.51962637,0.955372209,0.249832392,0.594069063,0.101020754,0.308598945,0.593886228,2,3,5,10,6.7,38,25.3,57,9.4,8.4,1.98,0,0,55,6,36
11.05,2.38167484,0.66353969,1.320603403,0.245886781,0.65195676,3.852528534,1.073322666,2.136169978,0.397739366,1.054586453,1.61757116,0.94,0,0,0,6.7,39.6,14,0,7.51,5.4,1.98,0,0,61,3,35.2
6.3,1.456596584,0.359851466,0.878437671,0.150215757,0.470997212,0.440237038,0.108760343,0.265496159,0.045400724,0.142352673,0.302236764,1.42,0,1,2,6.4,38.1,26.4,10,1.96,7,0.66,0,0,68,3,32.9
8.5,1.994121898,0.49630987,1.138415961,0.194519235,0.575944665,1.439478248,0.358266595,0.821777754,0.140415793,0.415751824,0.72186071,2.3,27,38,77,6.5,38,21,389,9.4,8.1,2.67,0,0,54,1,37
10.1,1.438698175,0.368643819,0.889822274,0.152263877,0.472945496,0.504922087,0.129378357,0.312289907,0.053438168,0.165983826,0.35095762,1.38,0,1,2,6.5,39.6,19.8,12,1.96,5.5,0.66,0,0,70,3,31.8
10.49,2.282765165,0.630934289,1.244712083,0.234448977,0.618701988,2.614359329,0.72258372,1.425518794,0.268505004,0.708574557,1.145259867,1.31,0,0,0,6.7,41.7,14.3,0,7.51,8.3,1.27,0,0,64,8,34.4
10.87,2.60249289,0.647652598,1.463313789,0.242088772,0.701886836,2.806847309,0.698507942,1.578216943,0.261098204,0.757000792,1.078522566,2,3,5,10,6.7,38,25.3,57,9.4,8.4,1.98,0,0,55,6,36
6.94,1.701236303,0.399555153,1.044843406,0.162953219,0.53787568,0.978388898,0.229786024,0.600894295,0.093715153,0.309334802,0.575104644,2.08,1,2,4,6.5,41,17.5,24,7.51,8,1.27,0,0,63,0,34.1
4.39,1.169395599,0.259147804,0.783795743,0.111717851,0.421260966,0.773648017,0.171446844,0.518543103,0.073910227,0.278697569,0.661579382,0.92,0,0,0,6.5,41.7,13.6,0,7.51,7.9,1.27,0,0,62,6,34.7
7.01,1.762177239,0.403451472,1.075685128,0.164354458,0.5529403,1.419738056,0.325049828,0.866650119,0.132415897,0.445488892,0.805672678,1.2,0,0,0,6.2,39.3,20.7,0,1.96,6.3,0.66,0,0,71,3,31.9
5,1.594091036,0.374652553,1.031584822,0.155455484,0.536080789,0.933184625,0.219322482,0.60389217,0.091004004,0.313822949,0.585402341,1.2,0,0,0,6.2,39.3,20.7,0,1.96,6.3,0.66,0,0,71,3,31.9
7.04,1.793251678,0.409541426,1.058053649,0.165020499,0.539501721,1.399955383,0.319720724,0.826001124,0.128828172,0.421178103,0.780679812,1.1,0,0,0,6.6,42,15,0,7.51,8.5,1.27,0,0,63,1,34.7
