Model,MAE,MSE,RMSE,R2
CatBoost,0.7298595876337763,1.6079602030407847,1.2680537066862683,0.7706157739438242
Decision Tree,0.9370370370370374,3.828933333333334,1.956766039498165,0.45378193587973825
ElasticNet,1.2783744236225756,2.7708128532471687,1.664575877888169,0.6047285494462669
Gradient Boosting,0.6246749949270257,1.5738509876663211,1.2545321788086272,0.7754816381332852
Huber,0.44636368019230954,0.6243061419979105,0.7901304588470884,0.9109393497839726
KNN,1.283925925925926,2.703676296296296,1.6442859533232947,0.6143059426722495
Lasso Regression,1.1412230755728592,2.2586090536808316,1.5028669447695067,0.6777971937599576
Linear Regression,0.5011959787546703,0.7141653898100265,0.8450830668106104,0.8981204417199591
M-estimators,0.46458909313201874,0.6592113449999827,0.8119183117777199,0.9059599336511462
Passive Aggressive,1.170030961139796,2.0488235939594595,1.4313712285635265,0.7077242250540308
Random Forest,0.634248148148147,1.4907909929629628,1.2209795219261308,0.787330595940344
Ridge Regression,0.5123403063150475,0.7187247674363244,0.8477763664058608,0.8974700218239141
SVR,0.769691823097649,1.4163727613288823,1.1901146000822285,0.7979467594719857
XGBoost,0.7591364807552763,2.280151241823289,1.5100169673958266,0.674724084024238
